acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-3805,414,-1165,360,287,-74,2025-01-29 11:46:57.718203,walking
-3784,439,-1206,752,116,-309,2025-01-29 11:46:57.718203,walking
-3737,520,-1162,898,43,-503,2025-01-29 11:46:57.718203,walking
-3707,555,-1118,950,48,-705,2025-01-29 11:46:57.725671,walking
-3636,586,-1152,927,108,-860,2025-01-29 11:46:57.727445,walking
-3606,716,-1196,875,292,-1031,2025-01-29 11:46:57.727445,walking
-3625,780,-1265,587,774,-1107,2025-01-29 11:46:57.728848,walking
-3735,770,-1316,285,962,-1033,2025-01-29 11:46:57.728848,walking
-3866,691,-1384,162,937,-899,2025-01-29 11:46:57.750930,walking
-3620,532,-1077,522,-348,203,2025-01-29 11:46:57.767031,walking
-3697,483,-1060,735,-171,120,2025-01-29 11:46:57.783865,walking
-3797,459,-1041,979,-118,-41,2025-01-29 11:46:57.799605,walking
-3839,368,-1019,1145,-209,-217,2025-01-29 11:46:57.823189,walking
-3872,368,-1058,1283,-525,-262,2025-01-29 11:46:57.849364,walking
-3856,430,-1030,1360,-793,-261,2025-01-29 11:46:57.854742,walking
-3762,476,-1022,1262,-854,-211,2025-01-29 11:46:57.857530,walking
-3802,470,-1063,1160,-723,-173,2025-01-29 11:46:57.898355,walking
-3825,480,-1076,992,-683,-179,2025-01-29 11:46:57.903574,walking
-3818,401,-1108,853,-653,-203,2025-01-29 11:46:57.916844,walking
-3823,341,-1149,743,-472,-86,2025-01-29 11:46:57.925795,walking
-3895,231,-1247,917,-510,-31,2025-01-29 11:46:57.942565,walking
-3914,138,-1149,1133,-818,40,2025-01-29 11:46:57.975967,walking
-3859,143,-1119,1372,-1035,123,2025-01-29 11:46:57.975967,walking
-3834,192,-1090,1649,-1116,127,2025-01-29 11:46:57.992419,walking
-3753,193,-1113,1865,-1134,160,2025-01-29 11:46:58.017242,walking
-3694,150,-1116,2093,-1005,139,2025-01-29 11:46:58.025990,walking
-3677,107,-1135,2322,-832,149,2025-01-29 11:46:58.059119,walking
-3660,148,-1127,2502,-699,215,2025-01-29 11:46:58.063250,walking
-3650,220,-1125,2565,-520,264,2025-01-29 11:46:58.075767,walking
-3727,176,-1122,2616,-403,218,2025-01-29 11:46:58.109162,walking
-3756,171,-1250,2769,-426,65,2025-01-29 11:46:58.109162,walking
-3744,173,-1281,2857,-363,-25,2025-01-29 11:46:58.126153,walking
-3811,124,-1231,2948,-446,-205,2025-01-29 11:46:58.152377,walking
-3871,107,-1214,3046,-602,-473,2025-01-29 11:46:58.158636,walking
-3800,142,-1267,3164,-675,-674,2025-01-29 11:46:58.183123,walking
-3762,172,-1315,3248,-926,-661,2025-01-29 11:46:58.190629,walking
-3618,137,-1306,3260,-1121,-655,2025-01-29 11:46:58.208079,walking
-3605,82,-1267,3325,-1047,-722,2025-01-29 11:46:58.226060,walking
-3630,75,-1172,3241,-1037,-700,2025-01-29 11:46:58.257659,walking
-3700,-10,-1236,3163,-1007,-700,2025-01-29 11:46:58.259693,walking
-3642,-51,-1343,3198,-1016,-690,2025-01-29 11:46:58.274279,walking
-3600,-51,-1340,3207,-806,-676,2025-01-29 11:46:58.290720,walking
-3607,-50,-1333,3246,-403,-577,2025-01-29 11:46:58.314633,walking
