acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-3866,-61,-1488,-3115,323,-69,2025-01-30 09:33:47.174906,none
-3745,-49,-1913,-2793,-232,-230,2025-01-30 09:33:47.174906,none
-3580,-159,-1673,-2651,-602,-492,2025-01-30 09:33:47.174906,none
-3684,-503,-1834,-1435,-460,-218,2025-01-30 09:33:47.174906,none
-3655,33,-1431,-1424,-288,-193,2025-01-30 09:33:47.174906,none
-3671,-372,-1735,-1365,121,-32,2025-01-30 09:33:47.174906,none
-3641,-806,-1927,-492,-410,-213,2025-01-30 09:33:47.174906,none
-3466,360,-1193,182,-26,-142,2025-01-30 09:33:47.174906,none
-3541,18,-1582,-598,784,-264,2025-01-30 09:33:51.060708,none
-3590,-117,-1587,824,-160,18,2025-01-30 09:33:51.060708,none
-3652,-129,-1532,654,-18,-132,2025-01-30 09:33:51.060708,none
-3680,-133,-1599,718,36,-137,2025-01-30 09:33:51.060708,none
-3742,85,-1440,422,-86,-112,2025-01-30 09:33:51.060708,none
-3519,95,-1423,-83,-455,151,2025-01-30 09:33:51.060708,none
-3746,-48,-1393,-542,-102,-13,2025-01-30 09:33:51.060708,none
-3737,-33,-1570,-326,-68,-74,2025-01-30 09:33:51.075981,none
-3486,100,-1326,-527,-317,129,2025-01-30 09:33:51.479826,none
-3710,-103,-1405,-441,-416,-140,2025-01-30 09:33:51.479826,none
-3694,-104,-1432,-432,-313,-112,2025-01-30 09:33:51.479826,none
-3703,-82,-1383,-461,-291,-84,2025-01-30 09:33:51.479826,none
-3694,-84,-1417,-425,-192,-88,2025-01-30 09:33:51.479826,none
-3674,-78,-1392,-416,-141,-62,2025-01-30 09:33:51.479826,none
-3694,-52,-1391,-392,-55,-99,2025-01-30 09:33:51.479826,none
-3706,-35,-1402,-337,26,-90,2025-01-30 09:33:51.479826,none
-3716,-83,-1371,-369,99,-97,2025-01-30 09:33:52.095430,none
-3741,-163,-1452,-403,-64,-144,2025-01-30 09:33:52.095430,none
-3745,-188,-1435,-233,-181,-163,2025-01-30 09:33:52.095430,none
-3727,-220,-1382,-122,-156,-152,2025-01-30 09:33:52.095430,none
-3693,-204,-1390,-76,-135,-138,2025-01-30 09:33:52.095430,none
-3717,-145,-1381,-88,-67,-181,2025-01-30 09:33:52.095430,none
-3717,-130,-1371,-60,-77,-224,2025-01-30 09:33:52.095430,none
-3743,-113,-1385,-37,-61,-227,2025-01-30 09:33:52.095430,none
-3735,-74,-1354,-76,-27,-258,2025-01-30 09:33:52.207320,none
-3710,-203,-1370,-528,-144,-133,2025-01-30 09:33:52.495131,none
-3710,-187,-1346,-580,-285,-105,2025-01-30 09:33:52.495131,none
-3735,-116,-1329,-529,-251,-134,2025-01-30 09:33:52.495131,none
-3728,-163,-1360,-484,-284,-84,2025-01-30 09:33:52.495131,none
-3710,-134,-1312,-490,-260,-108,2025-01-30 09:33:52.495131,none
-3750,-153,-1359,-504,-233,-86,2025-01-30 09:33:52.510761,none
-3747,-140,-1315,-476,-235,-92,2025-01-30 09:33:52.510761,none
-3737,-115,-1333,-470,-160,-79,2025-01-30 09:33:52.510761,none
-3753,-92,-1319,-479,-116,-104,2025-01-30 09:33:53.209244,none
-3722,-111,-1280,-1530,478,-224,2025-01-30 09:33:53.224478,none
-3752,-151,-1296,-1481,409,-233,2025-01-30 09:33:53.224478,none
-3748,-184,-1356,-1391,383,-198,2025-01-30 09:33:53.224478,none
-3798,-218,-1312,-1241,252,-176,2025-01-30 09:33:53.224478,none
-3763,-205,-1335,-1085,169,-132,2025-01-30 09:33:53.224478,none
-3761,-213,-1286,-958,106,-123,2025-01-30 09:33:53.224478,none
-3725,-203,-1385,-828,44,-124,2025-01-30 09:33:53.224478,none
-3746,-186,-1350,-706,72,-91,2025-01-30 09:33:53.461018,none
-3765,-117,-1271,-924,215,-174,2025-01-30 09:33:53.461018,none
-3754,-134,-1257,-907,161,-223,2025-01-30 09:33:53.461018,none
-3741,-111,-1282,-903,164,-195,2025-01-30 09:33:53.461018,none
-3724,-152,-1302,-900,236,-181,2025-01-30 09:33:53.461018,none
-3733,-125,-1308,-852,268,-177,2025-01-30 09:33:53.461018,none
-3761,-153,-1336,-830,282,-147,2025-01-30 09:33:53.461018,none
-3752,-155,-1306,-793,241,-146,2025-01-30 09:33:53.461018,none
-3761,-119,-1303,-783,301,-166,2025-01-30 09:33:53.473109,none
-3722,-128,-1361,-725,298,-156,2025-01-30 09:33:53.515885,none
-3751,-138,-1341,-687,278,-146,2025-01-30 09:33:53.515885,none
-3761,-113,-1353,-698,250,-143,2025-01-30 09:33:53.520637,none
-3737,-122,-1356,-677,200,-128,2025-01-30 09:33:53.632259,none
-3746,-132,-1321,-671,237,-109,2025-01-30 09:33:53.632259,none
-3778,-112,-1330,-644,253,-115,2025-01-30 09:33:53.632259,none
-3726,-135,-1356,-602,247,-100,2025-01-30 09:33:53.632259,none
-3726,-129,-1317,-583,258,-87,2025-01-30 09:33:53.640275,none
-3744,-148,-1308,-540,322,-100,2025-01-30 09:33:53.640677,none
-3741,-110,-1355,-505,297,-129,2025-01-30 09:33:53.641689,none
-3753,-112,-1349,-521,279,-119,2025-01-30 09:33:53.648958,none
-3752,-122,-1388,-522,252,-92,2025-01-30 09:33:53.683986,none
-3754,-138,-1358,-506,246,-117,2025-01-30 09:33:53.698018,none
-3755,-120,-1338,-470,296,-100,2025-01-30 09:33:53.699492,none
-3723,-131,-1330,-499,261,-60,2025-01-30 09:33:53.713780,none
-3747,-120,-1333,-498,265,-107,2025-01-30 09:33:53.732264,none
-3759,-132,-1333,-433,280,-98,2025-01-30 09:33:53.749031,none
-3739,-129,-1338,-447,304,-81,2025-01-30 09:33:53.766038,none
-3763,-136,-1361,-475,305,-89,2025-01-30 09:33:53.780792,none
-3748,-127,-1340,-511,276,-79,2025-01-30 09:33:53.805056,none
-3737,-85,-1340,-548,244,-80,2025-01-30 09:33:53.813758,none
-3742,-94,-1338,-542,290,-96,2025-01-30 09:33:53.838329,none
-3751,-95,-1335,-517,308,-122,2025-01-30 09:33:53.865664,none
-3749,-100,-1312,-486,256,-110,2025-01-30 09:33:53.865664,none
-3723,-91,-1333,-522,341,-137,2025-01-30 09:33:53.933262,none
-3725,-104,-1350,-589,401,-89,2025-01-30 09:33:53.933262,none
-3724,-111,-1352,-562,369,-81,2025-01-30 09:33:53.933262,none
-3750,-107,-1320,-591,343,-105,2025-01-30 09:33:53.933262,none
-3732,-114,-1358,-552,272,-114,2025-01-30 09:33:53.948313,none
-3700,-116,-1352,-556,301,-117,2025-01-30 09:33:53.956446,none
-3738,-129,-1356,-538,323,-110,2025-01-30 09:33:54.164293,none
-3733,-102,-1353,-575,269,-119,2025-01-30 09:33:54.164293,none
-3735,-137,-1352,-568,266,-120,2025-01-30 09:33:54.168873,none
-3761,-119,-1361,-581,229,-103,2025-01-30 09:33:54.168873,none
-3733,-123,-1389,-585,193,-131,2025-01-30 09:33:54.168873,none
-3735,-128,-1326,-598,236,-130,2025-01-30 09:33:54.168873,none
-3734,-123,-1350,-608,256,-123,2025-01-30 09:33:54.168873,none
-3731,-89,-1370,-595,260,-147,2025-01-30 09:33:54.168873,none
-3732,-111,-1377,-597,240,-151,2025-01-30 09:33:54.344525,none
-3741,-112,-1386,-570,236,-109,2025-01-30 09:33:54.344525,none
-3737,-104,-1394,-537,227,-102,2025-01-30 09:33:54.344525,none
-3733,-115,-1398,-526,255,-115,2025-01-30 09:33:54.344525,
-3721,-127,-1378,-492,260,-105,2025-01-30 09:33:54.364710,none
-3712,-110,-1390,-489,217,-87,2025-01-30 09:33:54.364710,none
-3710,-132,-1388,-489,211,-93,2025-01-30 09:33:54.365752,none
-3710,-118,-1359,-494,255,-92,2025-01-30 09:33:54.365752,none
-3746,-121,-1370,-483,242,-115,2025-01-30 09:33:54.400161,none
-3741,-98,-1382,-433,210,-101,2025-01-30 09:33:54.423492,none
-3704,-93,-1378,-478,148,-124,2025-01-30 09:33:54.453087,none
-3698,-95,-1395,-496,186,-125,2025-01-30 09:33:54.453087,none
-3748,-105,-1379,-556,217,-107,2025-01-30 09:33:54.474136,none
-3731,-134,-1394,-594,184,-125,2025-01-30 09:33:54.491005,none
-3736,-134,-1380,-601,170,-122,2025-01-30 09:33:54.514319,none
-3705,-123,-1377,-548,182,-105,2025-01-30 09:33:54.539005,none
-3741,-143,-1416,-529,186,-108,2025-01-30 09:33:54.539005,none
-3731,-115,-1367,-520,181,-121,2025-01-30 09:33:54.569794,none
-3739,-114,-1395,-537,173,-100,2025-01-30 09:33:54.571804,none
-3738,-131,-1409,-556,125,-52,2025-01-30 09:33:54.589639,none
-3707,-103,-1369,-600,115,-74,2025-01-30 09:33:54.602549,none
-3732,-107,-1399,-571,96,-76,2025-01-30 09:33:54.872852,none
-3707,-78,-1366,-540,89,-106,2025-01-30 09:33:54.872852,none
-3717,-117,-1410,-564,108,-135,2025-01-30 09:33:54.872852,none
-3719,-118,-1368,-599,116,-120,2025-01-30 09:33:54.872852,none
-3713,-88,-1375,-607,124,-110,2025-01-30 09:33:54.872852,none
-3714,-108,-1395,-627,98,-92,2025-01-30 09:33:54.872852,none
-3717,-117,-1406,-624,126,-115,2025-01-30 09:33:54.872852,none
-3698,-107,-1374,-630,130,-107,2025-01-30 09:33:54.872852,none
-3744,-89,-1379,-585,150,-113,2025-01-30 09:33:55.069158,none
-3698,-121,-1371,-682,160,-131,2025-01-30 09:33:55.069158,none
-3716,-103,-1408,-648,144,-123,2025-01-30 09:33:55.069158,none
-3721,-109,-1381,-626,158,-131,2025-01-30 09:33:55.069158,none
-3733,-112,-1404,-592,181,-154,2025-01-30 09:33:55.069158,none
-3713,-126,-1412,-603,189,-160,2025-01-30 09:33:55.069158,none
-3703,-144,-1392,-631,278,-118,2025-01-30 09:33:55.069158,none
-3719,-169,-1417,-670,247,-111,2025-01-30 09:33:55.085375,none
-3723,-158,-1417,-619,246,-114,2025-01-30 09:33:55.146628,none
-3721,-156,-1407,-581,250,-106,2025-01-30 09:33:55.164706,none
-3696,-164,-1410,-530,245,-101,2025-01-30 09:33:55.177472,none
-3697,-128,-1410,-516,266,-77,2025-01-30 09:33:55.181583,none
-3732,-111,-1400,-522,256,-93,2025-01-30 09:33:55.193605,none
-3699,-127,-1445,-505,254,-146,2025-01-30 09:33:55.193605,none
-3715,-164,-1448,-521,255,-112,2025-01-30 09:33:55.240806,none
-3732,-159,-1413,-484,191,-108,2025-01-30 09:33:55.240806,none
-3694,-126,-1439,-463,160,-101,2025-01-30 09:33:55.240806,none
-3713,-86,-1420,-449,227,-82,2025-01-30 09:33:55.258371,none
-3672,-127,-1387,-441,276,-96,2025-01-30 09:33:55.273126,none
-3721,-122,-1412,-465,334,-125,2025-01-30 09:33:55.300562,none
-3709,-137,-1420,-501,293,-130,2025-01-30 09:33:55.323078,none
-3732,-103,-1413,-456,259,-106,2025-01-30 09:33:55.323078,none
-3749,-111,-1397,-464,256,-127,2025-01-30 09:33:55.648950,none
-3731,-111,-1430,-474,192,-113,2025-01-30 09:33:55.648950,none
-3710,-113,-1407,-479,157,-126,2025-01-30 09:33:55.648950,none
-3728,-114,-1431,-479,111,-121,2025-01-30 09:33:55.661975,none
-3722,-92,-1446,-460,87,-98,2025-01-30 09:33:55.664529,none
-3712,-128,-1415,-512,110,-113,2025-01-30 09:33:55.664529,none
-3726,-126,-1439,-497,116,-114,2025-01-30 09:33:55.664529,none
-3717,-140,-1449,-491,110,-119,2025-01-30 09:33:55.664529,none
-3705,-134,-1444,-525,89,-120,2025-01-30 09:33:55.698185,none
-3723,-138,-1381,-604,131,-141,2025-01-30 09:33:56.012761,none
-3734,-162,-1432,-526,131,-118,2025-01-30 09:33:56.012761,none
-3714,-152,-1448,-499,101,-120,2025-01-30 09:33:56.019014,none
-3714,-148,-1427,-535,68,-134,2025-01-30 09:33:56.019014,none
-3747,-168,-1404,-538,40,-102,2025-01-30 09:33:56.020029,none
-3725,-149,-1400,-540,5,-103,2025-01-30 09:33:56.020029,none
-3748,-161,-1386,-498,-14,-103,2025-01-30 09:33:56.020029,none
-3714,-127,-1378,-483,-17,-110,2025-01-30 09:33:56.021074,none
-3694,-149,-1379,-498,47,-104,2025-01-30 09:33:56.217685,standing
-3759,-105,-1396,-610,78,-126,2025-01-30 09:33:56.217685,standing
-3730,-141,-1369,-567,87,-120,2025-01-30 09:33:56.217685,standing
-3729,-144,-1383,-580,108,-117,2025-01-30 09:33:56.217685,standing
-3707,-163,-1411,-586,143,-129,2025-01-30 09:33:56.233327,standing
-3703,-143,-1398,-584,120,-112,2025-01-30 09:33:56.233327,standing
-3734,-145,-1410,-553,141,-74,2025-01-30 09:33:56.234743,standing
-3725,-152,-1371,-507,105,-96,2025-01-30 09:33:56.234743,standing
-3724,-153,-1360,-496,134,-117,2025-01-30 09:33:56.242637,standing
-3724,-147,-1419,-473,159,-107,2025-01-30 09:33:56.269581,standing
-3735,-167,-1385,-434,87,-97,2025-01-30 09:33:56.271691,standing
-3738,-165,-1388,-454,52,-75,2025-01-30 09:33:56.284506,standing
-3750,-123,-1393,-461,61,-78,2025-01-30 09:33:56.300374,standing
-3745,-125,-1417,-491,11,-48,2025-01-30 09:33:56.323233,standing
-3737,-89,-1414,-578,-137,-89,2025-01-30 09:33:56.331615,standing
-3719,-96,-1414,-614,-173,-159,2025-01-30 09:33:56.347251,standing
-3708,-74,-1392,-698,-106,-147,2025-01-30 09:33:56.378507,standing
-3713,-79,-1408,-699,-61,-185,2025-01-30 09:33:56.378507,standing
-3720,-88,-1367,-766,-27,-198,2025-01-30 09:33:56.415110,standing
-3692,-149,-1396,-773,61,-184,2025-01-30 09:33:56.442324,standing
-3705,-127,-1387,-771,145,-173,2025-01-30 09:33:56.459530,standing
-3705,-169,-1391,-783,170,-157,2025-01-30 09:33:56.459530,standing
-3714,-154,-1365,-730,285,-181,2025-01-30 09:33:56.469710,standing
-3735,-146,-1403,-691,298,-165,2025-01-30 09:33:56.498653,standing
-3744,-146,-1394,-678,241,-174,2025-01-30 09:33:56.509175,standing
-3737,-165,-1388,-702,182,-150,2025-01-30 09:33:56.512553,standing
-3748,-171,-1353,-625,-14,-124,2025-01-30 09:33:56.528792,standing
-3716,-124,-1336,-577,65,-135,2025-01-30 09:33:56.558920,standing
-3741,-148,-1346,-531,154,-118,2025-01-30 09:33:56.574322,standing
-3792,-135,-1373,-520,59,-79,2025-01-30 09:33:56.574322,standing
-3758,-148,-1392,-532,-69,-68,2025-01-30 09:33:56.581443,standing
-3714,-136,-1389,-572,-51,-77,2025-01-30 09:33:56.604875,standing
-3689,-121,-1367,-562,-96,-84,2025-01-30 09:33:56.629167,standing
-3703,-100,-1389,-571,-84,-112,2025-01-30 09:33:56.631775,standing
-3723,-124,-1337,-524,-67,-93,2025-01-30 09:33:56.662030,standing
-3729,-154,-1377,-529,-9,-104,2025-01-30 09:33:56.684597,
-3741,-149,-1423,-581,-29,-93,2025-01-30 09:33:56.698263,standing
-3733,-146,-1372,-589,-60,-80,2025-01-30 09:33:56.709621,standing
-3709,-109,-1400,-643,-106,-97,2025-01-30 09:33:56.731829,standing
-3731,-112,-1380,-643,-106,-89,2025-01-30 09:33:56.742377,standing
-3731,-135,-1403,-643,-115,-128,2025-01-30 09:33:56.761407,standing
-3718,-135,-1366,-620,-119,-100,2025-01-30 09:33:56.773983,standing
-3733,-153,-1358,-609,-127,-104,2025-01-30 09:33:56.798368,standing
-3727,-140,-1324,-634,-124,-107,2025-01-30 09:33:56.810257,standing
-3692,-134,-1350,-626,-33,-123,2025-01-30 09:33:56.824270,standing
-3735,-137,-1345,-578,25,-126,2025-01-30 09:33:56.848284,standing
-3734,-159,-1347,-534,35,-126,2025-01-30 09:33:56.848284,standing
-3712,-175,-1331,-498,15,-111,2025-01-30 09:33:56.876121,standing
-3711,-141,-1280,-464,38,-101,2025-01-30 09:33:56.892210,standing
-3747,-136,-1361,-431,8,-79,2025-01-30 09:33:56.926036,standing
-3754,-149,-1366,-412,-59,-54,2025-01-30 09:33:56.926036,standing
-3744,-128,-1310,-433,-64,-94,2025-01-30 09:33:56.938363,standing
-3697,-95,-1251,-501,-12,-87,2025-01-30 09:33:56.948220,standing
-3710,-56,-1278,-569,37,-92,2025-01-30 09:33:56.977857,standing
-3731,-61,-1314,-578,82,-122,2025-01-30 09:33:56.998111,standing
-3729,-93,-1300,-599,140,-137,2025-01-30 09:33:56.998111,standing
-3748,-101,-1317,-594,174,-130,2025-01-30 09:33:57.014939,standing
-3754,-121,-1333,-562,201,-135,2025-01-30 09:33:57.057678,standing
-3745,-150,-1365,-552,231,-137,2025-01-30 09:33:57.057678,standing
-3731,-144,-1365,-479,218,-112,2025-01-30 09:33:57.070944,standing
-3749,-201,-1359,-454,210,-75,2025-01-30 09:33:57.114947,standing
-3740,-194,-1387,-384,155,-74,2025-01-30 09:33:57.114947,standing
-3716,-178,-1354,-367,162,-79,2025-01-30 09:33:57.114947,standing
-3720,-168,-1353,-376,155,-52,2025-01-30 09:33:57.132409,standing
-3725,-136,-1380,-364,107,-92,2025-01-30 09:33:57.160424,standing
-3752,-139,-1335,-392,86,-70,2025-01-30 09:33:57.172017,standing
-3727,-105,-1375,-513,-2,-63,2025-01-30 09:33:57.198209,standing
-3739,-110,-1368,-569,-34,-61,2025-01-30 09:33:57.198209,standing
-3688,-94,-1377,-664,24,-90,2025-01-30 09:33:57.215181,standing
-3715,-91,-1386,-740,43,-107,2025-01-30 09:33:57.229077,standing
-3694,-112,-1337,-833,128,-127,2025-01-30 09:33:57.245694,standing
-3734,-77,-1377,-951,228,-159,2025-01-30 09:33:57.275289,standing
-3735,-88,-1407,-990,297,-198,2025-01-30 09:33:57.275289,standing
-3737,-123,-1405,-1082,294,-222,2025-01-30 09:33:57.298995,standing
-3682,-148,-1404,-1112,302,-202,2025-01-30 09:33:57.298995,standing
-3725,-170,-1348,-1149,325,-229,2025-01-30 09:33:57.341786,standing
-3704,-141,-1404,-1150,428,-247,2025-01-30 09:33:57.341786,standing
-3703,-170,-1372,-1117,513,-211,2025-01-30 09:33:57.358957,standing
-3688,-205,-1401,-1091,543,-195,2025-01-30 09:33:57.375075,standing
-3677,-216,-1402,-1060,615,-168,2025-01-30 09:33:57.405501,standing
-3670,-177,-1339,-1063,639,-120,2025-01-30 09:33:57.410563,standing
-3651,-151,-1352,-1053,767,-115,2025-01-30 09:33:57.426180,standing
-3659,-150,-1379,-991,997,-159,2025-01-30 09:33:57.448369,standing
-3631,-192,-1438,-789,1237,-102,2025-01-30 09:33:57.460408,standing
-3650,-190,-1441,-757,1474,-33,2025-01-30 09:33:57.469717,standing
-3628,-117,-1465,-766,1708,158,2025-01-30 09:33:57.493389,standing
-3673,-19,-1323,-795,1710,337,2025-01-30 09:33:57.520578,standing
-3640,33,-1274,-730,1510,449,2025-01-30 09:33:57.520578,standing
-3588,1,-1318,-655,1379,476,2025-01-30 09:33:57.537598,standing
-3575,-81,-1506,-634,1411,487,2025-01-30 09:33:57.561172,standing
-3560,-171,-1733,-427,1629,528,2025-01-30 09:33:57.577558,standing
-3683,-230,-1815,48,1744,468,2025-01-30 09:33:57.591520,standing
-3903,-262,-1879,671,1720,316,2025-01-30 09:33:57.647787,standing
-3987,-242,-1882,1116,1522,241,2025-01-30 09:33:57.696735,standing
-4033,-180,-1824,1379,1105,237,2025-01-30 09:33:57.696735,standing
-3956,-30,-1748,1368,694,285,2025-01-30 09:33:57.696735,standing
-3820,84,-1607,1245,264,328,2025-01-30 09:33:57.752716,standing
-3750,195,-1507,1078,-121,298,2025-01-30 09:33:57.754064,standing
-3658,241,-1398,883,-286,213,2025-01-30 09:33:57.754064,standing
-3603,226,-1369,618,-211,152,2025-01-30 09:33:57.754064,standing
-3575,259,-1334,311,5,129,2025-01-30 09:33:57.754064,standing
