acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-3756,131,243,-1803,1219,867,2025-01-29 11:31:32.527709,walking
-3775,278,362,-1702,1136,1082,2025-01-29 11:31:32.527709,walking
-3716,391,485,-2041,1018,1220,2025-01-29 11:31:32.527709,walking
-3704,463,433,-2467,1410,1132,2025-01-29 11:31:32.527709,walking
-3689,412,304,-2564,2038,992,2025-01-29 11:31:32.543764,walking
-3772,381,241,-2217,2251,1005,2025-01-29 11:31:32.560641,walking
-3832,324,241,-1845,1770,1147,2025-01-29 11:31:32.576983,walking
-3887,277,361,-1666,1666,1144,2025-01-29 11:31:32.591079,walking
-3934,204,467,-1655,1932,969,2025-01-29 11:31:32.610686,walking
-3909,183,480,-1716,1808,823,2025-01-29 11:31:32.626697,walking
-3852,217,436,-1877,1450,703,2025-01-29 11:31:32.639961,walking
-3799,253,323,-1871,913,691,2025-01-29 11:31:32.655970,walking
-3732,298,304,-1642,920,598,2025-01-29 11:31:32.660174,walking
-3753,302,376,-1399,1053,375,2025-01-29 11:31:32.687568,walking
-3787,228,397,-1084,970,73,2025-01-29 11:31:32.741767,walking
-3839,140,322,-734,864,-133,2025-01-29 11:31:32.741767,walking
-3924,139,249,-461,970,-153,2025-01-29 11:31:32.741767,walking
-3996,141,244,-113,693,-124,2025-01-29 11:31:32.741767,walking
-3955,213,317,235,0,-102,2025-01-29 11:31:32.765592,walking
-3838,179,451,543,-296,-86,2025-01-29 11:31:32.776636,walking
-3721,158,534,605,-40,-113,2025-01-29 11:31:32.792753,walking
-3692,208,512,458,647,61,2025-01-29 11:31:32.840184,walking
-3750,338,454,162,1175,275,2025-01-29 11:31:32.840184,walking
-3811,411,415,-176,1268,309,2025-01-29 11:31:32.840184,walking
-3799,452,403,-378,944,229,2025-01-29 11:31:32.859108,walking
-3779,388,392,-274,740,223,2025-01-29 11:31:32.875676,walking
-3781,441,394,56,1320,126,2025-01-29 11:31:32.893462,walking
-3898,406,468,99,2001,-378,2025-01-29 11:31:32.912888,walking
-3901,455,495,-536,2092,-890,2025-01-29 11:31:32.929949,walking
-3926,432,319,-1297,1571,-1192,2025-01-29 11:31:32.947265,walking
-3923,375,183,-1646,816,-1164,2025-01-29 11:31:32.952292,walking
-3909,260,74,-1680,-188,-728,2025-01-29 11:31:32.973686,walking
-3923,176,66,-1569,-760,-289,2025-01-29 11:31:33.037953,walking
