acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-3656,653,884,-1304,-706,222,2025-01-30 10:03:32.570264,none
-3589,614,967,-1415,-64,219,2025-01-30 10:03:32.570264,none
-3592,558,924,-1494,515,151,2025-01-30 10:03:32.570264,none
-3660,510,838,-1390,876,52,2025-01-30 10:03:32.570264,none
-3688,544,759,-1179,958,-46,2025-01-30 10:03:32.585870,none
-3719,542,722,-1003,903,-73,2025-01-30 10:03:32.585870,none
-3752,567,721,-908,721,-175,2025-01-30 10:03:32.585870,none
-3707,592,737,-820,525,-290,2025-01-30 10:03:32.585870,none
-3661,587,751,-699,379,-349,2025-01-30 10:03:32.733000,none
-3627,617,914,-458,-165,-22,2025-01-30 10:03:32.733000,none
-3605,627,903,-626,22,-40,2025-01-30 10:03:32.733000,none
-3608,701,861,-787,63,26,2025-01-30 10:03:32.749531,none
-3593,705,881,-858,161,142,2025-01-30 10:03:32.762718,none
-3570,679,870,-870,370,208,2025-01-30 10:03:32.827318,none
-3633,653,834,-896,500,242,2025-01-30 10:03:32.827318,none
-3652,590,827,-949,549,173,2025-01-30 10:03:32.827318,none
-3662,596,842,-1036,675,153,2025-01-30 10:03:32.835789,none
-3640,608,815,-1151,858,218,2025-01-30 10:03:32.848537,none
-3636,665,774,-1164,938,282,2025-01-30 10:03:32.860715,none
-3691,672,765,-1076,805,281,2025-01-30 10:03:32.877298,none
-3713,638,786,-953,636,205,2025-01-30 10:03:32.893188,none
-3714,616,805,-837,425,81,2025-01-30 10:03:32.910899,none
-3708,573,825,-800,363,16,2025-01-30 10:03:33.018569,none
-3743,580,785,-912,243,-33,2025-01-30 10:03:34.618345,none
-3710,562,725,-967,56,-117,2025-01-30 10:03:34.618345,none
-3614,584,693,-756,210,-257,2025-01-30 10:03:34.618345,none
-3519,639,750,-537,587,-118,2025-01-30 10:03:34.618345,none
-3544,688,828,-454,694,145,2025-01-30 10:03:34.618345,none
-3727,671,818,-755,55,387,2025-01-30 10:03:34.633960,none
-3779,599,651,-806,-331,319,2025-01-30 10:03:34.633960,none
-3826,646,744,-607,125,156,2025-01-30 10:03:34.633960,none
-3797,641,845,-618,542,-92,2025-01-30 10:03:34.981189,none
-3694,625,620,-1419,211,230,2025-01-30 10:03:34.981189,none
-3694,612,622,-1255,456,81,2025-01-30 10:03:34.981189,none
-3674,626,663,-1009,705,-75,2025-01-30 10:03:34.981189,none
-3699,654,684,-918,723,-16,2025-01-30 10:03:34.981189,none
-3712,637,736,-1005,557,140,2025-01-30 10:03:34.981189,none
-3890,601,516,-1289,-93,184,2025-01-30 10:03:34.981189,none
-3869,520,330,-963,-544,-7,2025-01-30 10:03:34.981189,none
-3807,496,475,-593,-444,-144,2025-01-30 10:03:35.141664,none
-3843,731,535,-689,202,169,2025-01-30 10:03:35.141664,none
-3837,701,598,-702,-38,107,2025-01-30 10:03:35.141664,none
-3771,701,661,-843,-239,63,2025-01-30 10:03:35.141664,none
-3710,660,664,-987,-313,21,2025-01-30 10:03:35.141664,none
-3681,658,715,-1059,-233,-8,2025-01-30 10:03:35.141664,none
-3662,564,668,-1013,-85,-18,2025-01-30 10:03:35.141664,none
-3609,507,642,-919,31,49,2025-01-30 10:03:35.165936,none
-3644,474,638,-773,112,160,2025-01-30 10:03:35.245446,none
-3703,490,672,-662,92,206,2025-01-30 10:03:35.245446,none
-3759,518,642,-574,105,186,2025-01-30 10:03:35.245446,none
-3781,563,658,-544,162,36,2025-01-30 10:03:35.251484,none
-3750,623,680,-533,193,-2,2025-01-30 10:03:35.251484,none
-3711,686,656,-564,-18,-39,2025-01-30 10:03:35.262534,none
-3733,676,593,-611,-153,-30,2025-01-30 10:03:35.281962,none
-3681,627,597,-585,-147,-29,2025-01-30 10:03:35.297861,none
-3676,627,609,-591,-91,26,2025-01-30 10:03:35.314469,none
-3681,640,613,-579,-9,64,2025-01-30 10:03:35.335809,none
-3707,631,642,-590,-9,84,2025-01-30 10:03:35.354052,none
-3718,653,626,-635,67,6,2025-01-30 10:03:35.369963,none
-3703,651,625,-717,100,-61,2025-01-30 10:03:35.386174,none
-3704,658,554,-751,55,-52,2025-01-30 10:03:35.402293,none
-3669,671,567,-776,-24,20,2025-01-30 10:03:35.412829,none
-3670,675,560,-742,-50,69,2025-01-30 10:03:35.436462,none
-3705,667,637,-731,-170,52,2025-01-30 10:03:35.446166,none
-3711,652,656,-705,-285,22,2025-01-30 10:03:35.465057,none
-3742,629,688,-744,-320,6,2025-01-30 10:03:35.512131,none
-3750,637,650,-756,-331,-50,2025-01-30 10:03:35.512131,none
-3723,642,707,-811,-308,-74,2025-01-30 10:03:35.512131,none
-3655,670,680,-833,-241,-92,2025-01-30 10:03:35.527910,none
-3644,670,648,-798,-133,6,2025-01-30 10:03:35.547790,none
-3664,638,662,-778,-95,73,2025-01-30 10:03:35.564394,none
-3699,646,645,-777,-137,95,2025-01-30 10:03:35.580214,none
-3706,627,649,-772,-166,49,2025-01-30 10:03:35.594634,none
-3719,632,666,-800,-138,-37,2025-01-30 10:03:35.613375,none
-3648,651,642,-806,-127,-57,2025-01-30 10:03:35.630637,none
-3606,655,673,-750,-62,-40,2025-01-30 10:03:35.644507,none
-3606,641,670,-645,12,21,2025-01-30 10:03:35.661450,none
-3639,612,693,-550,80,130,2025-01-30 10:03:35.683187,none
-3699,570,683,-409,255,164,2025-01-30 10:03:35.706139,none
-3807,631,696,-457,351,195,2025-01-30 10:03:35.706139,none
-3857,642,641,-609,83,131,2025-01-30 10:03:35.720968,none
-3705,701,631,-534,-32,-149,2025-01-30 10:03:35.744542,none
-3638,708,649,-403,125,-126,2025-01-30 10:03:35.752401,none
-3586,706,632,-430,134,55,2025-01-30 10:03:35.859531,none
-3614,708,814,-488,363,171,2025-01-30 10:03:35.859531,none
-3725,668,628,-816,113,131,2025-01-30 10:03:35.859531,none
-3760,634,480,-694,-313,47,2025-01-30 10:03:35.859531,none
-3711,701,582,-393,-469,35,2025-01-30 10:03:35.859531,none
-3748,731,714,-236,-302,34,2025-01-30 10:03:35.859531,none
-3732,704,739,-322,-260,-115,2025-01-30 10:03:35.867585,none
-3677,675,700,-572,-477,-180,2025-01-30 10:03:35.885973,none
