acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,label,timestamp,velocity,relative_position,prev_label_block,person
-3066,220,2727,-759,-636,226,sitting,2025-02-12 12:18:47.518798,-6.011429904617877,-2.0,,jakob
-2897,271,2698,-1049,-484,206,sitting,2025-02-12 12:18:47.534244,-6.052615869863174,-2.0,,jakob
-2635,238,2627,-634,-108,-88,sitting,2025-02-12 12:18:47.550256,-6.113072425893824,-2.0,,jakob
-2607,293,2656,-361,-59,-73,sitting,2025-02-12 12:18:47.566910,-6.147176265551513,-2.0,,jakob
-2631,287,2663,-330,-26,8,sitting,2025-02-12 12:18:47.582167,-6.108889177750128,-2.0,,jakob
-2738,301,2652,-495,-98,18,sitting,2025-02-12 12:18:47.609762,-6.251061899815003,-2.0,,jakob
-2672,295,2622,-592,-39,-90,sitting,2025-02-12 12:18:47.633870,-6.313170084824252,-2.0,,jakob
-2577,264,2638,-366,260,-240,sitting,2025-02-12 12:18:47.636651,-6.039048464154467,-2.0,,jakob
-2529,268,2653,-478,651,-343,sitting,2025-02-12 12:18:47.646017,-5.875581270946743,-2.0,,jakob
-2588,324,2671,-772,1030,-313,sitting,2025-02-12 12:18:47.663929,-5.854260786447025,-2.0,,jakob
-2751,274,2619,-683,752,-229,sitting,2025-02-12 12:18:47.679391,-5.8209375228389595,-2.0,,jakob
-2744,283,2752,-671,766,-184,sitting,2025-02-12 12:18:47.698999,-5.921677160982726,-2.0,,jakob
-2818,213,2579,-469,330,-225,sitting,2025-02-12 12:18:47.710430,-5.879372389600255,-2.0,,jakob
-2929,276,2637,-946,-703,266,sitting,2025-02-12 12:18:47.729533,-5.980185458453576,-2.0,,jakob
-2632,281,2639,-1127,-409,-44,sitting,2025-02-12 12:18:47.745251,-5.968123245054707,-2.0,,jakob
-2400,330,2665,-958,777,-300,sitting,2025-02-12 12:18:47.764217,-5.991493335659114,-2.0,,jakob
-2613,242,2597,-746,879,-180,sitting,2025-02-12 12:18:47.775439,-5.867329216495206,-2.0,,jakob
-2691,186,2584,-638,914,-144,sitting,2025-02-12 12:18:47.798331,-5.926635817575207,-2.0,,jakob
-2789,210,2496,-477,923,-204,sitting,2025-02-12 12:18:47.808519,-5.80987722955359,-2.0,,jakob
-2727,263,2541,-169,971,-395,sitting,2025-02-12 12:18:47.826608,-5.887963970694957,-2.0,,jakob
-2749,197,2576,-199,1116,-423,sitting,2025-02-12 12:18:47.843336,-5.946960703588781,-2.0,,jakob
-2814,242,2573,-471,696,-358,sitting,2025-02-12 12:18:47.858737,-5.96319169602839,-2.0,,jakob
-2640,129,2505,-227,1034,-570,sitting,2025-02-12 12:18:47.879004,-6.079004888131732,-2.0,,jakob
-2687,188,2585,-23,1102,-389,sitting,2025-02-12 12:18:47.928896,-6.823831999915622,-2.0,,jakob
-2842,213,2605,-138,561,-256,sitting,2025-02-12 12:18:47.935742,-6.61747888991984,-2.0,,jakob
-2753,460,2723,-428,275,-411,sitting,2025-02-12 12:18:47.938267,-6.335163100185753,-2.0,,jakob
-2545,-362,2255,124,919,-1604,sitting,2025-02-12 12:18:47.940376,-6.063771543747893,-2.0,,jakob
-2816,313,2661,567,738,-824,sitting,2025-02-12 12:18:47.957743,-6.217872616560498,-2.0,,jakob
-2967,-910,1862,-177,385,-1807,sitting,2025-02-12 12:18:47.974051,-6.467582017161043,-2.0,,jakob
-3526,-385,2284,-603,216,-1154,sitting,2025-02-12 12:18:47.988601,-6.758663273445848,-2.0,,jakob
-3678,-434,2228,-261,339,-774,sitting,2025-02-12 12:18:48.009321,-7.402152643106888,-2.0,,jakob
-3191,-994,1922,772,598,-1407,sitting,2025-02-12 12:18:48.021253,-7.598766714761067,-2.0,,jakob
-3197,-1201,1669,1,338,-696,sitting,2025-02-12 12:18:48.037962,-7.903495567356347,-2.0,,jakob
-2612,981,2283,-504,54,-487,sitting,2025-02-12 12:18:48.055350,-8.142564648988529,-2.0,,jakob
-2577,-159,2542,-167,321,31,sitting,2025-02-12 12:18:48.069798,-8.280139776539102,-2.0,,jakob
-3727,-1208,1805,153,373,-413,sitting,2025-02-12 12:18:48.089064,-8.538727196283576,-2.0,,jakob
-3387,-238,2109,373,-131,197,sitting,2025-02-12 12:18:48.105441,-8.618920238612253,-2.0,,jakob
-2443,-453,2187,-687,122,5,sitting,2025-02-12 12:18:48.122736,-8.72257914811021,-2.0,,jakob
-2577,1634,3691,-1075,362,97,sitting,2025-02-12 12:18:48.136589,-8.646295059038032,-2.0,,jakob
-2601,545,2557,-1593,-551,107,sitting,2025-02-12 12:18:48.153734,-8.518320384657558,-2.0,,jakob
-2716,-611,1823,-1534,509,545,sitting,2025-02-12 12:18:48.168266,-8.301679005424681,-2.0,,jakob
-2753,-1902,1801,-1062,460,45,sitting,2025-02-12 12:18:48.216904,-8.656094537058209,-2.0,,jakob
-2407,2557,3416,-1231,-64,986,sitting,2025-02-12 12:18:48.219228,-8.27164284353863,-2.0,,jakob
-2897,-2357,1533,-1249,36,528,sitting,2025-02-12 12:18:48.221304,-7.909952298504556,-2.0,,jakob
-3278,259,3149,-891,48,173,sitting,2025-02-12 12:18:48.236185,-7.886419450960281,-2.0,,jakob
-2877,458,2484,-1845,-219,695,sitting,2025-02-12 12:18:48.251132,-7.919596913650362,-2.0,,jakob
-2592,93,2141,-1832,-116,1025,sitting,2025-02-12 12:18:48.267406,-8.060755937015463,-2.0,,jakob
-3289,-797,2436,-1925,-938,883,sitting,2025-02-12 12:18:48.283677,-8.124467271355167,-2.0,,jakob
-2896,1214,2657,-2179,-1126,702,sitting,2025-02-12 12:18:48.302192,-8.118000391120741,-2.0,,jakob
-2415,217,2586,-1992,311,901,sitting,2025-02-12 12:18:48.317261,-7.976349637993275,-2.0,,jakob
-2321,287,2280,-2095,438,752,sitting,2025-02-12 12:18:48.338586,-7.84624746561742,-2.0,,jakob
-2337,-485,1967,-1722,1476,1455,sitting,2025-02-12 12:18:48.356242,-7.6393399075746435,-2.0,,jakob
-2557,156,2745,-1635,1356,1529,sitting,2025-02-12 12:18:48.367088,-7.408739171719721,-2.0,,jakob
-3208,3,2341,-1903,702,1138,sitting,2025-02-12 12:18:48.382613,-7.31737887384802,-2.0,,jakob
-2794,599,2024,-1767,75,710,sitting,2025-02-12 12:18:48.401686,-7.362551244917524,-2.0,,jakob
-2746,460,2786,-1775,363,508,sitting,2025-02-12 12:18:48.416679,-7.355919191719266,-2.0,,jakob
-2627,1080,2960,-1763,448,667,sitting,2025-02-12 12:18:48.442428,-7.678349699990446,-2.0,,jakob
-2779,638,3007,-2569,-120,501,sitting,2025-02-12 12:18:48.451483,-7.541642338800447,-2.0,,jakob
-3525,-737,2047,-2799,522,379,sitting,2025-02-12 12:18:48.463879,-7.47949240757471,-2.0,,jakob
-2576,356,1867,-1459,1187,343,sitting,2025-02-12 12:18:48.481803,-7.546823737672165,-2.0,,jakob
-2585,478,2582,-572,1261,280,sitting,2025-02-12 12:18:48.523921,-8.442749803169509,-2.0,,jakob
-2631,77,2282,377,2574,844,sitting,2025-02-12 12:18:48.529788,-8.213378185630079,-2.0,,jakob
-3897,40,3488,1365,-33,-125,sitting,2025-02-12 12:18:48.530857,-7.831658814443813,-2.0,,jakob
-2932,-346,1688,326,-779,530,sitting,2025-02-12 12:18:48.551031,-7.976925227054955,-2.0,,jakob
-2014,1564,3915,75,-354,277,sitting,2025-02-12 12:18:48.565082,-8.13985132760697,-2.0,,jakob
-3053,-3085,-2242,5787,-2042,-1740,sitting,2025-02-12 12:18:48.584488,-8.589166993131382,-2.0,,jakob
-4837,654,4489,3629,-2609,-3047,sitting,2025-02-12 12:18:48.598206,-8.592524608236719,-2.0,,jakob
-2520,330,2100,4173,-4915,-2911,sitting,2025-02-12 12:18:48.616739,-8.676372793301073,-2.0,,jakob
