acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label,velocity,relative_position,prev_label_block,person
-3284,-163,-1027,10275,-1539,-633,2025-01-29 11:47:02.101147,walking,0.0,1.0,,jakob
-3336,29,-852,9847,-531,-210,2025-01-29 11:47:02.118586,walking,0.7401028557142861,1.0051626614803206,,jakob
-3344,351,-535,8943,-24,723,2025-01-29 11:47:02.141703,walking,1.4993517698333338,1.0255282713575233,,jakob
-3675,499,-665,8033,1214,2281,2025-01-29 11:47:02.149819,walking,1.5941264565797626,1.0353275642924715,,jakob
-4380,501,-591,7918,966,2692,2025-01-29 11:47:02.174362,walking,1.654303546607918,1.0664355584072889,,jakob
-4651,249,-698,7531,1535,1909,2025-01-29 11:47:02.190742,walking,1.3556921692775226,1.0856151004959016,,jakob
-5012,133,-791,6667,2469,1578,2025-01-29 11:47:02.201352,walking,0.9157567584326942,1.0949674518667831,,jakob
-5444,617,-988,4776,2754,2978,2025-01-29 11:47:02.220158,walking,-0.18665514472703548,1.100107611413741,,jakob
-5954,1439,-1211,2452,2006,5571,2025-01-29 11:47:02.227651,walking,-0.6942305605859217,1.0974953929177658,,jakob
-6323,1757,-1511,284,-488,5959,2025-01-29 11:47:02.262566,walking,-3.106378858747102,1.0449008629678178,,jakob
-5268,1571,-2012,138,-1717,4613,2025-01-29 11:47:02.262566,walking,-3.565014677714509,1.0188365645937207,,jakob
-4614,655,-2673,1471,-1323,3076,2025-01-29 11:47:02.286693,walking,-4.386718947876402,0.9438162359024523,,jakob
-4105,-245,-2750,4093,-2076,1119,2025-01-29 11:47:02.295046,walking,-4.2474504831016295,0.9157005942671008,,jakob
-3303,-965,-2414,5770,-2439,-592,2025-01-29 11:47:02.312987,walking,-3.633656627279881,0.8606666873825055,,jakob
-2602,-1370,-1974,7017,-2234,-1211,2025-01-29 11:47:02.330985,walking,-2.655840836392077,0.816695308281594,,jakob
-2597,-1031,-1405,7257,-333,-897,2025-01-29 11:47:02.345980,walking,-1.677562860048663,0.7915000395771764,,jakob
-2913,-81,-934,6129,325,-865,2025-01-29 11:47:02.380437,walking,0.33020546985853283,0.7740857578090378,,jakob
-3376,604,-1106,4516,980,-154,2025-01-29 11:47:02.380437,walking,0.7169904344608444,0.7782085003323436,,jakob
-4142,927,-1542,3666,984,245,2025-01-29 11:47:02.399252,walking,1.017261928213993,0.7909906801133467,,jakob
-4864,1182,-1501,3302,-631,-700,2025-01-29 11:47:02.419775,walking,0.9888617439461508,0.807041805231789,,jakob
-4828,1045,-1035,2740,-2831,-2817,2025-01-29 11:47:02.427797,walking,0.9000669267488433,0.8129443465721164,,jakob
-4036,594,-815,2197,-2909,-4088,2025-01-29 11:47:02.437537,walking,0.856909542316163,0.8196141938582631,,jakob
-3453,88,-863,1671,-2072,-4150,2025-01-29 11:47:02.463208,walking,1.2119523409146409,0.8404181407228143,,jakob
-3046,-60,-848,1233,-1141,-3559,2025-01-29 11:47:02.469414,walking,1.3659242186308136,0.8466670339696756,,jakob
-2898,-125,-737,487,90,-2385,2025-01-29 11:47:02.487323,walking,2.173459124604035,0.8715325137506436,,jakob
-2979,-153,-779,-100,423,-1454,2025-01-29 11:47:02.499210,walking,2.7317006428976427,0.8943388492408771,,jakob
-3019,-145,-680,-447,665,-1077,2025-01-29 11:47:02.511627,walking,3.3116326828956177,0.92367648666577,,jakob
-3030,-65,-508,-308,1008,-993,2025-01-29 11:47:02.539201,walking,4.720099708274647,1.0104369830554583,,jakob
-3149,-2,-417,-731,1144,-1191,2025-01-29 11:47:02.557836,walking,5.544044649051392,1.0851867339336927,,jakob
-2919,-134,-713,-1540,1809,-1239,2025-01-29 11:47:02.563937,walking,5.607885411360726,1.1117254197250452,,jakob
-2999,-205,-774,-1714,2032,-924,2025-01-29 11:47:02.596645,walking,7.104174125554595,1.27437138273772,,jakob
-3195,-208,-672,-1781,1453,-586,2025-01-29 11:47:02.625776,walking,8.310373147372104,1.4498488194517405,,jakob
-3170,-183,-466,-2157,714,-320,2025-01-29 11:47:02.625776,walking,8.419949728098738,1.5151080363241494,,jakob
-3153,-188,-296,-2861,540,-82,2025-01-29 11:47:02.642786,walking,8.840683991693801,1.6296849212561186,,jakob
-3133,-68,-236,-3736,1030,275,2025-01-29 11:47:02.659604,walking,9.148976853537683,1.7477313152267138,,jakob
-3390,258,-144,-5177,2019,684,2025-01-29 11:47:02.676279,walking,9.307994820384607,1.8677881325111207,,jakob
-3778,607,-497,-5628,1368,1327,2025-01-29 11:47:02.692793,walking,9.300768145555852,1.9876359326296604,,jakob
-4116,689,-1215,-5333,-153,1528,2025-01-29 11:47:02.702738,walking,9.009712777563772,2.0,,jakob
-4052,183,-1687,-5777,1169,644,2025-01-29 11:47:02.711911,walking,8.595456120590345,2.0,,jakob
-4284,-469,-1502,-5719,1825,430,2025-01-29 11:47:02.741662,walking,7.8376643724179695,2.0,,jakob
-4948,-591,-795,-5126,426,417,2025-01-29 11:47:02.763426,walking,6.946722269987547,2.0,,jakob
-5215,-718,-790,-4682,340,-905,2025-01-29 11:47:02.775867,walking,6.161830262202455,2.0,,jakob
-5060,-558,-1067,-4301,1088,-1600,2025-01-29 11:47:02.796004,walking,4.820600375044713,2.0,,jakob
-5556,-301,-1304,-3636,838,-1380,2025-01-29 11:47:02.813299,walking,3.487469345578192,2.0,,jakob
-6007,-384,-1612,-2703,291,-2599,2025-01-29 11:47:02.818686,walking,2.966008903061187,2.0,,jakob
-5593,-739,-2397,-655,210,-3963,2025-01-29 11:47:02.834992,walking,1.8858943231462226,2.0,,jakob
-4827,-1103,-2382,1616,-851,-3660,2025-01-29 11:47:02.846709,walking,1.3242028974651023,2.0,,jakob
-3991,-1064,-1753,2127,-2005,-1967,2025-01-29 11:47:02.862656,walking,1.0788206137823237,2.0,,jakob
-3174,-556,-1429,1474,-1912,-53,2025-01-29 11:47:02.882655,walking,1.4567484647598747,2.0,,jakob
-2658,146,-1246,10,-834,1599,2025-01-29 11:47:02.902327,walking,2.374878673902834,2.0,,jakob
-2376,769,-1266,-1504,-346,2572,2025-01-29 11:47:02.913924,walking,3.0667015328267397,2.0,,jakob
-2288,1156,-1447,-2447,306,2586,2025-01-29 11:47:02.937931,walking,4.756012309280641,2.0,,jakob
-2626,866,-1700,-2158,1163,1798,2025-01-29 11:47:02.950894,walking,5.433717395959466,2.0,,jakob
-3167,166,-1744,-668,2174,648,2025-01-29 11:47:02.963860,walking,5.847148791875778,2.0,,jakob
-3891,-482,-1832,1076,3743,-232,2025-01-29 11:47:02.987075,walking,6.190639147520085,2.0,,jakob
-4700,-857,-1936,2595,3548,-165,2025-01-29 11:47:02.997118,walking,5.914143877763128,2.0,,jakob
-5054,-992,-1892,3791,1062,820,2025-01-29 11:47:03.010719,walking,5.453110052208306,2.0,,jakob
-4680,-547,-1647,4043,-1379,2338,2025-01-29 11:47:03.032710,walking,4.831446907693128,2.0,,jakob
-4202,-14,-1427,3670,-2963,3313,2025-01-29 11:47:03.046402,walking,4.488410322308472,2.0,,jakob
