acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label,velocity,relative_position,prev_label_block,person
-3694,-149,-1379,-498,47,-104,2025-01-30 09:33:56.217685,standing,0.0,1.0,,jakob
-3759,-105,-1396,-610,78,-126,2025-01-30 09:33:56.217685,standing,-0.0013452380952380738,0.999994619047619,,jakob
-3730,-141,-1369,-567,87,-120,2025-01-30 09:33:56.217685,standing,0.0,0.999994619047619,,jakob
-3729,-144,-1383,-580,108,-117,2025-01-30 09:33:56.217685,standing,-0.0004476190476190141,0.9999928285714286,,jakob
-3707,-163,-1411,-586,143,-129,2025-01-30 09:33:56.233327,standing,0.0005549185714286766,0.9999963005859462,,jakob
-3703,-143,-1398,-584,120,-112,2025-01-30 09:33:56.233327,standing,0.001854761904761972,1.0000037196335654,,jakob
-3734,-145,-1410,-553,141,-74,2025-01-30 09:33:56.234743,standing,0.00033343428571429523,1.0000039084907448,,jakob
-3725,-152,-1371,-507,105,-96,2025-01-30 09:33:56.234743,standing,0.0017547619047619493,1.000010927538364,,jakob
-3724,-153,-1360,-496,134,-117,2025-01-30 09:33:56.242637,standing,-0.0005488209523809532,1.0000091945813248,,jakob
-3724,-147,-1419,-473,159,-107,2025-01-30 09:33:56.269581,standing,-0.006723169523809404,0.999936734949465,,jakob
-3735,-167,-1385,-434,87,-97,2025-01-30 09:33:56.271691,standing,-0.0008324452380952144,0.9999360323656841,,jakob
-3738,-165,-1388,-454,52,-75,2025-01-30 09:33:56.284506,standing,-0.008003272619047562,0.9998950075902389,,jakob
-3750,-123,-1393,-461,61,-78,2025-01-30 09:33:56.300374,standing,-0.012607503809523812,0.999814985242059,,jakob
-3745,-125,-1417,-491,11,-48,2025-01-30 09:33:56.323233,standing,-0.02979626338095244,0.9994330260549679,,jakob
-3737,-89,-1414,-578,-137,-89,2025-01-30 09:33:56.331615,standing,-0.03291255878333345,0.9992277709616086,,jakob
-3719,-96,-1414,-614,-173,-159,2025-01-30 09:33:56.347251,standing,-0.031266930844166776,0.9988366591770651,,jakob
-3708,-74,-1392,-698,-106,-147,2025-01-30 09:33:56.378507,standing,-0.026257982397196566,0.9981370052855656,,jakob
-3713,-79,-1408,-699,-61,-185,2025-01-30 09:33:56.378507,standing,-0.020490321372574855,0.997955263666966,,jakob
-3720,-88,-1367,-766,-27,-198,2025-01-30 09:33:56.415110,standing,0.007637844696053969,0.9977820881301137,,jakob
-3692,-149,-1396,-773,61,-184,2025-01-30 09:33:56.442324,standing,0.022464509047619166,0.9980266277898024,,jakob
-3705,-127,-1387,-771,145,-173,2025-01-30 09:33:56.459530,standing,0.035716486928571656,0.9984193221896556,,jakob
-3705,-169,-1391,-783,170,-157,2025-01-30 09:33:56.459530,standing,0.041485424486905086,0.9987209865379317,,jakob
-3714,-154,-1365,-730,285,-181,2025-01-30 09:33:56.469710,standing,0.04369160088160754,0.9990593809528068,,jakob
-3735,-146,-1403,-691,298,-165,2025-01-30 09:33:56.498653,standing,0.041520803218479674,1.000020610677468,,jakob
-3744,-146,-1394,-678,241,-174,2025-01-30 09:33:56.509175,standing,0.03550402353374621,1.0003360551304736,,jakob
-3737,-165,-1388,-702,182,-150,2025-01-30 09:33:56.512553,standing,0.03170363092848748,1.0004244674613532,,jakob
-3748,-171,-1353,-625,-14,-124,2025-01-30 09:33:56.528792,standing,0.019733222239206066,1.0007482839795363,,jakob
-3716,-124,-1336,-577,65,-135,2025-01-30 09:33:56.558920,standing,-0.008655572206087508,1.000869892505223,,jakob
-3741,-148,-1346,-531,154,-118,2025-01-30 09:33:56.574322,standing,-0.01932217571428575,1.0007508524450826,,jakob
-3792,-135,-1373,-520,59,-79,2025-01-30 09:33:56.574322,standing,-0.03025130502380949,1.000556422957273,,jakob
-3758,-148,-1392,-532,-69,-68,2025-01-30 09:33:56.581443,standing,-0.035037433820238044,1.000374762904411,,jakob
