acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label,velocity,relative_position,prev_label_block,person
-3789,-19,-1149,-561,232,-105,2025-01-30 10:06:17.500748,standing,0.0,1.0,,jakob
-3802,2,-1149,-579,190,-144,2025-01-30 10:06:17.518235,standing,-0.00387628499999886,0.999972886161682,,jakob
-3810,-24,-1161,-555,-2,-134,2025-01-30 10:06:17.545173,standing,-0.003681526666664849,0.9999332169755434,,jakob
-3762,-16,-1128,-552,-39,-135,2025-01-30 10:06:17.559520,standing,0.005356213333334334,0.9999639552126207,,jakob
-3765,2,-1109,-528,135,-126,2025-01-30 10:06:17.577250,standing,0.009190050000001115,1.0000291310472207,,jakob
-3769,12,-1106,-524,220,-139,2025-01-30 10:06:17.600446,standing,0.015386680000001304,1.0001718948189326,,jakob
-3793,-10,-1099,-482,206,-131,2025-01-30 10:06:17.600446,standing,0.019350679333335154,1.000307766920266,,jakob
-3790,-28,-1107,-464,244,-95,2025-01-30 10:06:17.626397,standing,0.013538958700003479,1.0006391311293197,,jakob
-3820,12,-1154,-485,254,-84,2025-01-30 10:06:17.643772,standing,0.0012786774316712202,1.0007374089122865,,jakob
-3839,21,-1121,-514,211,-94,2025-01-30 10:06:17.659570,standing,-0.0114798799999989,1.0006648652545904,,jakob
-3791,-3,-1145,-541,171,-111,2025-01-30 10:06:17.675343,standing,-0.020869164333331296,1.0004643901070274,,jakob
-3783,8,-1128,-641,94,-96,2025-01-30 10:06:17.691554,standing,-0.027471894449997005,1.0001576935459129,,jakob
-3781,11,-1166,-698,119,-103,2025-01-30 10:06:17.746063,standing,-0.026098299727497155,0.999019619770036,,jakob
-3797,35,-1131,-745,125,-69,2025-01-30 10:06:17.769902,standing,-0.026064798074454745,0.9985346564819797,,jakob
-3800,16,-1123,-772,108,-37,2025-01-30 10:06:17.769902,standing,-0.027178224837397954,0.9983268973499472,,jakob
-3805,22,-1135,-833,35,-18,2025-01-30 10:06:17.769902,standing,-0.03078598026219407,0.9981004761745162,,jakob
-3810,9,-1158,-822,33,-37,2025-01-30 10:06:17.769902,standing,-0.035163347915750424,0.997842836057857,,jakob
-3805,-25,-1197,-876,-60,-24,2025-01-30 10:06:17.789237,standing,-0.03788445551996168,0.9972914820127242,,jakob
-3792,-13,-1165,-879,-229,-72,2025-01-30 10:06:17.805739,standing,-0.028756856077295816,0.9968640994288328,,jakob
-3733,-10,-1135,-844,-113,-95,2025-01-30 10:06:17.819989,standing,-0.01380526327343003,0.9966296910525156,,jakob
-3738,-24,-1044,-791,226,-101,2025-01-30 10:06:17.835043,standing,0.001161209890242522,0.9965577101093298,,jakob
-3775,-1,-1055,-773,378,-93,2025-01-30 10:06:17.853647,standing,0.01048025333333459,0.9966356999625352,,jakob
-3840,-20,-1154,-811,226,-116,2025-01-30 10:06:17.869818,standing,-0.0005120816666656494,0.9966323876134825,,jakob
-3834,-56,-1184,-801,9,-164,2025-01-30 10:06:17.886938,standing,-0.011841333333332295,0.9965512981628158,,jakob
-3810,-22,-1209,-768,-113,-128,2025-01-30 10:06:17.903178,standing,-0.029059133333331294,0.9962894547964158,,jakob
