acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label,velocity,relative_position,prev_label_block,person
-3778,-330,-1264,2210,673,368,2025-01-30 09:39:15.319872,standing,0.0,1.0,,jakob
-3768,-319,-1246,2321,570,353,2025-01-30 09:39:15.331971,standing,-0.013297377142857312,0.9999356460135794,,jakob
-3752,-342,-1256,2489,556,337,2025-01-30 09:39:15.346132,standing,-0.019911936619047943,0.9997513012598609,,jakob
-3732,-379,-1242,2579,587,307,2025-01-30 09:39:15.367705,standing,-0.01900365907381003,0.9994240820056818,,jakob
-3743,-362,-1255,2606,622,363,2025-01-30 09:39:15.385020,standing,-0.014054535643929174,0.9992017019162039,,jakob
-3743,-387,-1254,2600,656,436,2025-01-30 09:39:15.397351,standing,-0.010565590052209075,0.9990837317378009,,jakob
-3756,-356,-1291,2608,645,516,2025-01-30 09:39:15.414254,standing,-0.01128893745436076,0.9989395407097965,,jakob
-3765,-352,-1262,2595,588,596,2025-01-30 09:39:15.438302,standing,-0.028617347724500038,0.998561103698762,,jakob
-3779,-367,-1238,2570,518,649,2025-01-30 09:39:15.445529,standing,-0.03798396248113223,0.9983727089826597,,jakob
-3830,-306,-1253,2494,504,594,2025-01-30 09:39:15.463743,standing,-0.06439018769040912,0.9976406886720226,,jakob
-3806,-274,-1252,2301,357,556,2025-01-30 09:39:15.492676,standing,-0.09137810806779395,0.9958752110575627,,jakob
-3705,-194,-1273,2161,265,449,2025-01-30 09:39:15.495711,standing,-0.08862731218821382,0.9956622311285316,,jakob
-3714,-224,-1273,2074,315,370,2025-01-30 09:39:15.509914,standing,-0.08347226991213666,0.9947096744570032,,jakob
-3741,-234,-1288,1952,249,331,2025-01-30 09:39:15.526687,standing,-0.06796090713081576,0.9937216805932514,,jakob
-3738,-223,-1225,1758,237,369,2025-01-30 09:39:15.555425,standing,-0.04714900225046566,0.9924375303739142,,jakob
-3773,-255,-1231,1435,229,431,2025-01-30 09:39:15.560089,standing,-0.04273495023318054,0.9922742409310906,,jakob
-3752,-292,-1207,1085,47,470,2025-01-30 09:39:15.576661,standing,-0.030639219864378883,0.9918020223042532,,jakob
-3700,-277,-1254,913,36,450,2025-01-30 09:39:15.593603,standing,-0.018756503633064893,0.9914776591585146,,jakob
-3723,-356,-1326,935,210,419,2025-01-30 09:39:15.616278,standing,-0.0006774582133168283,0.9913098991989655,,jakob
