acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,label,timestamp,velocity,relative_position,prev_label_block,person
359,-4091,-785,-778,523,136,laying,2025-02-12 12:20:40.599764,18.214325415044044,2.0,falling,jakob
352,-4093,-735,-785,672,82,laying,2025-02-12 12:20:40.600887,17.454578579768032,2.0,falling,jakob
361,-4110,-772,-763,879,81,laying,2025-02-12 12:20:40.601681,16.687824074589155,2.0,falling,jakob
316,-4125,-729,-748,1030,51,laying,2025-02-12 12:20:40.602421,15.951500666097791,2.0,falling,jakob
273,-4194,-801,-707,-234,-12,laying,2025-02-12 12:20:40.603133,15.248172394697663,2.0,falling,jakob
278,-4137,-779,-823,-298,35,laying,2025-02-12 12:20:40.700518,20.0,2.0,falling,jakob
402,-4135,-825,-688,-107,0,laying,2025-02-12 12:20:40.704161,19.48628238547619,2.0,falling,jakob
418,-4110,-847,-643,-24,-16,laying,2025-02-12 12:20:40.754021,20.0,2.0,falling,jakob
375,-4116,-845,-612,45,-51,laying,2025-02-12 12:20:40.774292,20.0,2.0,falling,jakob
396,-4111,-827,-619,146,-73,laying,2025-02-12 12:20:40.792453,20.0,2.0,falling,jakob
374,-4093,-823,-647,154,-99,laying,2025-02-12 12:20:40.811462,20.0,2.0,falling,jakob
388,-4108,-856,-635,149,-105,laying,2025-02-12 12:20:40.817387,19.80176535714286,2.0,falling,jakob
374,-4134,-870,-671,87,-72,laying,2025-02-12 12:20:40.822367,19.483997246428572,2.0,falling,jakob
361,-4135,-862,-642,-3,-33,laying,2025-02-12 12:20:40.824425,18.78704918410714,2.0,falling,jakob
347,-4129,-930,-630,-145,16,laying,2025-02-12 12:20:40.839011,19.813510983473208,2.0,falling,jakob
366,-4142,-888,-588,-223,-12,laying,2025-02-12 12:20:40.851131,20.0,2.0,falling,jakob
407,-4121,-862,-572,-228,15,laying,2025-02-12 12:20:40.886101,20.0,2.0,falling,jakob
399,-4122,-849,-539,-175,-2,laying,2025-02-12 12:20:40.888354,19.306180554285714,2.0,falling,jakob
405,-4143,-872,-507,-91,-14,laying,2025-02-12 12:20:40.924179,20.0,2.0,falling,jakob
415,-4135,-840,-479,-42,-48,laying,2025-02-12 12:20:40.926213,19.27728311285714,2.0,falling,jakob
385,-4136,-818,-498,-49,-22,laying,2025-02-12 12:20:40.930619,18.912740911023807,2.0,falling,jakob
386,-4128,-854,-534,-151,7,laying,2025-02-12 12:20:40.963150,20.0,2.0,falling,jakob
360,-4119,-826,-552,-151,20,laying,2025-02-12 12:20:40.971320,20.0,2.0,falling,jakob
367,-4105,-806,-580,-132,-12,laying,2025-02-12 12:20:41.011993,20.0,2.0,falling,jakob
372,-4107,-793,-547,-26,-65,laying,2025-02-12 12:20:41.013901,19.257215662857142,2.0,falling,jakob
378,-4099,-822,-512,97,-104,laying,2025-02-12 12:20:41.160001,20.0,2.0,falling,jakob
358,-4096,-781,-549,166,-114,laying,2025-02-12 12:20:41.164010,19.53962762690476,2.0,falling,jakob
370,-4112,-777,-567,167,-147,laying,2025-02-12 12:20:41.165734,18.794496743654758,2.0,falling,jakob
334,-4129,-821,-630,56,-131,laying,2025-02-12 12:20:41.167076,18.035249498376782,2.0,falling,jakob
381,-4133,-803,-675,13,-123,laying,2025-02-12 12:20:41.168797,17.36510616941032,2.0,falling,jakob
369,-4145,-840,-667,-4,-108,laying,2025-02-12 12:20:41.170211,16.68744257427314,2.0,falling,jakob
387,-4123,-812,-664,30,-88,laying,2025-02-12 12:20:41.171295,15.999263073178527,2.0,falling,jakob
382,-4135,-839,-638,164,-93,laying,2025-02-12 12:20:41.172163,15.316218692852933,2.0,falling,jakob
337,-4136,-863,-628,148,-109,laying,2025-02-12 12:20:41.173262,14.698304636543618,2.0,falling,jakob
345,-4142,-873,-632,-183,-82,laying,2025-02-12 12:20:41.202319,17.8758867813831,2.0,falling,jakob
