acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label,velocity,relative_position,prev_label_block,person
-3610,-92,-1414,10740,84,1441,2025-01-29 11:50:13.840921,walking,0.0,1.0,,julia
-3537,20,-1351,10269,-457,2021,2025-01-29 11:50:13.849785,walking,0.11469804952381003,1.0004066734043917,,julia
-3348,185,-1282,9757,-938,2674,2025-01-29 11:50:13.866216,walking,0.4295280449047635,1.0039458529143797,,julia
-3169,328,-1290,9360,-1118,3206,2025-01-29 11:50:13.883134,walking,0.8655103345642883,1.0125643015266486,,julia
-3072,360,-1295,9080,-1099,3568,2025-01-29 11:50:13.899621,walking,1.3579759573598842,1.0269423555469108,,julia
-3053,468,-1220,8647,-677,3625,2025-01-29 11:50:13.915722,walking,1.8747006359204623,1.0473247904604845,,julia
-3003,408,-1290,8053,18,3735,2025-01-29 11:50:13.933023,walking,2.397223104838726,1.0762395276019932,,julia
-3119,361,-1292,7817,389,4169,2025-01-29 11:50:13.979342,walking,3.666457731263459,1.1863642411210995,,julia
-3536,288,-1090,7210,730,4358,2025-01-29 11:50:13.979342,walking,3.7041824637479057,1.2151135103548922,,julia
-3831,234,-1098,6495,679,4439,2025-01-29 11:50:13.979342,walking,3.66082095960813,1.2438326875555668,,julia
-3871,363,-1409,6209,597,4342,2025-01-29 11:50:13.999983,walking,3.6230876371039153,1.3024602903849147,,julia
-3769,399,-1560,6232,992,3888,2025-01-29 11:50:14.010632,walking,3.4591820997725296,1.3318562813511632,,julia
-3782,434,-1385,5970,1061,3541,2025-01-29 11:50:14.033298,walking,3.2225261381172374,1.3908672044896981,,julia
-3957,408,-1126,5224,218,3302,2025-01-29 11:50:14.051639,walking,2.9020121743066145,1.4346171803269803,,julia
-4296,232,-1245,4941,-1380,3276,2025-01-29 11:50:14.067348,walking,2.480586515353189,1.4675275232684029,,julia
-4582,-170,-1715,4941,-1874,2513,2025-01-29 11:50:14.084472,walking,1.8566179324426735,1.4963860875842472,,julia
-4838,-721,-2492,5540,-394,1196,2025-01-29 11:50:14.101401,walking,1.0740955451062548,1.515603093269251,,julia
-5034,-1102,-2891,6907,316,330,2025-01-29 11:50:14.117153,walking,0.2738209773747523,1.5237576626335692,,julia
-5014,-1277,-2854,8032,-122,399,2025-01-29 11:50:14.133695,walking,-0.5022947900654134,1.522155306177603,,julia
-4570,-1114,-2336,8038,-1928,1769,2025-01-29 11:50:14.150704,walking,-1.079983060324047,1.5115609912363777,,julia
-4047,-729,-2183,7718,-3897,3361,2025-01-29 11:50:14.167303,walking,-1.276549764450701,1.4962730886693696,,julia
-3243,-336,-2003,6978,-3892,4412,2025-01-29 11:50:14.198097,walking,-0.862601828132926,1.4707100764814913,,julia
-2560,-155,-2177,6320,-3389,5445,2025-01-29 11:50:14.200874,walking,-0.7123496229167556,1.4690085293151998,,julia
-2195,25,-2261,6108,-2736,5969,2025-01-29 11:50:14.215904,walking,0.24618142965765455,1.4664200584339748,,julia
-1948,262,-2365,6260,-2356,6015,2025-01-29 11:50:14.217542,walking,0.3541421181747719,1.466805325518879,,julia
-2103,267,-2749,7219,-763,5569,2025-01-29 11:50:14.278036,walking,4.655692208932703,1.5876028231665575,,julia
-2783,36,-3017,8939,386,4591,2025-01-29 11:50:14.284212,walking,4.783337488009878,1.610345931028237,,julia
-3425,-237,-2878,10516,587,3743,2025-01-29 11:50:14.284212,walking,4.934318232657004,1.6482598864133027,,julia
-3938,-452,-2786,11754,74,3318,2025-01-29 11:50:14.293723,walking,4.858417616500345,1.684576764663621,,julia
-4074,-546,-2639,12493,-753,4084,2025-01-29 11:50:14.317336,walking,4.632964733532472,1.7719303329325824,,julia
-4188,-619,-2851,13507,-1788,5382,2025-01-29 11:50:14.317336,walking,4.309864115903468,1.8067750553836197,,julia
-4142,-548,-2880,14808,-2902,7113,2025-01-29 11:50:14.351227,walking,3.7142752758225828,1.9126321865385731,,julia
-4043,-372,-2766,16145,-3635,8570,2025-01-29 11:50:14.351227,walking,3.457809131079073,1.9405776691110153,,julia
-3734,-122,-2511,17325,-4167,9460,2025-01-29 11:50:14.367802,walking,3.2959371030965485,1.9842087429166468,,julia
-3450,79,-2332,18272,-4213,9729,2025-01-29 11:50:14.382838,walking,3.2857819279417217,2.0,,julia
-3264,366,-2213,18904,-3758,9542,2025-01-29 11:50:14.397284,walking,3.4124318320208267,2.0,,julia
-3142,671,-2022,19186,-2924,9172,2025-01-29 11:50:14.414644,walking,3.732312907086453,2.0,,julia
-3072,848,-1897,19109,-2497,8826,2025-01-29 11:50:14.423739,walking,3.8466031712559405,2.0,,julia
-3082,935,-1860,18878,-2399,8472,2025-01-29 11:50:14.464522,walking,5.070452977455051,2.0,,julia
-3136,941,-1825,18582,-2305,8177,2025-01-29 11:50:14.467592,walking,4.919667147629917,2.0,,julia
-3250,902,-1716,18201,-2084,7952,2025-01-29 11:50:14.484493,walking,5.1742873862008025,2.0,,julia
-3408,880,-1641,17542,-1818,7551,2025-01-29 11:50:14.491150,walking,5.079067351890762,2.0,,julia
-3575,764,-1647,16925,-1906,6970,2025-01-29 11:50:14.500663,walking,5.019509874296225,2.0,,julia
-3591,825,-1600,16273,-2191,6293,2025-01-29 11:50:14.531320,walking,5.333382306295701,2.0,,julia
-3452,883,-1546,15555,-2443,5791,2025-01-29 11:50:14.534530,walking,5.125776426695201,2.0,,julia
-3336,970,-1451,14883,-2222,5408,2025-01-29 11:50:14.556937,walking,5.300592950360442,2.0,,julia
-3327,1045,-1355,13924,-1312,4985,2025-01-29 11:50:14.579449,walking,5.46913906284242,2.0,,julia
-3488,1007,-1272,12962,-683,4455,2025-01-29 11:50:14.596700,walking,5.498088032319348,2.0,,julia
-3674,951,-1215,11923,-727,3837,2025-01-29 11:50:14.612353,walking,5.44466985379862,2.0,,julia
-3715,898,-1150,11102,-1311,3440,2025-01-29 11:50:14.627952,walking,5.33669011706107,2.0,,julia
-3749,798,-1085,10179,-2069,2934,2025-01-29 11:50:14.643679,walking,5.206912671684208,2.0,,julia
-3638,718,-1068,9456,-2400,2389,2025-01-29 11:50:14.659501,walking,5.0983753609571405,2.0,,julia
-3540,736,-1001,8821,-2364,1981,2025-01-29 11:50:14.670798,walking,4.976476078147379,2.0,,julia
-3446,819,-960,8152,-2032,1753,2025-01-29 11:50:14.690777,walking,4.98847336233525,2.0,,julia
-3507,857,-1070,7622,-1226,1681,2025-01-29 11:50:14.716840,walking,5.072649888742298,2.0,,julia
-3701,737,-1225,7411,-984,1346,2025-01-29 11:50:14.720711,walking,4.8660297676385165,2.0,,julia
-3737,611,-1219,7130,-1133,609,2025-01-29 11:50:14.738854,walking,4.837264934494687,2.0,,julia
-3572,525,-1224,6725,-1121,132,2025-01-29 11:50:14.763808,walking,4.881368586341383,2.0,,julia
-3478,618,-1126,6235,-983,283,2025-01-29 11:50:14.769524,walking,4.703347176071933,2.0,,julia
-3548,637,-986,5571,-772,798,2025-01-29 11:50:14.795072,walking,4.7622312144111945,2.0,,julia
-3641,551,-994,5225,-440,1426,2025-01-29 11:50:14.800959,walking,4.580780627023969,2.0,,julia
