acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,label,timestamp,velocity,relative_position,prev_label_block,person
-3755,-378,-881,-3521,968,-33,standing,2025-02-12 12:04:22.732141,0.23330260975000042,1.5361548889503869,,julia
-3917,-208,-889,-3007,911,3,standing,2025-02-12 12:04:22.744698,0.20632391878631004,1.5383044534605064,,julia
-4123,-71,-950,-1994,692,-18,standing,2025-02-12 12:04:22.764138,0.04768977998985183,1.5401994452425656,,julia
-4267,-25,-832,-2080,648,-109,standing,2025-02-12 12:04:22.783874,-0.16576183091440247,1.5392485131337892,,julia
-4060,-185,-693,-1580,355,-385,standing,2025-02-12 12:04:22.798950,-0.31568918032106313,1.5363951514628922,,julia
-3876,-227,-687,-1793,142,-74,standing,2025-02-12 12:04:22.813243,-0.4048800001145336,1.5323657562535924,,julia
-3756,-291,-569,-1448,-542,-79,standing,2025-02-12 12:04:22.845603,-0.4770083905849971,1.5212126312604517,,julia
-3654,-145,-596,-1476,-388,245,standing,2025-02-12 12:04:22.849576,-0.45315797105574723,1.5197723139652481,,julia
-3838,-10,-577,-1377,-352,264,standing,2025-02-12 12:04:22.864489,-0.434448466788674,1.5146127229386657,,julia
-3994,147,-464,-1593,-561,95,standing,2025-02-12 12:04:22.881433,-0.42881477487781144,1.5089090958883722,,julia
-3924,198,-542,-1782,-672,-176,standing,2025-02-12 12:04:22.911057,-0.47564324946725395,1.4984456942609126,,julia
-3840,216,-513,-1832,-477,-142,standing,2025-02-12 12:04:22.911922,-0.4544989250891293,1.498132093696732,,julia
-3841,201,-464,-2026,-174,-86,standing,2025-02-12 12:04:22.931662,-0.46788877883467267,1.4910283565621747,,julia
-3800,109,-509,-2131,120,34,standing,2025-02-12 12:04:22.944535,-0.4538854998929389,1.4864024190911493,,julia
-3788,-5,-531,-2066,282,38,standing,2025-02-12 12:04:22.962487,-0.42220667632686326,1.4802743394420317,,julia
-3910,-83,-599,-1832,251,-111,standing,2025-02-12 12:04:22.977483,-0.3916417215581389,1.4755191794385223,,julia
-3608,-39,-632,-936,1021,279,standing,2025-02-12 12:04:22.993910,-0.3867539780992794,1.4705331669464141,,julia
-4047,-141,-592,-1448,164,-71,standing,2025-02-12 12:04:23.023116,-0.4131097615752676,1.4614147495277274,,julia
-3899,-33,-623,-1192,-488,40,standing,2025-02-12 12:04:23.030008,-0.40089369159174226,1.459227647857572,,julia
-3823,92,-571,-1048,-327,102,standing,2025-02-12 12:04:23.044721,-0.4024701108216788,1.4546176581852963,,julia
-3807,142,-603,-965,-29,53,standing,2025-02-12 12:04:23.063444,-0.3991883895663088,1.448764586301889,,julia
-3760,144,-615,-814,261,-96,standing,2025-02-12 12:04:23.095406,-0.36323275008799283,1.439272361701783,,julia
-3781,73,-674,-683,592,-92,standing,2025-02-12 12:04:23.098949,-0.345724880440736,1.438293365620469,,julia
-3885,-34,-778,-350,506,124,standing,2025-02-12 12:04:23.109863,-0.343985889275842,1.4353578291110969,,julia
-3974,-135,-742,116,172,301,standing,2025-02-12 12:04:23.141928,-0.39843660076443077,1.426056116404633,,julia
-3904,-136,-663,476,-165,396,standing,2025-02-12 12:04:23.143706,-0.3835278840595425,1.4255141516685494,,julia
-3825,-108,-605,776,-242,353,standing,2025-02-12 12:04:23.178360,-0.41614271795180313,1.414695253157593,,julia
-3833,10,-526,886,-198,85,standing,2025-02-12 12:04:23.191559,-0.38490208681611765,1.4105759103610251,,julia
-3568,6,-565,858,106,-12,standing,2025-02-12 12:04:23.193734,-0.362697946761026,1.4099422415725895,,julia
-3834,89,-658,950,667,94,standing,2025-02-12 12:04:23.214477,-0.33366309680392675,1.4043148635921157,,julia
-3930,92,-711,993,556,63,standing,2025-02-12 12:04:23.248805,-0.33618727529706327,1.3953460938984643,,julia
-3966,53,-721,1061,340,120,standing,2025-02-12 12:04:23.249342,-0.32057785081792434,1.3952086314007115,,julia
-3909,83,-695,1096,202,139,standing,2025-02-12 12:04:23.257936,-0.33466683589607554,1.393011263186662,,julia
-3827,52,-714,1326,252,294,standing,2025-02-12 12:04:23.272591,-0.362404440529843,1.3890231222138545,,julia
-3829,21,-626,1490,406,280,standing,2025-02-12 12:04:23.292965,-0.38716178659858874,1.3830621298506758,,julia
-3841,40,-626,1398,277,268,standing,2025-02-12 12:04:23.313025,-0.3926685448877068,1.376960100579613,,julia
-3869,55,-682,1254,228,225,standing,2025-02-12 12:04:23.321051,-0.3793718357385595,1.3745445732964758,,julia
-3833,-1,-758,1485,76,265,standing,2025-02-12 12:04:23.340934,-0.37301948085639314,1.3687115156815326,,julia
-3813,28,-704,1617,87,231,standing,2025-02-12 12:04:23.372320,-0.3687911210992873,1.3596326804488634,,julia
-3812,41,-650,1609,92,240,standing,2025-02-12 12:04:23.377402,-0.35278850504432285,1.3582033373143871,,julia
-3823,87,-610,1542,108,239,standing,2025-02-12 12:04:23.396918,-0.3534848264587732,1.3528275855886303,,julia
-3891,75,-667,1443,-8,152,standing,2025-02-12 12:04:23.411791,-0.359525937754882,1.3486908895466487,,julia
-3903,146,-690,1349,-89,93,standing,2025-02-12 12:04:23.434703,-0.388852010390947,1.3419969044931985,,julia
-3874,149,-686,1279,-195,26,standing,2025-02-12 12:04:23.440501,-0.3825970989190186,1.3402528509980118,,julia
-3845,154,-615,1175,-197,-4,standing,2025-02-12 12:04:23.459803,-0.405150372544496,1.3343185081044031,,julia
-3832,172,-566,956,-89,65,standing,2025-02-12 12:04:23.475971,-0.421748194869652,1.3291017991136884,,julia
-3859,147,-601,688,-150,75,standing,2025-02-12 12:04:23.493312,-0.4352478225071216,1.323303602647701,,julia
-3959,162,-659,440,-248,38,standing,2025-02-12 12:04:23.505885,-0.42881850423890816,1.3190674876946775,,julia
-3761,157,-592,299,-294,86,standing,2025-02-12 12:04:23.525694,-0.4217296711698198,1.3124979734870184,,julia
-3803,171,-518,66,-219,53,standing,2025-02-12 12:04:23.553808,-0.41046969999228106,1.3033765223981832,,julia
-3775,228,-436,-380,-151,27,standing,2025-02-12 12:04:23.560565,-0.3891997273736193,1.3012706467451556,,julia
-3841,284,-500,-742,-45,7,standing,2025-02-12 12:04:23.570848,-0.3734367243382715,1.298213813307906,,julia
-3885,268,-529,-1172,2,-65,standing,2025-02-12 12:04:23.593950,-0.3998027871689766,1.291241004334083,,julia
-3929,218,-635,-1421,-38,-265,standing,2025-02-12 12:04:23.614974,-0.45475319638195594,1.2842226394107619,,julia
-3953,101,-662,-1609,-74,-347,standing,2025-02-12 12:04:23.640355,-0.5545936803723814,1.2742061879967486,,julia
-3948,69,-665,-1951,-230,-317,standing,2025-02-12 12:04:23.643173,-0.5418403244490004,1.2730015444863396,,julia
-3921,98,-641,-2144,-414,-119,standing,2025-02-12 12:04:23.678732,-0.6896816553694072,1.2558702144561362,,julia
-3902,164,-554,-2406,-711,-14,standing,2025-02-12 12:04:23.708368,-0.7623176002199842,1.2390664225914478,,julia
-3833,238,-542,-2772,-834,2,standing,2025-02-12 12:04:23.710935,-0.7292318178280326,1.2375740370345913,,julia
-3788,264,-471,-3176,-603,-42,standing,2025-02-12 12:04:23.712065,-0.6934533388413928,1.2369474639828597,,julia
-3782,309,-479,-3498,-387,-130,standing,2025-02-12 12:04:23.740557,-0.6482250642802749,1.222051781008768,,julia
-3816,354,-484,-4154,-372,-269,standing,2025-02-12 12:04:23.748139,-0.6096687805900706,1.2183351374047928,,julia
-3812,214,-523,-4502,-423,-415,standing,2025-02-12 12:04:23.757781,-0.5791807501319954,1.213867551062353,,julia
-3835,105,-626,-4392,-67,-318,standing,2025-02-12 12:04:23.772978,-0.5743777059587287,1.2070313361166638,,julia
-3948,212,-573,-4803,-229,-372,standing,2025-02-12 12:04:23.807222,-0.6321086139941251,1.1908987489037346,,julia
-3940,137,-648,-5132,-688,-414,standing,2025-02-12 12:04:23.809420,-0.605865256627752,1.189838109771355,,julia
-3845,21,-727,-5132,-885,-512,standing,2025-02-12 12:04:23.821774,-0.6063275709392214,1.1839976348822576,,julia
-3766,-208,-743,-4621,-328,-292,standing,2025-02-12 12:04:23.840193,-0.6242602014398791,1.1751545153610599,,julia
-3891,-178,-668,-4088,3,-213,standing,2025-02-12 12:04:23.863864,-0.6474792194631229,1.1634087150927475,,julia
-3918,182,-402,-4342,-432,-251,standing,2025-02-12 12:04:23.869690,-0.6268710042042525,1.1605144136101648,,julia
-3906,287,-460,-5084,-985,-324,standing,2025-02-12 12:04:23.889746,-0.6379363435178492,1.1506190736410054,,julia
-3823,252,-549,-5106,-806,-372,standing,2025-02-12 12:04:23.905100,-0.6379685349133851,1.1429788737319995,,julia
-3807,303,-424,-5233,-373,-389,standing,2025-02-12 12:04:23.920477,-0.6262835407867633,1.1353989129080102,,julia
-3843,275,-396,-5668,-273,-459,standing,2025-02-12 12:04:23.938198,-0.5979734951759964,1.1269428567468174,,julia
-3813,292,-385,-6109,-407,-463,standing,2025-02-12 12:04:23.954283,-0.5571293608933869,1.1197032930442652,,julia
-3782,152,-445,-6542,-406,-260,standing,2025-02-12 12:04:23.980740,-0.5136506642772887,1.1086662416239121,,julia
-3777,168,-411,-6618,-219,-202,standing,2025-02-12 12:04:23.988067,-0.4920677620158051,1.1057939524284754,,julia
-3871,249,-375,-6865,-88,-174,standing,2025-02-12 12:04:24.004712,-0.5053238227245386,1.0993171286152492,,julia
-4009,306,-393,-7131,106,-488,standing,2025-02-12 12:04:24.020714,-0.5346968415883115,1.0928218881833403,,julia
-3990,302,-371,-7444,219,-654,standing,2025-02-12 12:04:24.040671,-0.5840884511755625,1.0841042678456163,,julia
-3833,158,-462,-7690,-182,-523,standing,2025-02-12 12:04:24.052395,-0.6039433857596415,1.0786698308031566,,julia
-3806,-100,-543,-7396,-694,-399,standing,2025-02-12 12:04:24.068024,-0.6323475240907069,1.0711298151746569,,julia
-3916,-163,-510,-7096,-721,-500,standing,2025-02-12 12:04:24.111629,-0.7382831586004568,1.0477747450829171,,julia
-3877,-144,-365,-7131,-466,-562,standing,2025-02-12 12:04:24.118642,-0.7325384461466243,1.043752347913106,,julia
-4003,-89,-368,-6986,-596,-404,standing,2025-02-12 12:04:24.122963,-0.7244712762202454,1.041297358281483,,julia
-4078,-28,-443,-6743,-1046,-426,standing,2025-02-12 12:04:24.147865,-0.8684018243139947,1.0257918835760904,,julia
-3994,13,-494,-6439,-1308,-463,standing,2025-02-12 12:04:24.151830,-0.8524374700030568,1.0231314967199716,,julia
-3853,-34,-386,-6218,-1157,-387,standing,2025-02-12 12:04:24.169240,-0.9243651060267131,1.0110546623075554,,julia
-3878,-25,-314,-5961,-1076,-347,standing,2025-02-12 12:04:24.184841,-0.9614487616777581,0.9995748498479149,,julia
-3933,-34,-299,-5872,-1062,-239,standing,2025-02-12 12:04:24.208754,-0.9963430464510127,0.9813080021295616,,julia
-3900,-37,-238,-5823,-1035,-179,standing,2025-02-12 12:04:24.221929,-0.972144995318938,0.9711966065421738,,julia
-3798,-68,-352,-5755,-895,-57,standing,2025-02-12 12:04:24.233550,-0.9235377455529911,0.9626106608293167,,julia
-3744,-129,-492,-5404,-527,-70,standing,2025-02-12 12:04:24.253351,-0.8578521587515318,0.948867079649257,,julia
-3734,-83,-505,-5143,-299,-54,standing,2025-02-12 12:04:24.282196,-0.738073890099669,0.9309481798079956,,julia
-3740,3,-391,-4948,-47,-114,standing,2025-02-12 12:04:24.284890,-0.6925077027375426,0.9294463525047528,,julia
-3761,-99,-463,-4647,187,-128,standing,2025-02-12 12:04:24.332902,-0.5541535347435217,0.9061694463676532,,julia
-3827,-56,-417,-4367,335,-227,standing,2025-02-12 12:04:24.347266,-0.5249307980063455,0.9001286566528667,,julia
-3926,10,-463,-4399,412,-431,standing,2025-02-12 12:04:24.350074,-0.504467400963171,0.8990019167094001,,julia
-3963,-65,-481,-4543,178,-548,standing,2025-02-12 12:04:24.351796,-0.4857179309150124,0.8983372509100915,,julia
-3944,-117,-503,-4541,-358,-478,standing,2025-02-12 12:04:24.370789,-0.5471763850835474,0.8906746510258247,,julia
-3897,-171,-585,-4014,-836,-293,standing,2025-02-12 12:04:24.413587,-0.7025446458293696,0.8697487878519964,,julia
-3842,-113,-469,-3561,-347,-324,standing,2025-02-12 12:04:24.416339,-0.6774058630617106,0.8682684063891155,,julia
-3862,52,-361,-3566,152,-282,standing,2025-02-12 12:04:24.417580,-0.6471711089562441,0.867627699593727,,julia
-3899,96,-345,-3896,-257,-256,standing,2025-02-12 12:04:24.431938,-0.6414398063655746,0.8604127910404986,,julia
-3868,36,-385,-4235,-919,-278,standing,2025-02-12 12:04:24.464445,-0.6093678160472958,0.8445658153634991,,julia
-3758,-32,-442,-4056,-904,-297,standing,2025-02-12 12:04:24.467143,-0.5789797228639786,0.8433162321868599,,julia
-3727,6,-420,-3764,-261,-250,standing,2025-02-12 12:04:24.481666,-0.5484262910064938,0.8369350756213867,,julia
-3867,-30,-350,-3605,209,-84,standing,2025-02-12 12:04:24.496159,-0.5222299800275975,0.830887233931659,,julia
-3865,34,-348,-3733,23,100,standing,2025-02-12 12:04:24.516438,-0.5271356943595508,0.8225870053625998,,julia
-3941,-67,-372,-3892,-241,136,standing,2025-02-12 12:04:24.532156,-0.5649008648796683,0.8158868634842298,,julia
-3974,-157,-503,-3436,-463,73,standing,2025-02-12 12:04:24.547582,-0.6321354159213988,0.8086749540320075,,julia
-4021,-537,-576,-2473,-463,51,standing,2025-02-12 12:04:24.581857,-0.846264073696757,0.7888394258569568,,julia
-3995,-462,-404,-1602,-1002,130,standing,2025-02-12 12:04:24.585851,-0.8322264881071572,0.7862254689096257,,julia
-3933,-345,-318,-931,-1306,151,standing,2025-02-12 12:04:24.598606,-0.8707104898922754,0.7777493854249887,,julia
-3855,-169,-248,-302,-1269,234,standing,2025-02-12 12:04:24.618005,-0.9249366877786138,0.7641536998410021,,julia
-3900,175,-204,148,-724,116,standing,2025-02-12 12:04:24.649708,-0.9702964267230162,0.740706335025637,,julia
-3847,749,-5,-252,-162,-94,standing,2025-02-12 12:04:24.651596,-0.9255755863392463,0.7393112108744454,,julia
-3739,151,272,-1276,1859,71,standing,2025-02-12 12:04:24.664662,-0.9218857451175221,0.7298975103839419,,julia
-4013,-55,-42,-1262,1012,168,standing,2025-02-12 12:04:24.680998,-0.9501124788140268,0.7179663237001284,,julia
-4025,-256,-401,-278,-338,400,standing,2025-02-12 12:04:24.714140,-1.0933232829685633,0.691506677048786,,julia
-3988,-160,-382,589,-666,459,standing,2025-02-12 12:04:24.727267,-1.1332309028677539,0.6801025274245073,,julia
-4000,52,-346,626,-732,11,standing,2025-02-12 12:04:24.729981,-1.0953489453434135,0.6777446929146969,,julia
-3876,182,-352,590,-1084,-308,standing,2025-02-12 12:04:24.745357,-1.1068447361714808,0.6645371626035796,,julia
-3819,211,-292,781,-1008,-496,standing,2025-02-12 12:04:24.763370,-1.067615556743859,0.6492684931857192,,julia
-3697,245,-207,1144,-585,-534,standing,2025-02-12 12:04:24.778990,-0.9893134408114277,0.6367503239089206,,julia
-3633,46,-47,1188,330,-320,standing,2025-02-12 12:04:24.794885,-0.9072554497232371,0.6250064416457352,,julia
-3857,-118,-248,1372,-33,-17,standing,2025-02-12 12:04:24.824461,-0.8268310334275512,0.6050281646590884,,julia
-3928,58,-230,1221,-1028,87,standing,2025-02-12 12:04:24.826900,-0.7867931853276021,0.6034942456890814,,julia
-3940,174,-315,1028,-1471,114,standing,2025-02-12 12:04:24.846974,-0.8061604170136026,0.5910193471717677,,julia
-3920,271,-229,937,-1134,-86,standing,2025-02-12 12:04:24.861240,-0.8259767928295889,0.5819357330877009,,julia
-3888,188,-170,1037,-703,-574,standing,2025-02-12 12:04:24.884841,-0.8784806896166805,0.5662348502361665,,julia
-3860,48,-97,1032,-359,-893,standing,2025-02-12 12:04:24.896108,-0.870605689897751,0.558550024579569,,julia
-3877,78,-9,837,-368,-1013,standing,2025-02-12 12:04:24.914350,-0.8683848487361964,0.5461785901971672,,julia
-3836,93,-230,939,-429,-927,standing,2025-02-12 12:04:24.940904,-0.8706258415374815,0.5281686960748231,,julia
-3837,142,-326,1254,-62,-834,standing,2025-02-12 12:04:24.949103,-0.835699595174893,0.5227153963980765,,julia
-3862,112,-284,1132,-4,-867,standing,2025-02-12 12:04:24.966579,-0.7814109535113863,0.5117032405410454,,julia
-3752,-4,-271,935,370,-1015,standing,2025-02-12 12:04:24.980376,-0.7017016708358168,0.50373386112831,,julia
-3632,-112,-247,1091,832,-1112,standing,2025-02-12 12:04:25.012597,-0.5153236489606923,0.4885005425873647,,julia
-3635,46,-153,1319,1272,-1205,standing,2025-02-12 12:04:25.015551,-0.47246716984599096,0.48736381427704334,,julia
-3688,230,-102,1273,1948,-1381,standing,2025-02-12 12:04:25.032043,-0.3629950980203579,0.4820082753596846,,julia
-3793,368,-248,1022,2912,-1682,standing,2025-02-12 12:04:25.044646,-0.3159784716907684,0.4786769303444639,,julia
-3937,268,-467,912,3054,-1906,standing,2025-02-12 12:04:25.063628,-0.3313009890586106,0.4738822249218787,,julia
-4030,48,-633,1081,2470,-2093,standing,2025-02-12 12:04:25.081342,-0.40232323436758466,0.46880143043877376,,julia
-4023,-109,-478,1358,1827,-2073,standing,2025-02-12 12:04:25.095796,-0.4794756097920624,0.46381952584197134,,julia
-3961,-70,-376,1229,1390,-1970,standing,2025-02-12 12:04:25.130048,-0.6865152588262684,0.44817297812093726,,julia
-3877,77,-365,898,1343,-1799,standing,2025-02-12 12:04:25.132148,-0.664641495884955,0.4470668400878505,,julia
-3856,259,-397,267,1684,-1487,standing,2025-02-12 12:04:25.146218,-0.7149785210907071,0.43948936874925354,,julia
-3948,287,-577,-152,1921,-1049,standing,2025-02-12 12:04:25.165803,-0.8132795938456954,0.427797051763553,,julia
-4107,283,-583,-352,1765,-870,standing,2025-02-12 12:04:25.183839,-0.9217647455819817,0.41557311409627795,,julia
-4058,111,-540,-820,2068,-661,standing,2025-02-12 12:04:25.195336,-0.9937452235409777,0.4069760174358744,,julia
-4065,-216,-826,-869,2604,-271,standing,2025-02-12 12:04:25.215429,-1.1662769742686905,0.39001483348317073,,julia
-4068,-580,-930,-579,2496,-81,standing,2025-02-12 12:04:25.243689,-1.3586158684123986,0.3621326245353604,,julia
-3894,-814,-885,55,1806,-47,standing,2025-02-12 12:04:25.247853,-1.3093169921346357,0.35780206109235463,,julia
-3723,-876,-628,1092,858,-385,standing,2025-02-12 12:04:25.264648,-1.219826294908856,0.3412510760676545,,julia
-3563,-778,-364,1805,793,-1183,standing,2025-02-12 12:04:25.281818,-1.032112203972937,0.32620365080700603,,julia
-3379,-462,-263,1802,1544,-1670,standing,2025-02-12 12:04:25.324340,-0.5437854052028612,0.30027727305480345,,julia
-3564,-319,-361,1757,2494,-1659,standing,2025-02-12 12:04:25.326835,-0.49452667184748006,0.2992681724936268,,julia
-3820,-291,-488,1955,2769,-1563,standing,2025-02-12 12:04:25.329494,-0.4590301220646298,0.2982802684160307,,julia
-4082,-420,-748,2433,1656,-1296,standing,2025-02-12 12:04:25.348687,-0.4748393364375886,0.29128696911187324,,julia
-4163,-508,-682,2830,352,-817,standing,2025-02-12 12:04:25.359096,-0.5170854729490424,0.28725584302857066,,julia
-3993,-334,-564,2728,201,-823,standing,2025-02-12 12:04:25.394568,-0.7547712678730185,0.2695765632223236,,julia
-3814,-557,-622,2856,689,-608,standing,2025-02-12 12:04:25.396992,-0.7305695901936532,0.26817296803740864,,julia
-3788,-598,-624,3413,683,-626,standing,2025-02-12 12:04:25.408323,-0.7143182049696846,0.26178972027514,,julia
-3745,-533,-440,3871,232,-431,standing,2025-02-12 12:04:25.424623,-0.654633532816438,0.2530970226795946,,julia
-3741,-461,-212,3424,159,-143,standing,2025-02-12 12:04:25.454119,-0.56171597046133,0.23913222611380125,,julia
-3763,-675,-629,4115,1024,-70,standing,2025-02-12 12:04:25.457032,-0.5303370947954064,0.23789249145460317,,julia
-3930,-846,-1106,5228,1017,137,standing,2025-02-12 12:04:25.477404,-0.5139965391032547,0.2295985060845932,,julia
-3854,-407,-925,5448,439,198,standing,2025-02-12 12:04:25.489409,-0.4872105454814251,0.22491412023345625,,julia
-4005,-363,-510,5287,553,-564,standing,2025-02-12 12:04:25.513803,-0.37599576201687746,0.21672899864834028,,julia
-3363,-400,-585,4061,1006,-1786,standing,2025-02-12 12:04:25.521866,-0.30615334439222397,0.21458956442693247,,julia
-3447,-186,-957,6355,2638,-220,standing,2025-02-12 12:04:25.545497,-0.10615815931546962,0.21083692536291251,,julia
-3692,26,-264,6286,3673,-161,standing,2025-02-12 12:04:25.575519,0.1511987348407803,0.21144155023146025,,julia
