acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,label,timestamp,velocity,relative_position,prev_label_block,person
-2826,242,2592,-615,-126,-76,,2025-02-12 12:10:52.830042,0.0,0.0,,marten
-2649,292,2728,-653,-636,-13,,2025-02-12 12:10:52.834516,0.022417935714285728,4.011913775428574e-05,,marten
-2555,220,2708,-676,-304,-2,,2025-02-12 12:10:52.841279,0.08091771464285714,0.0003166304891157144,,marten
-2613,125,2688,-749,212,1,,2025-02-12 12:10:52.880981,0.4064267874821429,0.007991799156327401,,marten
-2726,34,2710,-603,449,-105,,2025-02-12 12:10:52.883322,0.4030676652508929,0.008730780859676702,,marten
-2805,4,2686,-501,689,-160,,2025-02-12 12:10:52.899398,0.4546247248454911,0.014116491689221022,,marten
-2881,-21,2560,-466,873,-210,,2025-02-12 12:10:52.903054,0.43926294003178795,0.015390470850456852,,marten
-2880,-15,2542,-516,689,-220,,2025-02-12 12:10:52.931398,0.47301599874448425,0.025484515171281495,,marten
-2777,35,2580,-376,915,-299,,2025-02-12 12:10:52.942091,0.5038002066644028,0.02956139424356489,,marten
-2572,89,2676,200,2201,-506,,2025-02-12 12:10:52.959576,0.6714822356168969,0.03760514071260976,,marten
-2334,86,2845,882,5406,-927,,2025-02-12 12:10:52.972094,0.8451525552646234,0.04503112214500266,,marten
-2164,142,2773,423,9390,-805,,2025-02-12 12:10:52.989134,1.0912238989299636,0.057941436065958786,,marten
-2492,158,2272,-853,10895,-684,,2025-02-12 12:10:53.025707,1.4141221875548937,0.09379445840125175,,marten
-3092,123,1832,-1075,7813,-375,,2025-02-12 12:10:53.028236,1.3385748496057204,0.0965075604237969,,marten
-3577,126,1948,-811,3363,155,,2025-02-12 12:10:53.058874,0.7852897414111489,0.12171572063478245,,marten
-3776,171,2212,-805,137,235,,2025-02-12 12:10:53.061910,0.66880676291202,0.12343389263653402,,marten
-3514,195,2367,-707,-1524,-11,,2025-02-12 12:10:53.072309,0.3595923726235619,0.1275725232501574,,marten
-3054,159,2439,-624,-2031,-265,,2025-02-12 12:10:53.089602,-0.010028048864758887,0.1298661609724662,,marten
-2747,123,2449,-606,-1952,-280,,2025-02-12 12:10:53.107698,-0.19307139428571415,0.12846863299206848,,marten
-2685,145,2422,-581,-1640,-196,,2025-02-12 12:10:53.123587,-0.21518447528571416,0.12593527621509643,,marten
-2735,180,2480,-781,-1392,-114,sitting,2025-02-12 12:10:53.140096,-0.15942643437857126,0.12353254522208719,,marten
-2821,171,2489,-1018,-1078,-87,sitting,2025-02-12 12:10:53.167586,-0.052196576945356885,0.12129319124319062,,marten
-2802,140,2515,-963,-339,-146,sitting,2025-02-12 12:10:53.169688,-0.0445719766695176,0.12121402258740602,,marten
-2822,118,2480,-596,396,-373,sitting,2025-02-12 12:10:53.192401,-0.037443859264613175,0.12048913958089914,,marten
-2855,113,2525,-220,721,-474,sitting,2025-02-12 12:10:53.202407,-0.05912864915852543,0.12011011103830241,,marten
-2999,96,2443,-109,440,-480,sitting,2025-02-12 12:10:53.236610,-0.2237424859863134,0.11628054200790222,,marten
-3071,77,2382,-430,-533,-352,sitting,2025-02-12 12:10:53.238240,-0.22364634740128345,0.11599613849357666,,marten
-3061,96,2348,-762,-1432,-157,sitting,2025-02-12 12:10:53.249631,-0.29412936360264774,0.1136878963548233,,marten
-2944,67,2353,-951,-1562,-141,sitting,2025-02-12 12:10:53.270004,-0.3935990082796581,0.10820330625717356,,marten
-2806,70,2429,-985,-1231,-175,sitting,2025-02-12 12:10:53.290313,-0.3739190578656752,0.10212816854021836,,marten
-2735,91,2491,-941,-900,-112,sitting,2025-02-12 12:10:53.302198,-0.3332018978295342,0.098855396076898,,marten
-2647,87,2544,-769,-311,-119,sitting,2025-02-12 12:10:53.365105,-0.05165839936662864,0.08959044802634564,,marten
-2686,84,2524,-718,327,-105,sitting,2025-02-12 12:10:53.366368,-0.04407309725544006,0.08954338936542017,,marten
-2843,86,2440,-688,649,-78,sitting,2025-02-12 12:10:53.384518,-0.013814728106953666,0.08913912228759291,,marten
-2957,96,2362,-607,546,-70,sitting,2025-02-12 12:10:53.385685,-0.015258768130177406,0.08912587321530344,,marten
-3067,92,2390,-672,313,-148,sitting,2025-02-12 12:10:53.386578,-0.01886642686652567,0.08911395621724942,,marten
-2990,84,2341,-768,18,-171,sitting,2025-02-12 12:10:53.417802,-0.22678936266605643,0.08605759537455289,,marten
-2956,111,2405,-705,-190,-201,sitting,2025-02-12 12:10:53.420343,-0.2333875395327536,0.08560139700656871,,marten
-2932,124,2431,-718,-227,-224,sitting,2025-02-12 12:10:53.486728,-0.6030525696989733,0.06370043498226707,,marten
