acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label,velocity,relative_position,prev_label_block,person
-3659,554,762,-738,-270,14,2025-01-30 10:03:37.360797,standing,0.0,1.0,,marten
-3663,520,771,-528,-40,-97,2025-01-30 10:03:37.377563,standing,-0.010458790476191148,0.9999298591675505,,marten
-3641,549,763,-372,223,-266,2025-01-30 10:03:37.401186,standing,-0.0025704073809533815,0.9999055708741263,,marten
-3632,608,777,-280,491,-266,2025-01-30 10:03:37.409569,standing,0.0061714847619044454,0.9999262650968299,,marten
-3597,660,777,-310,561,-155,2025-01-30 10:03:37.434079,standing,0.027480378571427704,1.0001956827283442,,marten
-3613,712,815,-415,410,-78,2025-01-30 10:03:37.434079,standing,0.038668264404760636,1.0004547812245348,,marten
-3632,660,847,-543,187,1,2025-01-30 10:03:37.460919,standing,0.06213060356547373,1.0015162007467306,,marten
-3645,636,836,-588,195,-14,2025-01-30 10:03:37.478165,standing,0.0629249543395803,1.002357453919601,,marten
-3690,603,812,-541,128,-43,2025-01-30 10:03:37.503317,standing,0.0448432094797433,1.0034100340931233,,marten
-3683,595,818,-437,-1,-113,2025-01-30 10:03:37.511366,standing,0.03283109614861297,1.0036528954276625,,marten
-3691,576,838,-328,-126,-158,2025-01-30 10:03:37.527545,standing,0.0021674970554673156,1.0038687688373502,,marten
-3678,576,885,-294,-178,-175,2025-01-30 10:03:37.543688,standing,-0.036141102142857755,1.0036353985125934,,marten
-3715,583,825,-383,-577,-144,2025-01-30 10:03:37.551624,standing,-0.04999819941666757,1.003367694229455,,marten
-3709,558,767,-281,-639,-281,2025-01-30 10:03:37.608634,standing,-0.12268362039821769,0.9994868659573711,,marten
-3611,587,821,-3,-103,-421,2025-01-30 10:03:37.608634,standing,-0.12298753461640248,0.9985287180613923,,marten
-3632,608,865,107,-150,-288,2025-01-30 10:03:37.611647,standing,-0.11525274598082057,0.9982490021040525,,marten
-3602,629,829,78,-376,-111,2025-01-30 10:03:37.611647,standing,-0.09712820391987516,0.9974225288536459,,marten
-3557,711,1059,4,514,-62,2025-01-30 10:03:37.637038,standing,-0.07345222634293008,0.9957393694162393,,marten
-3725,768,984,-593,384,-137,2025-01-30 10:03:37.654681,standing,-0.05476206145435571,0.9948604538969836,,marten
-3694,752,669,-662,-682,-252,2025-01-30 10:03:37.667675,standing,-0.03394682933401942,0.9944136121307527,,marten
-3527,759,795,-261,-257,-120,2025-01-30 10:03:37.683371,standing,-0.013081682153033465,0.994129004912897,,marten
-3599,739,896,-158,1,-10,2025-01-30 10:03:37.700417,standing,0.01904256481176026,0.9941741084022969,,marten
-3594,630,904,-383,-267,27,2025-01-30 10:03:37.720026,standing,0.08125476061879039,0.9949533323909762,,marten
-3563,574,945,-589,-143,23,2025-01-30 10:03:37.731878,standing,0.11791775211165981,0.9958783088108716,,marten
-3581,607,883,-652,26,47,2025-01-30 10:03:37.752316,standing,0.1777543654584569,0.9982472874460776,,marten
-3597,671,826,-492,123,63,2025-01-30 10:03:37.772105,standing,0.23360023551886672,1.0014330543028125,,marten
-3573,732,856,-324,236,109,2025-01-30 10:03:37.785043,standing,0.25441000612387527,1.0038981585084192,,marten
-3609,700,937,-333,369,146,2025-01-30 10:03:37.799679,standing,0.2603678296272047,1.0068374029730478,,marten
-3700,666,954,-443,392,93,2025-01-30 10:03:37.820173,standing,0.25772330576489116,1.0109777872985304,,marten
-3691,649,903,-554,387,-28,2025-01-30 10:03:37.834437,standing,0.24449752142902698,1.0137697351454993,,marten
-3641,647,927,-502,512,-152,2025-01-30 10:03:37.851399,standing,0.22873081821471794,1.0168975514451446,,marten
-3635,674,912,-501,722,-163,2025-01-30 10:03:37.865494,standing,0.2246404570658863,1.0193891794775218,,marten
-3584,667,952,-563,1028,-169,2025-01-30 10:03:37.903648,standing,0.28632799564116196,1.0270159569753778,,marten
-3579,705,875,-585,1460,-184,2025-01-30 10:03:37.913702,standing,0.3011801649067225,1.0293211049604738,,marten
