acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,label,timestamp,velocity,relative_position,prev_label_block,person
-1940,-102,3137,-538,-142,154,sitting,2025-02-12 12:08:35.296579,2.001026040397748,2.0,,sara
-1974,-129,3183,-601,59,127,sitting,2025-02-12 12:08:35.313636,2.0384135464730986,2.0,,sara
-1995,-129,3245,-660,285,56,sitting,2025-02-12 12:08:35.339927,2.1153405265303964,2.0,,sara
-2052,-128,3320,-644,429,0,sitting,2025-02-12 12:08:35.350125,2.0616609992514956,2.0,,sara
-2107,-136,3360,-559,317,82,sitting,2025-02-12 12:08:35.364512,2.011272049527016,2.0,,sara
-2114,-88,3323,-597,-61,71,sitting,2025-02-12 12:08:35.385572,1.9702581041935223,2.0,,sara
-2089,3,3272,-564,-299,-8,sitting,2025-02-12 12:08:35.400163,1.9081150035076555,2.0,,sara
-2047,65,3194,-526,-219,-122,sitting,2025-02-12 12:08:35.417570,1.8627129330941774,2.0,,sara
-2067,62,3159,-560,-123,-293,sitting,2025-02-12 12:08:35.431409,1.8255922864394687,2.0,,sara
-2016,13,3099,-574,-75,-419,sitting,2025-02-12 12:08:35.450341,1.841138735927019,2.0,,sara
-1970,-54,3095,-536,-71,-458,sitting,2025-02-12 12:08:35.474019,1.9178495629401917,2.0,,sara
-1914,-67,3145,-473,-10,-402,sitting,2025-02-12 12:08:35.501043,2.0495699419360394,2.0,,sara
-1925,-81,3218,-437,190,-290,sitting,2025-02-12 12:08:35.503253,1.9677496829344754,2.0,,sara
-1930,-95,3269,-444,416,-201,sitting,2025-02-12 12:08:35.515530,1.9860872378353707,2.0,,sara
-1968,-22,3310,-596,504,-70,sitting,2025-02-12 12:08:35.530465,2.0206395914197928,2.0,,sara
-1986,9,3296,-699,364,15,sitting,2025-02-12 12:08:35.548057,2.0588943661345174,2.0,,sara
-2007,45,3259,-709,182,32,sitting,2025-02-12 12:08:35.562794,2.056052474732553,2.0,,sara
-2041,54,3185,-619,-1,-69,sitting,2025-02-12 12:08:35.582647,2.0669602719483064,2.0,,sara
-2039,30,3219,-618,-42,-213,sitting,2025-02-12 12:08:35.600569,2.0510289469223197,2.0,,sara
-2072,-13,3238,-656,128,-291,sitting,2025-02-12 12:08:35.617541,2.0198043500523943,2.0,,sara
-2052,-66,3262,-665,204,-282,sitting,2025-02-12 12:08:35.635396,1.9890310456450127,2.0,,sara
-2076,-81,3211,-732,206,-194,sitting,2025-02-12 12:08:35.649973,1.9524445412199047,2.0,,sara
-2026,-67,3219,-746,203,-146,sitting,2025-02-12 12:08:35.668036,1.9483456470160525,2.0,,sara
-1978,-78,3276,-774,232,-172,sitting,2025-02-12 12:08:35.682073,1.9379945282366786,2.0,,sara
-1960,-88,3204,-838,345,-217,sitting,2025-02-12 12:08:35.702295,1.9872517142057968,2.0,,sara
-1959,-112,3194,-903,455,-309,sitting,2025-02-12 12:08:35.716639,2.0029655761145544,2.0,,sara
-1964,-185,3204,-888,506,-400,sitting,2025-02-12 12:08:35.731090,2.0233764851659695,2.0,,sara
-1979,-195,3197,-794,448,-418,sitting,2025-02-12 12:08:35.747357,2.06287847995529,2.0,,sara
-1961,-197,3208,-707,417,-355,sitting,2025-02-12 12:08:35.801022,2.435078682148002,2.0,,sara
-1916,-156,3240,-689,388,-221,sitting,2025-02-12 12:08:35.803759,2.337089076373935,2.0,,sara
-1961,-94,3261,-687,377,-112,sitting,2025-02-12 12:08:35.811173,2.2808634901742857,2.0,,sara
-1997,-93,3243,-709,457,-76,sitting,2025-02-12 12:08:35.813321,2.1829681613798573,2.0,,sara
-2047,-92,3195,-659,559,-101,sitting,2025-02-12 12:08:35.830005,2.1834773295013403,2.0,,sara
-2025,-87,3180,-596,625,-154,sitting,2025-02-12 12:08:35.846002,2.162248874931035,2.0,,sara
-2041,-149,3144,-491,600,-120,sitting,2025-02-12 12:08:35.867052,2.1549158121368643,2.0,,sara
-2051,-140,3134,-436,450,-84,sitting,2025-02-12 12:08:35.881335,2.1126949843871636,2.0,,sara
-2049,-204,3194,-450,436,-43,sitting,2025-02-12 12:08:35.902909,2.1071122285011388,2.0,,sara
-2035,-121,3248,-530,461,-20,sitting,2025-02-12 12:08:35.916716,2.065028838266558,2.0,,sara
-2027,-92,3206,-606,716,102,sitting,2025-02-12 12:08:35.934226,2.0403556058770396,2.0,,sara
-2050,-74,3224,-580,779,135,sitting,2025-02-12 12:08:35.948918,2.0041230046308067,2.0,,sara
-2061,-77,3208,-522,799,99,sitting,2025-02-12 12:08:35.979394,2.0483005324945047,2.0,,sara
-2041,-36,3199,-412,875,31,sitting,2025-02-12 12:08:35.982461,1.961611913488827,2.0,,sara
-1991,-10,3200,-323,957,10,sitting,2025-02-12 12:08:36.000113,1.961546149242957,2.0,,sara
-1993,35,3195,-342,853,-20,sitting,2025-02-12 12:08:36.015481,1.9532582113046186,2.0,,sara
-1999,41,3143,-426,679,-73,sitting,2025-02-12 12:08:36.053510,2.0755025205012925,2.0,,sara
-2054,17,3093,-430,719,-132,sitting,2025-02-12 12:08:36.055694,1.9832100344762278,2.0,,sara
