acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,label,timestamp,velocity,relative_position,prev_label_block,person
-3640,523,1636,-922,-1310,256,sitting,2025-02-12 12:13:30.855836,8.029763342268904,2.0,,jakob
-3364,568,1648,-1388,-2045,992,sitting,2025-02-12 12:13:30.858634,7.708581772298316,2.0,,jakob
-3201,510,1820,-1820,-2452,1700,sitting,2025-02-12 12:13:30.869931,7.721218617254828,2.0,,jakob
-3065,287,2035,-2422,-2273,1949,sitting,2025-02-12 12:13:30.885122,7.958997802820658,2.0,,jakob
-3011,119,2113,-2819,-1791,1829,sitting,2025-02-12 12:13:30.915016,8.84937254839391,2.0,,jakob
-3187,90,2259,-3308,-1488,1803,sitting,2025-02-12 12:13:30.927742,8.935496510974215,2.0,,jakob
-3411,-63,2012,-3139,-1408,1227,sitting,2025-02-12 12:13:30.938116,8.880147525425503,2.0,,jakob
-3466,-160,1898,-2903,-1264,886,sitting,2025-02-12 12:13:30.954373,8.96484101343994,2.0,,jakob
-3561,-177,1802,-2816,-1506,588,sitting,2025-02-12 12:13:30.972712,9.028650041339372,2.0,,jakob
-3557,-175,1634,-2519,-1919,507,sitting,2025-02-12 12:13:31.001453,9.308429637843831,2.0,,jakob
-3561,-30,1552,-2151,-1754,233,sitting,2025-02-12 12:13:31.027922,9.506359108808784,2.0,,jakob
-3533,164,1531,-1856,-1606,10,sitting,2025-02-12 12:13:31.030972,9.113395510511202,2.0,,jakob
-3420,348,1556,-1749,-1632,-73,sitting,2025-02-12 12:13:31.033854,8.7477203021285,2.0,,jakob
-3219,457,1660,-1666,-1682,14,sitting,2025-02-12 12:13:31.049661,8.887233333450647,2.0,,jakob
-3054,503,1854,-1730,-1450,194,sitting,2025-02-12 12:13:31.063991,9.040739738206685,2.0,,jakob
-3010,461,1854,-1849,-1014,263,sitting,2025-02-12 12:13:31.088875,9.71200205986778,2.0,,jakob
-3039,369,1774,-1915,-563,269,sitting,2025-02-12 12:13:31.104837,9.943916659731533,2.0,,jakob
-3230,368,1802,-1893,-9,28,sitting,2025-02-12 12:13:31.113778,9.8133145996021,2.0,,jakob
-3447,239,1777,-1701,94,-360,sitting,2025-02-12 12:13:31.132707,9.997116181050567,2.0,,jakob
-3616,114,1874,-1284,-350,-553,sitting,2025-02-12 12:13:31.149981,10.043143449140896,2.0,,jakob
-3522,51,1931,-707,-595,-220,sitting,2025-02-12 12:13:31.169084,10.122031311683852,2.0,,jakob
-3333,27,1838,-393,-694,72,sitting,2025-02-12 12:13:31.182329,10.03879529252823,2.0,,jakob
-3173,75,1827,-397,-563,264,sitting,2025-02-12 12:13:31.234610,11.354479180044676,2.0,,jakob
-3202,-22,1768,-472,-557,442,sitting,2025-02-12 12:13:31.237430,10.89145174961387,2.0,,jakob
-3293,-122,1713,-575,-729,330,sitting,2025-02-12 12:13:31.238654,10.392750310704605,2.0,,jakob
-3373,-145,1667,-519,-984,-21,sitting,2025-02-12 12:13:31.245716,10.129261623740803,2.0,,jakob
-3412,19,1746,-388,-1019,-519,sitting,2025-02-12 12:13:31.273275,10.588780862553762,2.0,,jakob
-3335,143,1768,-377,-836,-850,sitting,2025-02-12 12:13:31.277284,10.19731728156893,2.0,,jakob
-3284,162,1834,-430,-568,-959,sitting,2025-02-12 12:13:31.300701,10.494200520347626,2.0,,jakob
-3338,149,1830,-457,-419,-904,sitting,2025-02-12 12:13:31.311234,10.344691001473102,2.0,,jakob
-3321,139,1805,-329,-362,-819,sitting,2025-02-12 12:13:31.337158,10.80236550568516,2.0,,jakob
-3230,169,1829,-194,-442,-525,sitting,2025-02-12 12:13:31.344635,10.559543431829471,2.0,,jakob
-3120,140,1871,-187,-410,-80,sitting,2025-02-12 12:13:31.362488,10.778114959523712,2.0,,jakob
-3068,162,1933,-103,-117,213,sitting,2025-02-12 12:13:31.391379,11.48257466940467,2.0,,jakob
-3143,177,1934,-259,247,350,sitting,2025-02-12 12:13:31.394791,11.05351199022015,2.0,,jakob
-3272,79,1882,-369,367,338,sitting,2025-02-12 12:13:31.410507,11.133506422137714,2.0,,jakob
-3383,55,1934,-424,275,148,sitting,2025-02-12 12:13:31.431218,11.355180068173686,2.0,,jakob
-3419,48,1879,-511,74,-125,sitting,2025-02-12 12:13:31.464682,11.989830390479288,2.0,,jakob
-3304,89,1871,-446,270,-403,sitting,2025-02-12 12:13:31.466157,11.442769853098179,2.0,,jakob
-3237,112,1831,-384,682,-550,sitting,2025-02-12 12:13:31.484461,11.532621669014699,2.0,,jakob
-3255,145,1822,-514,882,-588,sitting,2025-02-12 12:13:31.514809,12.094235679849678,2.0,,jakob
-3276,168,1845,-657,745,-564,sitting,2025-02-12 12:13:31.516555,11.556380730142907,2.0,,jakob
-3258,153,1876,-732,636,-485,sitting,2025-02-12 12:13:31.523553,11.24397084077862,2.0,,jakob
-3308,118,1848,-818,553,-366,sitting,2025-02-12 12:13:31.544396,11.453618364453973,2.0,,jakob
-3306,136,1852,-842,427,-339,sitting,2025-02-12 12:13:31.593817,12.668071407659845,2.0,,jakob
-3365,124,1816,-853,275,-255,sitting,2025-02-12 12:13:31.597805,12.176865674419709,2.0,,jakob
-3340,108,1808,-882,148,-140,sitting,2025-02-12 12:13:31.599447,11.626307526413008,2.0,,jakob
-3295,56,1822,-838,91,-75,sitting,2025-02-12 12:13:31.609470,11.401524578663786,2.0,,jakob
-3303,50,1830,-814,218,-56,sitting,2025-02-12 12:13:31.644856,12.097609981159168,2.0,,jakob
-3296,10,1797,-731,291,-84,sitting,2025-02-12 12:13:31.647775,11.59717547210121,2.0,,jakob
-3333,41,1858,-714,446,-222,sitting,2025-02-12 12:13:31.659619,11.43370943849615,2.0,,jakob
-3372,87,1788,-768,192,-336,sitting,2025-02-12 12:13:31.690642,11.933447590142771,2.0,,jakob
-3388,89,1785,-732,53,-402,sitting,2025-02-12 12:13:31.693109,11.420915769921347,2.0,,jakob
-3334,73,1772,-731,64,-442,sitting,2025-02-12 12:13:31.710795,11.447505187139566,2.0,,jakob
-3351,104,1835,-827,15,-519,sitting,2025-02-12 12:13:31.728051,11.459960419211157,2.0,,jakob
-3341,155,1889,-1009,-70,-624,sitting,2025-02-12 12:13:31.753221,11.748315755393456,2.0,,jakob
-3344,150,1885,-1267,-172,-678,sitting,2025-02-12 12:13:31.758914,11.356889625480925,2.0,,jakob
-3350,140,1900,-1489,-167,-734,sitting,2025-02-12 12:13:31.772653,11.266495021349735,2.0,,jakob
-3331,100,1820,-1566,-309,-650,sitting,2025-02-12 12:13:31.799557,11.661798224567963,2.0,,jakob
-3289,82,1801,-1421,-530,-475,sitting,2025-02-12 12:13:31.806718,11.341455633339566,2.0,,jakob
-3227,-13,1753,-1127,-556,-186,sitting,2025-02-12 12:13:31.827224,11.5519996659583,2.0,,jakob
-3246,1,1797,-888,-564,40,sitting,2025-02-12 12:13:31.864061,12.4155157469461,2.0,,jakob
-3202,-47,1868,-717,-468,179,sitting,2025-02-12 12:13:31.882137,12.515004002455939,2.0,,jakob
-3239,-59,1899,-617,-427,275,sitting,2025-02-12 12:13:31.885744,12.034025900190283,2.0,,jakob
-3236,-14,1846,-528,-373,341,sitting,2025-02-12 12:13:31.899394,11.981005855180769,2.0,,jakob
-3222,9,1833,-429,-184,348,sitting,2025-02-12 12:13:31.925171,12.411010226707445,2.0,,jakob
-3239,50,1892,-344,-86,315,sitting,2025-02-12 12:13:31.927990,11.90239213751493,2.0,,jakob
-3264,89,1950,-318,-153,305,sitting,2025-02-12 12:13:31.940030,11.788829530639184,2.0,,jakob
-3220,80,1931,-215,-251,351,sitting,2025-02-12 12:13:31.962860,12.11695836839294,2.0,,jakob
-3197,112,1979,-152,-138,424,sitting,2025-02-12 12:13:31.983326,12.337249777116151,2.0,,jakob
-3222,111,1985,-106,1,459,sitting,2025-02-12 12:13:31.992852,12.10944273683177,2.0,,jakob
-3204,128,1960,-190,61,421,sitting,2025-02-12 12:13:32.013060,12.33424514856161,2.0,,jakob
-3204,166,1917,-276,230,323,sitting,2025-02-12 12:13:32.041468,12.874631313990673,2.0,,jakob
-3231,177,1876,-402,433,247,sitting,2025-02-12 12:13:32.058883,12.929527351862568,2.0,,jakob
-3257,132,1785,-415,383,202,sitting,2025-02-12 12:13:32.062548,12.427127369983724,2.0,,jakob
-3285,58,1780,-341,114,136,sitting,2025-02-12 12:13:32.074851,12.278039232198823,2.0,,jakob
-3302,-17,1828,-222,-150,82,sitting,2025-02-12 12:13:32.107576,12.899880020588881,2.0,,jakob
-3291,-6,1896,-219,-246,33,sitting,2025-02-12 12:13:32.110426,12.361622590988008,2.0,,jakob
-3269,42,1945,-220,-80,28,sitting,2025-02-12 12:13:32.122639,12.197027598581464,2.0,,jakob
-3281,82,1850,-269,240,70,sitting,2025-02-12 12:13:32.167453,13.21734948865239,2.0,,jakob
-3325,53,1794,-364,444,194,sitting,2025-02-12 12:13:32.170408,12.660295385648341,2.0,,jakob
