acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label,velocity,relative_position,prev_label_block,person
-3688,-871,576,-663,1,-12,2025-01-30 09:58:50.478810,standing,0.0,1.0,,julia
-3661,-872,575,-718,31,62,2025-01-30 09:58:50.667023,standing,0.14980858547619302,1.0112783693192924,,julia
-3694,-883,577,-681,51,27,2025-01-30 09:58:50.667023,standing,0.15147768001190734,1.0124535526641496,,julia
-3686,-880,582,-636,54,-12,2025-01-30 09:58:50.667023,standing,0.147163319820836,1.0136178211274782,,julia
-3687,-886,598,-557,92,-18,2025-01-30 09:58:50.667023,standing,0.14176467763931813,1.0147441004533546,,julia
-3695,-899,577,-526,133,-52,2025-01-30 09:58:50.667023,standing,0.13618596756687612,1.0158275500986516,,julia
-3680,-880,586,-469,164,-44,2025-01-30 09:58:50.667023,standing,0.1308861929980562,1.016868601547398,,julia
-3684,-854,590,-539,188,-11,2025-01-30 09:58:50.667023,standing,0.1254514071576773,1.0178677747094214,,julia
-3696,-827,605,-585,198,-21,2025-01-30 09:58:50.667023,standing,0.12033836060931742,1.0188258434990578,,julia
-3685,-853,569,-582,233,-29,2025-01-30 09:58:50.874256,standing,0.14353142734076002,1.0402000930158781,,julia
-3696,-816,611,-546,89,-65,2025-01-30 09:58:50.874256,standing,0.13635485597372202,1.0412909318636678,,julia
-3674,-839,608,-552,114,-29,2025-01-30 09:58:50.874256,standing,0.12914187507979788,1.0423256478166871,,julia
-3705,-815,608,-583,153,-16,2025-01-30 09:58:50.874256,standing,0.11999430513533195,1.0432963641625317,,julia
-3700,-853,601,-608,139,-23,2025-01-30 09:58:50.884280,standing,0.10974393654523222,1.0441934661580805,,julia
-3723,-840,611,-603,122,11,2025-01-30 09:58:50.884280,standing,0.0991662635274946,1.0450071581710623,,julia
-3689,-851,586,-608,111,10,2025-01-30 09:58:50.884280,standing,0.08746747416064375,1.0457338598691093,,julia
-3698,-838,631,-656,183,8,2025-01-30 09:58:50.884280,standing,0.07555362426213551,1.0463684507679683,,julia
-3714,-830,600,-706,161,3,2025-01-30 09:58:50.906551,standing,0.059548103525219664,1.0475383379044703,,julia
-3707,-801,580,-720,111,-23,2025-01-30 09:58:50.917702,standing,0.05423960834895888,1.0480325961964656,,julia
-3675,-827,636,-771,117,11,2025-01-30 09:58:50.934076,standing,0.051952572217225546,1.0487103501153598,,julia
-3669,-844,630,-765,155,26,2025-01-30 09:58:50.951055,standing,0.053361179082555124,1.0494079569342138,,julia
-3671,-856,557,-792,151,37,2025-01-30 09:58:50.969052,standing,0.05889889512842765,1.050196887933645,,julia
-3699,-847,624,-818,100,38,2025-01-30 09:58:50.985678,standing,0.0646984346577207,1.0509992745550467,,julia
-3678,-825,576,-862,98,86,2025-01-30 09:58:51.002392,standing,0.06766361102007298,1.0518625668548929,,julia
-3690,-828,599,-838,65,87,2025-01-30 09:58:51.018925,standing,0.06826409618335534,1.0527391103185506,,julia
-3685,-884,608,-826,62,82,2025-01-30 09:58:51.035964,standing,0.06955284399323554,1.0536551524173208,,julia
-3681,-855,572,-750,94,21,2025-01-30 09:58:51.048870,standing,0.07144348322214543,1.054365078876846,,julia
-3682,-863,565,-738,94,22,2025-01-30 09:58:51.068569,standing,0.07655763001341946,1.055503121145177,,julia
-3667,-850,581,-660,163,41,2025-01-30 09:58:51.084298,standing,0.07738478351274869,1.0564475817348686,,julia
-3696,-834,612,-576,243,68,2025-01-30 09:58:51.102207,standing,0.0762189505275876,1.0575202197622815,,julia
-3708,-857,541,-509,233,33,2025-01-30 09:58:51.118685,standing,0.07240800300120823,1.0584747310210447,,julia
-3687,-907,534,-477,246,22,2025-01-30 09:58:51.170738,standing,0.06074417499400542,1.0611717380739143,,julia
-3696,-882,536,-388,272,36,2025-01-30 09:58:51.201515,standing,0.048349292672876985,1.062477375466192,,julia
-3696,-873,528,-319,271,1,2025-01-30 09:58:51.201515,standing,0.0447413518487571,1.062840068185744,,julia
-3695,-828,529,-238,223,-53,2025-01-30 09:58:51.201515,standing,0.04250428425631924,1.0631801024597944,,julia
-3672,-812,584,-168,252,-69,2025-01-30 09:58:51.201515,standing,0.04068383194826529,1.0635043540677616,,julia
-3697,-805,607,-145,237,-60,2025-01-30 09:58:51.207663,standing,0.03864964035085202,1.0636944484588633,,julia
-3686,-823,563,-121,294,-79,2025-01-30 09:58:51.232455,standing,0.03524144404759518,1.0644080475269542,,julia
-3701,-831,582,-43,398,-137,2025-01-30 09:58:51.245993,standing,0.028686275178548933,1.0647446869387172,,julia
-3708,-829,616,-15,463,-173,2025-01-30 09:58:51.263055,standing,0.01720163094343139,1.0650480738158765,,julia
-3719,-807,570,-50,488,-184,2025-01-30 09:58:51.284428,standing,0.0036449696343553925,1.065218942564373,,julia
-3697,-807,592,-24,481,-153,2025-01-30 09:58:51.305970,standing,-0.014628043809523518,1.0650928956364751,,julia
-3687,-799,580,-115,430,-141,2025-01-30 09:58:51.312486,standing,-0.02027611590476154,1.065003827761265,,julia
-3717,-766,546,-196,364,-106,2025-01-30 09:58:51.336986,standing,-0.050353976776189746,1.064321588149785,,julia
-3752,-758,575,-287,302,-61,2025-01-30 09:58:51.343867,standing,-0.058667299604046784,1.06402844770296,,julia
-3733,-741,608,-377,240,-74,2025-01-30 09:58:51.369457,standing,-0.10791316319527272,1.0623533560096836,,julia
-3744,-764,560,-455,195,-55,2025-01-30 09:58:51.376135,standing,-0.11700240503550904,1.061766974425902,,julia
-3733,-818,587,-508,139,-85,2025-01-30 09:58:51.402008,standing,-0.16183872383135245,1.0589417358795428,,julia
-3697,-793,555,-560,101,-53,2025-01-30 09:58:51.468054,standing,-0.277850366687403,1.0475396296176653,,julia
-3730,-797,507,-661,88,-22,2025-01-30 09:58:51.470171,standing,-0.2678616971625566,1.0470892848265227,,julia
-3739,-790,565,-702,58,2,2025-01-30 09:58:51.470171,standing,-0.2705090884949048,1.0449893740233254,,julia
