acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label,velocity,relative_position,prev_label_block,person
-3779,129,-827,-718,296,-73,2025-01-30 09:42:26.734425,standing,0.0,1.0,,sara
-3809,95,-795,-698,594,-39,2025-01-30 09:42:26.752215,standing,0.03372475714285705,1.0002399853718287,,sara
-3842,108,-835,-773,620,20,2025-01-30 09:42:26.775939,standing,0.04474780499999971,1.0009686568747704,,sara
-3885,122,-921,-778,358,-44,2025-01-30 09:42:26.785511,standing,0.04309157189285679,1.0012964097612287,,sara
-3852,116,-955,-634,62,-162,2025-01-30 09:42:26.809691,standing,0.05425326472678513,1.0022170899368466,,sara
-3752,154,-906,-466,33,-233,2025-01-30 09:42:26.825912,standing,0.07385606291901713,1.003030713654201,,sara
-3738,117,-840,-479,213,-228,2025-01-30 09:42:26.844008,standing,0.11034930548735189,1.004337335806582,,sara
-3748,124,-807,-557,437,-102,2025-01-30 09:42:26.859086,standing,0.1402005202129842,1.005815174978783,,sara
-3810,159,-838,-747,435,-23,2025-01-30 09:42:26.867485,standing,0.14482910848804922,1.0067492096359816,,sara
-3902,152,-968,-813,337,74,2025-01-30 09:42:26.883795,standing,0.1347450530636466,1.008525908210756,,sara
-3894,137,-1009,-724,242,43,2025-01-30 09:42:26.899994,standing,0.10266793612474984,1.0100205947132097,,sara
-3908,103,-955,-612,143,-13,2025-01-30 09:42:26.917908,standing,0.06574998503279787,1.0111906263009014,,sara
-3856,128,-871,-573,-25,-67,2025-01-30 09:42:26.934014,standing,0.04975025006687213,1.0119135456303288,,sara
-3744,117,-779,-724,37,-22,2025-01-30 09:42:26.951247,standing,0.05192795684924271,1.0125972869250548,,sara
-3771,137,-829,-791,351,-49,2025-01-30 09:42:26.968009,standing,0.06468076186392321,1.0133617167340288,,sara
-3813,162,-829,-773,585,-6,2025-01-30 09:42:27.017751,standing,0.10251940377072655,1.0166241179804956,,sara
