acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,label,timestamp
-2362,363,2985,-602,-37,-110,,2025-02-12 12:18:43.018778
-2320,345,2979,-605,-11,-116,,2025-02-12 12:18:43.038697
-2330,325,2973,-609,49,-139,,2025-02-12 12:18:43.057672
-2306,339,2954,-572,50,-137,,2025-02-12 12:18:43.073702
-2332,352,2940,-576,32,-106,,2025-02-12 12:18:43.131443
-2326,368,3004,-571,44,-126,,2025-02-12 12:18:43.135062
-2343,345,2953,-562,23,-125,,2025-02-12 12:18:43.136696
-2314,352,2983,-590,37,-129,,2025-02-12 12:18:43.138192
-2318,355,2976,-588,105,-112,,2025-02-12 12:18:43.148821
-2303,367,2971,-592,111,-114,,2025-02-12 12:18:43.166214
-2301,335,2937,-598,109,-133,,2025-02-12 12:18:43.181127
-2329,331,2941,-607,180,-90,,2025-02-12 12:18:43.195083
-2340,348,2939,-577,200,-132,,2025-02-12 12:18:43.214095
-2335,376,2964,-559,151,-136,,2025-02-12 12:18:43.230021
-2339,357,2944,-599,159,-152,,2025-02-12 12:18:43.246135
-2352,355,2975,-604,79,-136,,2025-02-12 12:18:43.272229
-2337,341,2955,-588,25,-116,,2025-02-12 12:18:43.274996
-2320,348,2942,-587,-34,-119,,2025-02-12 12:18:43.296895
-2320,358,2961,-600,-14,-109,,2025-02-12 12:18:43.361324
-2295,362,2950,-579,77,-115,,2025-02-12 12:18:43.375909
-2315,330,2958,-602,88,-114,,2025-02-12 12:18:43.377997
-2322,356,2951,-566,91,-110,,2025-02-12 12:18:43.423019
-2330,374,2976,-595,101,-108,,2025-02-12 12:18:43.445122
-2358,325,2954,-606,66,-110,,2025-02-12 12:18:43.447559
-2314,324,2965,-592,49,-82,,2025-02-12 12:18:43.448517
-2309,316,2982,-591,59,-114,,2025-02-12 12:18:43.454590
-2328,358,2925,-611,43,-114,,2025-02-12 12:18:43.455505
-2298,341,2981,-613,84,-117,,2025-02-12 12:18:43.507132
-2325,348,2969,-602,165,-125,,2025-02-12 12:18:43.509207
-2325,335,2963,-584,139,-131,,2025-02-12 12:18:43.559098
-2336,329,2968,-558,139,-94,,2025-02-12 12:18:43.562220
-2334,327,2956,-553,100,-115,,2025-02-12 12:18:43.564290
-2313,337,2939,-559,129,-143,,2025-02-12 12:18:43.566037
-2307,367,2976,-577,123,-129,,2025-02-12 12:18:43.567762
-2308,340,2978,-584,194,-99,,2025-02-12 12:18:43.569753
-2334,358,2955,-606,192,-85,,2025-02-12 12:18:43.597634
-2361,375,2916,-565,149,-148,,2025-02-12 12:18:43.600113
-2288,341,2964,-527,129,-139,,2025-02-12 12:18:43.613888
-2287,350,2930,-555,229,-118,,2025-02-12 12:18:43.626966
-2321,381,2968,-571,304,-92,,2025-02-12 12:18:43.642762
-2364,362,2978,-575,270,-120,,2025-02-12 12:18:43.658511
-2371,370,2947,-609,187,-118,,2025-02-12 12:18:43.672921
-2352,363,2923,-597,114,-99,,2025-02-12 12:18:43.738824
-2319,352,2937,-556,102,-105,,2025-02-12 12:18:43.784869
-2286,361,2951,-592,134,-119,,2025-02-12 12:18:43.794542
-2331,328,3005,-586,138,-127,,2025-02-12 12:18:43.811680
-2317,379,2952,-563,172,-144,,2025-02-12 12:18:43.814299
-2312,355,2977,-564,170,-109,,2025-02-12 12:18:43.815809
-2327,348,2971,-549,146,-111,,2025-02-12 12:18:43.817411
-2301,341,2964,-541,161,-102,,2025-02-12 12:18:43.955583
-2322,346,2942,-564,198,-126,,2025-02-12 12:18:43.959091
-2326,365,2908,-551,333,-151,,2025-02-12 12:18:43.960316
-2353,334,2930,-557,238,-122,,2025-02-12 12:18:43.961476
-2308,357,2951,-549,257,-126,,2025-02-12 12:18:43.962337
-2329,363,2955,-536,279,-149,,2025-02-12 12:18:43.963145
-2368,376,2927,-604,86,-102,,2025-02-12 12:18:44.466806
-2339,345,2916,-569,297,-139,,2025-02-12 12:18:44.487822
-2378,335,2935,-536,489,-101,,2025-02-12 12:18:44.493545
-2332,373,2902,-476,777,-143,,2025-02-12 12:18:44.987452
-2367,370,2866,-510,1190,-186,,2025-02-12 12:18:46.492798
-2456,358,2847,-614,1006,-168,,2025-02-12 12:18:46.495797
-2369,358,2847,-565,1177,-149,,2025-02-12 12:18:46.496941
-2416,355,2873,-651,1660,-181,,2025-02-12 12:18:46.497834
-2422,379,2891,-751,2254,-344,,2025-02-12 12:18:46.498597
-2516,369,2831,-797,2749,-201,,2025-02-12 12:18:46.499408
-2386,232,2722,-595,3232,-211,,2025-02-12 12:18:46.500148
-2951,380,2749,-756,-2066,146,,2025-02-12 12:18:46.500886
-2460,280,2442,-498,-1739,-53,,2025-02-12 12:18:46.605716
-2848,191,2530,-1013,-390,-36,,2025-02-12 12:18:46.627087
-2732,125,2502,-937,-797,198,,2025-02-12 12:18:46.643716
-2582,173,2515,-280,5,-99,,2025-02-12 12:18:46.658028
-2831,143,2524,-494,-532,57,,2025-02-12 12:18:46.675919
-2739,188,2642,-529,-563,35,,2025-02-12 12:18:46.719990
-2642,280,2643,-499,-24,-194,,2025-02-12 12:18:46.725021
-2647,327,2667,-434,519,-306,,2025-02-12 12:18:46.727284
-2704,314,2627,-415,561,-295,,2025-02-12 12:18:46.753139
-2678,229,2610,-377,169,-166,,2025-02-12 12:18:46.759504
-2955,246,2765,-788,339,-176,,2025-02-12 12:18:46.777595
-2776,186,2585,-452,-345,97,,2025-02-12 12:18:46.792964
-2780,217,2593,-700,-495,144,,2025-02-12 12:18:46.809494
-2626,192,2547,-762,-340,186,,2025-02-12 12:18:46.823998
-2930,565,2597,-928,-387,379,,2025-02-12 12:18:46.847509
-2680,347,2633,-434,-418,-28,,2025-02-12 12:18:46.858861
-2703,244,2550,-441,-258,-177,,2025-02-12 12:18:46.878398
-2792,230,2628,-623,-544,-70,,2025-02-12 12:18:46.893419
-3039,338,2629,-1211,-1558,830,,2025-02-12 12:18:46.912427
-2807,99,2500,-1509,-1610,906,,2025-02-12 12:18:46.924744
-2310,148,2678,-519,-281,-3,,2025-02-12 12:18:46.942907
-2351,277,2674,-246,561,-174,,2025-02-12 12:18:46.957916
-2696,264,2714,-179,251,36,,2025-02-12 12:18:46.991289
-2850,230,2700,-127,-70,106,,2025-02-12 12:18:47.009584
-2713,393,2722,-746,244,-277,,2025-02-12 12:18:47.038442
-2708,416,2751,-978,-50,-316,,2025-02-12 12:18:47.041474
-2789,100,2409,-981,673,-395,,2025-02-12 12:18:47.043044
-2947,292,2644,-648,-409,118,,2025-02-12 12:18:47.054974
-2718,263,2689,-693,-459,-5,,2025-02-12 12:18:47.069490
-2496,324,2602,-670,363,-272,,2025-02-12 12:18:47.085398
-2642,254,2639,-562,106,-132,,2025-02-12 12:18:47.110297
-1513,283,2830,-579,2503,-554,,2025-02-12 12:18:47.124549
