acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-3789,-19,-1149,-561,232,-105,2025-01-30 10:06:17.500748,standing
-3802,2,-1149,-579,190,-144,2025-01-30 10:06:17.518235,standing
-3810,-24,-1161,-555,-2,-134,2025-01-30 10:06:17.545173,standing
-3762,-16,-1128,-552,-39,-135,2025-01-30 10:06:17.559520,standing
-3765,2,-1109,-528,135,-126,2025-01-30 10:06:17.577250,standing
-3769,12,-1106,-524,220,-139,2025-01-30 10:06:17.600446,standing
-3793,-10,-1099,-482,206,-131,2025-01-30 10:06:17.600446,standing
-3790,-28,-1107,-464,244,-95,2025-01-30 10:06:17.626397,standing
-3820,12,-1154,-485,254,-84,2025-01-30 10:06:17.643772,standing
-3839,21,-1121,-514,211,-94,2025-01-30 10:06:17.659570,standing
-3791,-3,-1145,-541,171,-111,2025-01-30 10:06:17.675343,standing
-3783,8,-1128,-641,94,-96,2025-01-30 10:06:17.691554,standing
-3781,11,-1166,-698,119,-103,2025-01-30 10:06:17.746063,standing
-3797,35,-1131,-745,125,-69,2025-01-30 10:06:17.769902,standing
-3800,16,-1123,-772,108,-37,2025-01-30 10:06:17.769902,standing
-3805,22,-1135,-833,35,-18,2025-01-30 10:06:17.769902,standing
-3810,9,-1158,-822,33,-37,2025-01-30 10:06:17.769902,standing
-3805,-25,-1197,-876,-60,-24,2025-01-30 10:06:17.789237,standing
-3792,-13,-1165,-879,-229,-72,2025-01-30 10:06:17.805739,standing
-3733,-10,-1135,-844,-113,-95,2025-01-30 10:06:17.819989,
-3738,-24,-1044,-791,226,-101,2025-01-30 10:06:17.835043,standing
-3775,-1,-1055,-773,378,-93,2025-01-30 10:06:17.853647,standing
-3840,-20,-1154,-811,226,-116,2025-01-30 10:06:17.869818,standing
-3834,-56,-1184,-801,9,-164,2025-01-30 10:06:17.886938,standing
-3810,-22,-1209,-768,-113,-128,2025-01-30 10:06:17.903178,standing
-3793,-16,-1172,-652,-137,-117,2025-01-30 10:06:17.919232,standing
-3801,-26,-1115,-602,53,-133,2025-01-30 10:06:17.939712,standing
-3789,13,-1073,-578,218,-154,2025-01-30 10:06:17.950029,standing
-3756,-30,-1104,-652,281,-167,2025-01-30 10:06:17.963735,standing
-3778,-21,-1104,-636,275,-152,2025-01-30 10:06:17.993343,standing
-3800,-20,-1165,-654,228,-174,2025-01-30 10:06:17.999903,standing
-3788,9,-1177,-586,125,-177,2025-01-30 10:06:18.040750,standing
-3793,-23,-1121,-519,144,-157,2025-01-30 10:06:18.040750,standing
-3816,-21,-1134,-493,170,-152,2025-01-30 10:06:18.040750,standing
-3809,-14,-1113,-459,200,-149,2025-01-30 10:06:18.064875,standing
-3776,4,-1083,-512,285,-118,2025-01-30 10:06:18.083579,standing
-3786,19,-1134,-570,181,-149,2025-01-30 10:06:18.100241,standing
-3807,-1,-1151,-566,88,-100,2025-01-30 10:06:18.119711,standing
-3791,18,-1145,-544,108,-126,2025-01-30 10:06:18.124791,standing
-3810,43,-1122,-585,153,-114,2025-01-30 10:06:18.150073,standing
-3773,39,-1134,-621,162,-66,2025-01-30 10:06:18.165465,standing
-3780,17,-1078,-664,140,-91,2025-01-30 10:06:18.183228,standing
-3776,26,-1115,-705,146,-129,2025-01-30 10:06:18.200081,standing
-3763,28,-1144,-693,174,-174,2025-01-30 10:06:18.217416,standing
-3776,20,-1146,-705,226,-144,2025-01-30 10:06:18.228891,standing
-3773,5,-1203,-684,211,-147,2025-01-30 10:06:18.262092,standing
-3835,-13,-1208,-583,141,-117,2025-01-30 10:06:18.266538,standing
-3804,-19,-1143,-523,-23,-116,2025-01-30 10:06:18.284017,standing
-3765,7,-1183,-531,-53,-96,2025-01-30 10:06:18.299714,standing
-3731,2,-1139,-568,111,-41,2025-01-30 10:06:18.341567,standing
-3750,21,-1140,-550,227,9,2025-01-30 10:06:18.358166,standing
-3834,7,-1152,-544,224,-4,2025-01-30 10:06:18.365626,standing
-3867,-8,-1139,-547,141,-2,2025-01-30 10:06:18.365626,standing
-3809,-9,-1163,-598,50,3,2025-01-30 10:06:18.384067,standing
-3773,-24,-1141,-623,-95,2,2025-01-30 10:06:18.396164,standing
-3741,9,-1133,-603,-86,-3,2025-01-30 10:06:18.412357,standing
-3760,-17,-1120,-531,138,-73,2025-01-30 10:06:18.427942,standing
-3837,-13,-1098,-514,208,-172,2025-01-30 10:06:18.446080,standing
-3849,-4,-1113,-596,-11,-238,2025-01-30 10:06:18.458660,standing
-3785,-10,-1181,-644,-165,-217,2025-01-30 10:06:18.476408,standing
-3775,-38,-1198,-566,-160,-167,2025-01-30 10:06:18.502221,standing
-3783,-61,-1158,-452,-191,-145,2025-01-30 10:06:18.507323,standing
-3820,-27,-1089,-413,-147,-147,2025-01-30 10:06:18.530716,standing
-3753,-12,-1117,-412,-29,-173,2025-01-30 10:06:18.546722,standing
-3725,-7,-1089,-456,17,-93,2025-01-30 10:06:18.555128,standing
-3766,-34,-1120,-484,-16,-39,2025-01-30 10:06:18.580859,standing
-3787,-49,-1178,-487,49,12,2025-01-30 10:06:18.596264,standing
-3814,-32,-1150,-429,-68,8,2025-01-30 10:06:18.643161,standing
-3802,-24,-1108,-420,-194,-4,2025-01-30 10:06:18.643161,standing
-3838,-32,-1138,-372,-165,2,2025-01-30 10:06:18.643161,standing
-3780,-44,-1156,-359,-140,-18,2025-01-30 10:06:18.658802,standing
-3790,-59,-1168,-335,-120,-2,2025-01-30 10:06:18.675900,standing
-3852,-61,-1183,-346,-228,-15,2025-01-30 10:06:18.683233,standing
-3796,-41,-1165,-318,-449,-7,2025-01-30 10:06:18.710089,standing
-3775,-15,-1146,-317,-477,-133,2025-01-30 10:06:18.726917,standing
-3728,-13,-1100,-281,-295,-188,2025-01-30 10:06:18.741855,standing
-3754,31,-1048,-316,-85,-221,2025-01-30 10:06:18.749442,standing
-3793,27,-1038,-383,148,-300,2025-01-30 10:06:18.779278,standing
-3835,65,-1068,-541,197,-402,2025-01-30 10:06:18.783429,standing
-3825,77,-1022,-779,17,-521,2025-01-30 10:06:18.809788,standing
