acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,label,timestamp
-3824,-165,323,-624,295,-152,,2025-02-12 12:04:18.484109
-3818,-124,330,-645,250,-143,,2025-02-12 12:04:18.488548
-3827,-141,335,-679,256,-108,,2025-02-12 12:04:18.489979
-3851,-130,316,-672,195,-75,,2025-02-12 12:04:18.499841
-3832,-114,305,-671,187,-82,,2025-02-12 12:04:18.512560
-3812,-156,307,-641,165,-48,,2025-02-12 12:04:18.529046
-3842,-116,309,-649,118,-91,,2025-02-12 12:04:18.548279
-3815,-119,344,-651,88,-115,,2025-02-12 12:04:18.566723
-3801,-128,339,-657,173,-135,,2025-02-12 12:04:18.582458
-3796,-119,338,-633,191,-148,,2025-02-12 12:04:18.600658
-3820,-125,351,-635,216,-100,,2025-02-12 12:04:18.615327
-3837,-170,355,-640,188,-127,,2025-02-12 12:04:18.629340
-3877,-120,355,-644,143,-80,,2025-02-12 12:04:18.647897
-3821,-127,292,-677,97,-63,,2025-02-12 12:04:18.663360
-3801,-124,286,-627,167,-63,,2025-02-12 12:04:18.685027
-3820,-116,337,-614,161,-80,,2025-02-12 12:04:18.700051
-3820,-126,331,-599,81,-65,,2025-02-12 12:04:18.722170
-3827,-136,304,-593,79,-81,,2025-02-12 12:04:18.767707
-3817,-116,308,-591,66,-73,,2025-02-12 12:04:18.769672
-3825,-134,292,-599,14,-81,,2025-02-12 12:04:18.771346
-3796,-146,321,-583,78,-90,,2025-02-12 12:04:18.780849
-3800,-122,328,-588,163,-111,,2025-02-12 12:04:18.800654
-3841,-153,344,-614,229,-83,,2025-02-12 12:04:18.814572
-3843,-136,314,-619,160,-66,,2025-02-12 12:04:18.832094
-3860,-114,336,-651,155,-66,,2025-02-12 12:04:18.851565
-3842,-141,320,-677,35,-32,,2025-02-12 12:04:18.864845
-3839,-103,298,-689,-149,-24,,2025-02-12 12:04:18.881694
-3841,-107,289,-694,-292,40,,2025-02-12 12:04:18.903628
-3881,-95,382,-734,-403,-12,,2025-02-12 12:04:18.915240
-3841,-34,409,-836,-483,-66,,2025-02-12 12:04:18.933187
-3757,-2,399,-1028,-471,-59,,2025-02-12 12:04:18.949128
-3794,-61,395,-1165,-570,4,,2025-02-12 12:04:18.963218
-3699,-42,393,-1225,-498,101,,2025-02-12 12:04:18.991003
-3645,-73,415,-1396,-89,254,,2025-02-12 12:04:18.995818
-3726,-81,412,-1476,2,375,,2025-02-12 12:04:19.012921
-3707,-92,421,-1510,115,405,,2025-02-12 12:04:19.027044
-3624,-107,390,-1467,542,464,,2025-02-12 12:04:19.075176
-3574,-121,376,-1365,1214,579,,2025-02-12 12:04:19.077421
-3578,-204,372,-1218,1792,685,,2025-02-12 12:04:19.078469
-3720,-207,420,-1043,2017,736,,2025-02-12 12:04:19.093923
-3782,-175,474,-1099,2057,686,,2025-02-12 12:04:19.110164
-3819,-181,488,-1272,1928,672,,2025-02-12 12:04:19.130402
-3762,-248,415,-1297,1864,671,,2025-02-12 12:04:19.142638
-3672,-234,387,-1020,2128,709,,2025-02-12 12:04:19.161066
-3543,-216,380,-863,2846,869,,2025-02-12 12:04:19.175193
-3568,-216,402,-762,3703,1145,,2025-02-12 12:04:19.194404
-3674,-210,342,-870,4255,1438,,2025-02-12 12:04:19.208720
-3692,-175,228,-888,4511,1687,,2025-02-12 12:04:19.227511
-3691,-170,178,-784,4700,1820,,2025-02-12 12:04:19.247274
-3588,-150,171,-736,5036,1931,,2025-02-12 12:04:19.259668
-3534,-139,125,-705,5740,2074,,2025-02-12 12:04:19.274697
-3539,-115,2,-510,6867,2288,,2025-02-12 12:04:19.292645
-3621,-93,-38,-316,8263,2395,,2025-02-12 12:04:19.308823
-3627,-60,-38,-168,9230,2485,,2025-02-12 12:04:19.371779
-3705,-61,10,-103,10037,2611,,2025-02-12 12:04:19.377404
-3674,-95,-21,75,10750,2687,,2025-02-12 12:04:19.378870
-3777,-37,-311,301,11730,2682,,2025-02-12 12:04:19.395023
-4135,75,-659,1305,15003,1423,,2025-02-12 12:04:19.396690
-4505,299,-559,2021,15677,-905,,2025-02-12 12:04:19.408708
-4304,143,-684,1108,12858,-1216,,2025-02-12 12:04:19.423253
-3986,-108,-942,1189,11192,-526,,2025-02-12 12:04:19.440669
-4153,-165,-822,1383,10923,624,,2025-02-12 12:04:19.457151
-4500,-306,-1031,929,9644,2151,,2025-02-12 12:04:19.473033
-4678,-250,-1505,683,7119,3636,,2025-02-12 12:04:19.487672
-5044,-127,-1586,103,2913,4143,,2025-02-12 12:04:19.506547
-4808,-159,-1451,70,517,3486,,2025-02-12 12:04:19.528756
-4370,-181,-1474,-279,-421,3722,,2025-02-12 12:04:19.538793
-4152,-128,-1608,-154,-1457,3810,,2025-02-12 12:04:19.556261
-4172,-118,-1757,319,-2421,3915,,2025-02-12 12:04:19.569900
-4069,-19,-1792,1241,-2566,3826,,2025-02-12 12:04:19.601523
-4082,215,-1649,1899,-1436,3863,,2025-02-12 12:04:19.602968
-4290,501,-1562,1820,1068,3279,,2025-02-12 12:04:19.621182
-4450,499,-1545,1662,3692,1965,,2025-02-12 12:04:19.668173
-4694,510,-1393,1371,3877,564,,2025-02-12 12:04:19.671103
-4591,604,-1251,998,2275,50,,2025-02-12 12:04:19.673756
-4364,657,-1260,530,609,96,,2025-02-12 12:04:19.686771
-4100,424,-1353,145,53,-246,,2025-02-12 12:04:19.702561
-3855,222,-1554,545,868,-501,,2025-02-12 12:04:19.720177
-3810,249,-1656,1526,1591,-304,,2025-02-12 12:04:19.736273
-3903,232,-1702,2428,1746,89,,2025-02-12 12:04:19.752498
-3998,222,-1651,3255,1474,328,,2025-02-12 12:04:19.771110
-4036,144,-1613,3942,960,276,,2025-02-12 12:04:19.785617
-4055,62,-1495,4507,446,15,,2025-02-12 12:04:19.830650
-4067,2,-1428,5105,222,-459,,2025-02-12 12:04:19.835682
-4047,-83,-1445,5599,248,-949,,2025-02-12 12:04:19.836581
-3986,-119,-1564,6375,344,-1359,,2025-02-12 12:04:19.850426
-3928,-142,-1722,7000,-150,-1329,,2025-02-12 12:04:19.866827
-4008,-224,-1855,7336,-923,-1584,,2025-02-12 12:04:19.882098
-3932,-251,-1918,7563,-1153,-2307,,2025-02-12 12:04:19.937039
-3738,-36,-1805,7819,-725,-2635,,2025-02-12 12:04:19.948229
-3687,250,-1660,7900,-560,-2593,,2025-02-12 12:04:19.950655
-3680,429,-1531,7786,-582,-2527,,2025-02-12 12:04:19.952348
-3663,472,-1400,7435,-715,-2561,,2025-02-12 12:04:19.964976
-3590,355,-1367,6905,-566,-2358,,2025-02-12 12:04:19.982709
-3479,248,-1350,6388,-392,-1769,,2025-02-12 12:04:19.998053
-3454,133,-1439,5954,-728,-876,,2025-02-12 12:04:20.014110
-3436,0,-1570,5948,-1321,283,,2025-02-12 12:04:20.085340
-3470,-129,-1542,6328,-1705,930,,2025-02-12 12:04:20.088255
-3534,-114,-1460,6666,-2131,1447,,2025-02-12 12:04:20.089278
-3595,-167,-1474,6936,-3051,1837,,2025-02-12 12:04:20.091540
