acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-3807,139,-976,-534,135,-67,2025-01-30 10:08:49.806037,standing
-3828,201,-958,-593,35,-51,2025-01-30 10:08:49.839246,standing
-3836,184,-994,-626,-6,-68,2025-01-30 10:08:49.846237,standing
-3832,128,-975,-665,-46,-62,2025-01-30 10:08:49.856678,standing
-3772,139,-1000,-623,12,-91,2025-01-30 10:08:49.873997,standing
-3797,116,-999,-632,96,-93,2025-01-30 10:08:49.897872,standing
-3808,128,-971,-660,82,-74,2025-01-30 10:08:49.906611,standing
-3818,147,-972,-687,-5,-103,2025-01-30 10:08:49.914021,standing
-3803,168,-986,-699,-30,-97,2025-01-30 10:08:49.930480,standing
-3801,148,-1006,-694,-38,-89,2025-01-30 10:08:49.965082,standing
-3802,183,-992,-664,25,-83,2025-01-30 10:08:49.973510,standing
-3811,133,-965,-671,44,-71,2025-01-30 10:08:49.989984,standing
-3784,134,-982,-698,19,-52,2025-01-30 10:08:50.004638,standing
-3802,89,-997,-717,83,-69,2025-01-30 10:08:50.022902,standing
-3804,128,-996,-682,75,-105,2025-01-30 10:08:50.039422,standing
-3806,101,-1020,-669,34,-82,2025-01-30 10:08:50.047632,standing
-3815,132,-952,-671,62,-100,2025-01-30 10:08:50.081267,standing
-3841,134,-992,-675,57,-103,2025-01-30 10:08:50.089438,standing
-3809,129,-1022,-680,19,-92,2025-01-30 10:08:50.108040,standing
-3798,122,-984,-679,18,-108,2025-01-30 10:08:50.113883,standing
-3787,129,-978,-668,15,-94,2025-01-30 10:08:50.142253,standing
-3813,145,-973,-695,39,-82,2025-01-30 10:08:50.142253,standing
-3829,152,-964,-732,98,-75,2025-01-30 10:08:50.173294,standing
-3815,173,-972,-751,120,-100,2025-01-30 10:08:50.191363,standing
-3822,175,-984,-770,114,-91,2025-01-30 10:08:50.204249,standing
-3782,153,-981,-809,155,-80,2025-01-30 10:08:50.218573,standing
-3801,132,-989,-810,205,-105,2025-01-30 10:08:50.236142,standing
-3805,101,-985,-812,190,-75,2025-01-30 10:08:50.259105,standing
-3813,100,-965,-760,217,-66,2025-01-30 10:08:50.265778,standing
-3829,111,-1003,-737,205,-88,2025-01-30 10:08:50.290540,standing
-3789,111,-1014,-686,240,-102,2025-01-30 10:08:50.301794,standing
-3815,122,-990,-690,255,-130,2025-01-30 10:08:50.316469,standing
-3815,118,-989,-678,304,-125,2025-01-30 10:08:50.325232,standing
-3807,106,-985,-638,307,-100,2025-01-30 10:08:50.353108,standing
