acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-3430,219,503,-4486,-3329,1123,2025-01-29 11:31:40.790738,walking
-3275,196,716,-4335,-3411,1605,2025-01-29 11:31:40.821942,walking
-3082,100,931,-4591,-3835,1810,2025-01-29 11:31:40.821942,walking
-2983,37,1176,-5241,-3782,1996,2025-01-29 11:31:40.853112,walking
-2988,-116,1363,-5782,-2805,2499,2025-01-29 11:31:40.853112,walking
-3246,-272,1512,-6251,-1788,3309,2025-01-29 11:31:40.884333,walking
-3652,-427,1448,-6580,-1499,3697,2025-01-29 11:31:40.899956,walking
-3939,-471,1259,-6714,-1709,3225,2025-01-29 11:31:40.915593,walking
-3926,-464,1008,-6220,-2077,2247,2025-01-29 11:31:40.931207,walking
-3710,-359,868,-5696,-1132,1544,2025-01-29 11:31:40.946844,walking
-3462,-172,707,-5214,746,1633,2025-01-29 11:31:40.962463,walking
-3416,53,836,-4629,1797,2357,2025-01-29 11:31:40.978085,walking
-3655,347,1251,-4389,1718,2952,2025-01-29 11:31:40.993710,walking
-4021,582,1743,-5148,1753,3191,2025-01-29 11:31:41.009338,walking
-4905,887,1923,-7056,2049,2591,2025-01-29 11:31:41.025043,walking
-5577,937,1428,-7998,1781,1088,2025-01-29 11:31:41.040621,walking
-5713,797,623,-7563,2060,-1137,2025-01-29 11:31:41.056236,walking
-5150,397,236,-6826,1451,-2831,2025-01-29 11:31:41.079350,walking
-3799,-31,336,-7206,-205,-2989,2025-01-29 11:31:41.087875,walking
-2432,-355,645,-8587,-635,-1175,2025-01-29 11:31:41.103532,walking
-1591,-362,858,-10193,177,1328,2025-01-29 11:31:41.119147,walking
-1435,55,694,-11467,1375,3584,2025-01-29 11:31:41.134775,walking
-2170,753,195,-11757,3115,4920,2025-01-29 11:31:41.166014,walking
-2927,1265,-209,-10791,4282,5479,2025-01-29 11:31:41.166014,walking
-3939,1860,-396,-8454,4849,6128,2025-01-29 11:31:41.197288,walking
-4962,2211,-97,-6892,4120,5898,2025-01-29 11:31:41.212899,walking
-5773,2147,481,-7542,2413,3836,2025-01-29 11:31:41.228517,walking
-5832,1531,826,-9830,-1140,487,2025-01-29 11:31:41.244148,walking
-4957,868,741,-11327,-3915,-1302,2025-01-29 11:31:41.259765,walking
-3987,319,507,-11829,-4022,-1073,2025-01-29 11:31:41.275422,walking
-3325,-38,261,-11442,-2132,592,2025-01-29 11:31:41.291071,walking
-2918,-187,218,-10474,-448,2279,2025-01-29 11:31:41.306666,walking
-2798,-135,235,-9496,-336,3364,2025-01-29 11:31:41.337915,walking
-2765,14,383,-9077,-136,3879,2025-01-29 11:31:41.337915,walking
-2728,262,518,-8743,1785,4458,2025-01-29 11:31:41.353519,walking
-3136,382,608,-8248,3495,5434,2025-01-29 11:31:41.369144,walking
-3708,520,695,-8000,4004,5880,2025-01-29 11:31:41.394594,walking
-4209,556,687,-8030,4043,5259,2025-01-29 11:31:41.400630,walking
-4518,566,690,-7929,3559,3652,2025-01-29 11:31:41.431909,walking
-4503,510,717,-7712,2398,2423,2025-01-29 11:31:41.447535,walking
-4194,417,633,-7327,103,1934,2025-01-29 11:31:41.463194,walking
-3902,333,505,-6851,-1364,1929,2025-01-29 11:31:41.478783,walking
-3775,352,445,-6317,-1579,1863,2025-01-29 11:31:41.494445,walking
-3719,488,498,-5958,-1678,1455,2025-01-29 11:31:41.510035,walking
-3685,638,584,-5683,-2024,725,2025-01-29 11:31:41.525772,walking
-3512,692,799,-5352,-1968,-201,2025-01-29 11:31:41.541355,walking
-3292,505,847,-4962,-1493,-819,2025-01-29 11:31:41.556937,walking
-3048,222,746,-4107,-764,-882,2025-01-29 11:31:41.572565,walking
-2883,-66,647,-3197,-53,-579,2025-01-29 11:31:41.588613,walking
-2898,-248,579,-2498,612,-54,2025-01-29 11:31:41.604250,walking
