acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,label,timestamp
-2826,242,2592,-615,-126,-76,,2025-02-12 12:10:52.830042
-2649,292,2728,-653,-636,-13,,2025-02-12 12:10:52.834516
-2555,220,2708,-676,-304,-2,,2025-02-12 12:10:52.841279
-2613,125,2688,-749,212,1,,2025-02-12 12:10:52.880981
-2726,34,2710,-603,449,-105,,2025-02-12 12:10:52.883322
-2805,4,2686,-501,689,-160,,2025-02-12 12:10:52.899398
-2881,-21,2560,-466,873,-210,,2025-02-12 12:10:52.903054
-2880,-15,2542,-516,689,-220,,2025-02-12 12:10:52.931398
-2777,35,2580,-376,915,-299,,2025-02-12 12:10:52.942091
-2572,89,2676,200,2201,-506,,2025-02-12 12:10:52.959576
-2334,86,2845,882,5406,-927,,2025-02-12 12:10:52.972094
-2164,142,2773,423,9390,-805,,2025-02-12 12:10:52.989134
-2492,158,2272,-853,10895,-684,,2025-02-12 12:10:53.025707
-3092,123,1832,-1075,7813,-375,,2025-02-12 12:10:53.028236
-3577,126,1948,-811,3363,155,,2025-02-12 12:10:53.058874
-3776,171,2212,-805,137,235,,2025-02-12 12:10:53.061910
-3514,195,2367,-707,-1524,-11,,2025-02-12 12:10:53.072309
-3054,159,2439,-624,-2031,-265,,2025-02-12 12:10:53.089602
-2747,123,2449,-606,-1952,-280,,2025-02-12 12:10:53.107698
-2685,145,2422,-581,-1640,-196,,2025-02-12 12:10:53.123587
-2735,180,2480,-781,-1392,-114,,2025-02-12 12:10:53.140096
-2821,171,2489,-1018,-1078,-87,,2025-02-12 12:10:53.167586
-2802,140,2515,-963,-339,-146,,2025-02-12 12:10:53.169688
-2822,118,2480,-596,396,-373,,2025-02-12 12:10:53.192401
-2855,113,2525,-220,721,-474,,2025-02-12 12:10:53.202407
-2999,96,2443,-109,440,-480,,2025-02-12 12:10:53.236610
-3071,77,2382,-430,-533,-352,,2025-02-12 12:10:53.238240
-3061,96,2348,-762,-1432,-157,,2025-02-12 12:10:53.249631
-2944,67,2353,-951,-1562,-141,,2025-02-12 12:10:53.270004
-2806,70,2429,-985,-1231,-175,,2025-02-12 12:10:53.290313
-2735,91,2491,-941,-900,-112,,2025-02-12 12:10:53.302198
-2647,87,2544,-769,-311,-119,,2025-02-12 12:10:53.365105
-2686,84,2524,-718,327,-105,,2025-02-12 12:10:53.366368
-2843,86,2440,-688,649,-78,,2025-02-12 12:10:53.384518
-2957,96,2362,-607,546,-70,,2025-02-12 12:10:53.385685
-3067,92,2390,-672,313,-148,,2025-02-12 12:10:53.386578
-2990,84,2341,-768,18,-171,,2025-02-12 12:10:53.417802
-2956,111,2405,-705,-190,-201,,2025-02-12 12:10:53.420343
-2932,124,2431,-718,-227,-224,,2025-02-12 12:10:53.486728
-2942,122,2448,-682,-306,-250,,2025-02-12 12:10:53.489630
-2819,113,2447,-571,4,-306,,2025-02-12 12:10:53.547618
