acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,label,timestamp
-3608,297,1304,165,-382,-565,,2025-02-12 12:06:30.040385
-3529,319,1298,210,-406,-574,,2025-02-12 12:06:30.069131
-3476,356,1294,307,-305,-567,,2025-02-12 12:06:30.072487
-3480,376,1344,310,-216,-562,,2025-02-12 12:06:30.088952
-3468,379,1349,247,-148,-540,,2025-02-12 12:06:30.103302
-3515,451,1365,155,-119,-499,,2025-02-12 12:06:30.128906
-3527,416,1357,73,-100,-471,,2025-02-12 12:06:30.134530
-3546,375,1326,3,-113,-430,,2025-02-12 12:06:30.158424
-3523,366,1302,-33,-109,-422,,2025-02-12 12:06:30.169915
-3546,387,1342,-60,-111,-387,,2025-02-12 12:06:30.186471
-3553,387,1328,-114,-67,-399,,2025-02-12 12:06:30.206996
-3515,404,1337,-145,1,-426,,2025-02-12 12:06:30.220250
-3533,418,1342,-216,107,-464,,2025-02-12 12:06:30.244965
-3570,437,1335,-285,166,-496,,2025-02-12 12:06:30.264013
-3534,415,1338,-360,7,-451,,2025-02-12 12:06:30.267270
-3526,406,1321,-407,-70,-349,,2025-02-12 12:06:30.286250
-3459,377,1317,-459,-63,-262,,2025-02-12 12:06:30.304745
-3464,364,1305,-480,119,-205,,2025-02-12 12:06:30.321235
-3483,367,1329,-535,229,-191,,2025-02-12 12:06:30.339732
-3509,326,1347,-525,212,-138,,2025-02-12 12:06:30.366528
-3532,325,1314,-485,206,-91,,2025-02-12 12:06:30.370130
-3587,372,1315,-481,179,-100,,2025-02-12 12:06:30.387417
-3576,348,1295,-484,127,-151,,2025-02-12 12:06:30.404393
-3564,361,1347,-487,162,-196,,2025-02-12 12:06:30.429198
-3571,366,1358,-545,107,-216,,2025-02-12 12:06:30.451795
-3523,376,1354,-619,53,-195,,2025-02-12 12:06:30.453990
-3508,395,1339,-690,116,-134,,2025-02-12 12:06:30.478915
-3516,388,1305,-681,211,-126,,2025-02-12 12:06:30.489206
-3560,346,1325,-670,218,-150,,2025-02-12 12:06:30.504242
-3584,360,1302,-687,108,-130,,2025-02-12 12:06:30.520179
-3562,332,1329,-731,60,-167,,2025-02-12 12:06:30.540500
