acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,label,timestamp
-2078,-62,3127,-607,301,-132,,2025-02-12 12:08:29.250198
-2126,-51,3129,-547,400,-177,,2025-02-12 12:08:29.305318
-2104,-70,3109,-532,507,-167,,2025-02-12 12:08:29.308391
-2127,-71,3139,-523,545,-162,,2025-02-12 12:08:29.309604
-2142,-62,3181,-542,504,-152,,2025-02-12 12:08:29.311011
-2108,-75,3174,-575,456,-156,,2025-02-12 12:08:29.325690
-2113,-75,3161,-572,437,-162,,2025-02-12 12:08:29.338174
-2130,-55,3126,-571,449,-150,,2025-02-12 12:08:29.357397
-2094,-32,3098,-590,495,-165,,2025-02-12 12:08:29.376460
-2151,-36,3093,-635,493,-155,,2025-02-12 12:08:29.390106
-2150,-54,3092,-641,466,-155,,2025-02-12 12:08:29.425764
-2190,-32,3121,-634,348,-125,,2025-02-12 12:08:29.428315
-2196,-50,3113,-612,239,-126,,2025-02-12 12:08:29.442444
-2123,-74,3092,-597,62,-117,,2025-02-12 12:08:29.460348
-2100,-69,3114,-608,17,-121,,2025-02-12 12:08:29.485429
-2125,-88,3111,-621,24,-142,,2025-02-12 12:08:29.495520
-2119,-96,3125,-586,18,-151,,2025-02-12 12:08:29.527444
-2162,-62,3099,-599,-40,-145,,2025-02-12 12:08:29.551298
-2189,-59,3122,-593,-166,-147,,2025-02-12 12:08:29.554855
-2170,-77,3118,-631,-267,-144,,2025-02-12 12:08:29.565689
-2134,-72,3169,-668,-343,-145,,2025-02-12 12:08:29.577925
-2082,-83,3112,-651,-340,-147,,2025-02-12 12:08:29.591597
-2105,-100,3148,-640,-349,-135,,2025-02-12 12:08:29.614438
-2106,-86,3166,-646,-239,-136,,2025-02-12 12:08:29.628460
-2146,-71,3141,-641,-162,-125,,2025-02-12 12:08:29.646939
-2105,-88,3172,-628,-139,-121,,2025-02-12 12:08:29.675045
-2124,-55,3179,-623,-189,-105,,2025-02-12 12:08:29.677148
-2089,-82,3140,-633,-296,-120,,2025-02-12 12:08:29.691494
-2100,-67,3160,-646,-348,-128,,2025-02-12 12:08:29.715986
-2096,-83,3164,-632,-358,-143,,2025-02-12 12:08:29.736915
-2061,-75,3165,-629,-402,-127,,2025-02-12 12:08:29.746031
-2078,-81,3196,-602,-432,-107,,2025-02-12 12:08:29.763052
-2041,-80,3193,-614,-310,-106,,2025-02-12 12:08:29.796736
-2061,-68,3186,-601,-338,-75,,2025-02-12 12:08:29.800597
