acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-3688,-871,576,-663,1,-12,2025-01-30 09:58:50.478810,standing
-3661,-872,575,-718,31,62,2025-01-30 09:58:50.667023,standing
-3694,-883,577,-681,51,27,2025-01-30 09:58:50.667023,standing
-3686,-880,582,-636,54,-12,2025-01-30 09:58:50.667023,standing
-3687,-886,598,-557,92,-18,2025-01-30 09:58:50.667023,standing
-3695,-899,577,-526,133,-52,2025-01-30 09:58:50.667023,standing
-3680,-880,586,-469,164,-44,2025-01-30 09:58:50.667023,standing
-3684,-854,590,-539,188,-11,2025-01-30 09:58:50.667023,standing
-3696,-827,605,-585,198,-21,2025-01-30 09:58:50.667023,standing
-3685,-853,569,-582,233,-29,2025-01-30 09:58:50.874256,standing
-3696,-816,611,-546,89,-65,2025-01-30 09:58:50.874256,standing
-3674,-839,608,-552,114,-29,2025-01-30 09:58:50.874256,standing
-3705,-815,608,-583,153,-16,2025-01-30 09:58:50.874256,standing
-3700,-853,601,-608,139,-23,2025-01-30 09:58:50.884280,standing
-3723,-840,611,-603,122,11,2025-01-30 09:58:50.884280,standing
-3689,-851,586,-608,111,10,2025-01-30 09:58:50.884280,standing
-3698,-838,631,-656,183,8,2025-01-30 09:58:50.884280,standing
-3714,-830,600,-706,161,3,2025-01-30 09:58:50.906551,standing
-3707,-801,580,-720,111,-23,2025-01-30 09:58:50.917702,standing
-3675,-827,636,-771,117,11,2025-01-30 09:58:50.934076,standing
-3669,-844,630,-765,155,26,2025-01-30 09:58:50.951055,standing
-3671,-856,557,-792,151,37,2025-01-30 09:58:50.969052,standing
-3699,-847,624,-818,100,38,2025-01-30 09:58:50.985678,standing
-3678,-825,576,-862,98,86,2025-01-30 09:58:51.002392,standing
-3690,-828,599,-838,65,87,2025-01-30 09:58:51.018925,standing
-3685,-884,608,-826,62,82,2025-01-30 09:58:51.035964,standing
-3681,-855,572,-750,94,21,2025-01-30 09:58:51.048870,standing
-3682,-863,565,-738,94,22,2025-01-30 09:58:51.068569,standing
-3667,-850,581,-660,163,41,2025-01-30 09:58:51.084298,standing
-3696,-834,612,-576,243,68,2025-01-30 09:58:51.102207,standing
-3708,-857,541,-509,233,33,2025-01-30 09:58:51.118685,standing
-3687,-907,534,-477,246,22,2025-01-30 09:58:51.170738,standing
-3696,-882,536,-388,272,36,2025-01-30 09:58:51.201515,standing
-3696,-873,528,-319,271,1,2025-01-30 09:58:51.201515,standing
-3695,-828,529,-238,223,-53,2025-01-30 09:58:51.201515,standing
-3672,-812,584,-168,252,-69,2025-01-30 09:58:51.201515,standing
-3697,-805,607,-145,237,-60,2025-01-30 09:58:51.207663,standing
-3686,-823,563,-121,294,-79,2025-01-30 09:58:51.232455,standing
-3701,-831,582,-43,398,-137,2025-01-30 09:58:51.245993,standing
-3708,-829,616,-15,463,-173,2025-01-30 09:58:51.263055,standing
-3719,-807,570,-50,488,-184,2025-01-30 09:58:51.284428,standing
-3697,-807,592,-24,481,-153,2025-01-30 09:58:51.305970,standing
-3687,-799,580,-115,430,-141,2025-01-30 09:58:51.312486,standing
-3717,-766,546,-196,364,-106,2025-01-30 09:58:51.336986,standing
-3752,-758,575,-287,302,-61,2025-01-30 09:58:51.343867,standing
-3733,-741,608,-377,240,-74,2025-01-30 09:58:51.369457,standing
-3744,-764,560,-455,195,-55,2025-01-30 09:58:51.376135,standing
-3733,-818,587,-508,139,-85,2025-01-30 09:58:51.402008,standing
-3697,-793,555,-560,101,-53,2025-01-30 09:58:51.468054,standing
-3730,-797,507,-661,88,-22,2025-01-30 09:58:51.470171,standing
-3739,-790,565,-702,58,2,2025-01-30 09:58:51.470171,standing
-3731,-742,590,-701,51,-4,2025-01-30 09:58:51.470171,standing
-3698,-775,563,-704,73,-32,2025-01-30 09:58:51.470171,standing
-3645,-775,620,-791,124,-66,2025-01-30 09:58:51.485707,standing
-3608,-773,627,-843,254,-43,2025-01-30 09:58:51.519097,standing
-3665,-803,619,-939,366,14,2025-01-30 09:58:51.519097,standing
-3701,-848,602,-1025,380,39,2025-01-30 09:58:51.538977,standing
-3719,-814,572,-1066,299,90,2025-01-30 09:58:51.552432,standing
-3709,-818,527,-1003,292,88,2025-01-30 09:58:51.578756,standing
-3697,-788,504,-1001,214,69,2025-01-30 09:58:51.586645,standing
-3720,-790,593,-1009,250,90,2025-01-30 09:58:51.601001,standing
-3703,-790,579,-1029,272,83,2025-01-30 09:58:51.621201,standing
-3716,-804,556,-1024,270,84,2025-01-30 09:58:51.635148,standing
-3734,-812,507,-998,194,83,2025-01-30 09:58:51.652960,standing
-3717,-836,521,-977,197,32,2025-01-30 09:58:51.668922,standing
-3738,-845,529,-932,125,-4,2025-01-30 09:58:51.687416,standing
-3705,-847,540,-911,113,-26,2025-01-30 09:58:51.718782,standing
-3727,-822,510,-820,90,3,2025-01-30 09:58:51.718782,standing
-3677,-814,538,-811,143,17,2025-01-30 09:58:51.763010,standing
-3722,-783,544,-784,147,40,2025-01-30 09:58:51.769473,standing
-3750,-759,528,-763,88,-14,2025-01-30 09:58:51.769473,standing
-3750,-834,506,-712,106,-46,2025-01-30 09:58:51.802067,standing
-3709,-853,530,-616,56,-61,2025-01-30 09:58:51.802067,standing
-3677,-839,539,-568,95,-50,2025-01-30 09:58:51.817862,standing
-3651,-811,528,-551,149,-107,2025-01-30 09:58:51.834469,standing
-3701,-798,508,-530,147,-120,2025-01-30 09:58:51.852647,standing
-3743,-807,495,-492,202,-150,2025-01-30 09:58:51.869534,standing
-3749,-810,501,-429,145,-148,2025-01-30 09:58:51.886096,standing
-3770,-795,497,-371,88,-181,2025-01-30 09:58:51.900796,standing
-3725,-802,542,-292,92,-241,2025-01-30 09:58:51.922402,standing
-3695,-819,493,-319,95,-245,2025-01-30 09:58:51.937880,standing
-3686,-807,507,-312,138,-201,2025-01-30 09:58:51.950802,standing
-3694,-758,493,-330,173,-163,2025-01-30 09:58:51.967471,standing
-3755,-782,518,-334,138,-197,2025-01-30 09:58:51.974880,standing
-3770,-788,504,-279,105,-225,2025-01-30 09:58:51.992179,standing
-3757,-787,527,-292,45,-269,2025-01-30 09:58:52.000640,standing
-3682,-811,581,-289,23,-245,2025-01-30 09:58:52.095245,
-3659,-766,565,-376,67,-174,2025-01-30 09:58:52.110915,standing
-3677,-770,574,-434,146,-145,2025-01-30 09:58:52.110915,standing
-3691,-785,572,-466,167,-121,2025-01-30 09:58:52.110915,standing
-3748,-769,502,-497,169,-155,2025-01-30 09:58:52.110915,standing
-3686,-782,508,-458,159,-123,2025-01-30 09:58:52.110915,standing
-3700,-813,531,-482,184,-127,2025-01-30 09:58:52.120063,standing
-3721,-818,504,-467,163,-123,2025-01-30 09:58:52.140399,standing
-3746,-845,507,-461,152,-118,2025-01-30 09:58:52.157969,standing
-3769,-783,530,-497,127,-127,2025-01-30 09:58:52.175380,standing
-3702,-758,525,-528,76,-148,2025-01-30 09:58:52.194345,standing
-3686,-763,547,-526,103,-174,2025-01-30 09:58:52.213743,standing
-3707,-765,544,-613,114,-162,2025-01-30 09:58:52.226081,standing
-3691,-792,521,-638,97,-96,2025-01-30 09:58:52.242523,standing
-3707,-782,539,-631,58,-59,2025-01-30 09:58:52.267289,standing
-3720,-792,526,-651,31,-97,2025-01-30 09:58:52.271058,standing
-3696,-780,525,-677,63,-105,2025-01-30 09:58:52.297491,standing
-3687,-788,563,-744,136,-116,2025-01-30 09:58:52.312066,standing
-3655,-808,541,-756,205,-86,2025-01-30 09:58:52.324742,standing
-3719,-813,553,-805,216,-78,2025-01-30 09:58:52.352179,standing
-3717,-810,604,-813,186,-51,2025-01-30 09:58:52.371816,standing
-3694,-815,557,-753,143,-56,2025-01-30 09:58:52.375652,standing
-3702,-784,576,-742,156,-69,2025-01-30 09:58:52.389872,standing
-3734,-758,549,-792,103,-27,2025-01-30 09:58:52.409818,standing
-3767,-748,519,-881,11,25,2025-01-30 09:58:52.425034,standing
-3795,-746,507,-873,-105,70,2025-01-30 09:58:52.445095,standing
-3751,-805,502,-801,-162,55,2025-01-30 09:58:52.455976,standing
-3744,-847,466,-679,-252,33,2025-01-30 09:58:52.475626,standing
-3737,-883,452,-563,-264,-26,2025-01-30 09:58:52.489788,standing
-3695,-883,466,-460,-266,-81,2025-01-30 09:58:52.507874,standing
-3687,-828,556,-425,-208,-203,2025-01-30 09:58:52.521529,standing
-3732,-805,571,-322,-72,-275,2025-01-30 09:58:52.540348,standing
-3691,-757,588,-319,63,-331,2025-01-30 09:58:52.557960,standing
-3704,-771,590,-365,111,-402,2025-01-30 09:58:52.573545,standing
-3679,-787,615,-465,200,-429,2025-01-30 09:58:52.620855,standing
-3643,-797,583,-503,244,-417,2025-01-30 09:58:52.634889,standing
-3653,-814,607,-527,313,-378,2025-01-30 09:58:52.635918,standing
-3678,-795,577,-588,251,-334,2025-01-30 09:58:52.670782,standing
-3684,-811,562,-562,236,-313,2025-01-30 09:58:52.676398,standing
-3716,-774,544,-554,180,-324,2025-01-30 09:58:52.676398,standing
-3718,-797,559,-584,162,-263,2025-01-30 09:58:52.685867,standing
-3739,-795,584,-528,103,-256,2025-01-30 09:58:52.974283,standing
-3760,-796,549,-564,113,-267,2025-01-30 09:58:52.974283,standing
-3734,-799,569,-591,39,-289,2025-01-30 09:58:52.974283,standing
-3713,-811,577,-583,43,-309,2025-01-30 09:58:52.974283,standing
-3687,-796,534,-591,28,-275,2025-01-30 09:58:52.974283,standing
-3667,-802,535,-625,6,-202,2025-01-30 09:58:52.974283,standing
-3715,-808,564,-659,16,-171,2025-01-30 09:58:52.974283,standing
