acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-3814,-199,-659,-3036,102,-86,2025-01-30 09:45:31.843858,standing
-3843,-181,-657,-2972,81,-102,2025-01-30 09:45:31.856980,standing
-3841,-194,-633,-3048,105,-50,2025-01-30 09:45:31.891318,standing
-3872,-169,-646,-3105,61,-53,2025-01-30 09:45:31.891318,standing
-3881,-144,-628,-3229,-1,-17,2025-01-30 09:45:31.907233,standing
-3894,-163,-671,-3228,-65,-31,2025-01-30 09:45:31.923595,standing
-3885,-181,-633,-3222,-90,-44,2025-01-30 09:45:31.951571,standing
-3868,-151,-629,-3253,-128,1,2025-01-30 09:45:31.973578,standing
-3867,-153,-627,-3275,-199,40,2025-01-30 09:45:31.977770,standing
-3820,-160,-609,-3341,-208,57,2025-01-30 09:45:31.990269,standing
-3793,-151,-595,-3345,-227,108,2025-01-30 09:45:32.016745,standing
-3773,-151,-637,-3344,-124,106,2025-01-30 09:45:32.024269,standing
-3854,-151,-612,-3387,-39,109,2025-01-30 09:45:32.040775,standing
-3852,-139,-611,-3430,-7,110,2025-01-30 09:45:32.074092,standing
-3896,-167,-649,-3439,48,138,2025-01-30 09:45:32.074092,standing
-3881,-120,-643,-3487,-24,96,2025-01-30 09:45:32.090852,standing
-3872,-93,-607,-3504,-104,69,2025-01-30 09:45:32.103772,standing
-3885,-87,-630,-3536,-92,52,2025-01-30 09:45:32.123890,standing
-3846,-90,-645,-3571,-47,44,2025-01-30 09:45:32.140564,standing
-3845,-136,-636,-3540,-11,49,2025-01-30 09:45:32.173879,standing
-3878,-180,-667,-3536,25,46,2025-01-30 09:45:32.197797,standing
-3883,-182,-686,-3486,-63,99,2025-01-30 09:45:32.207586,standing
-3842,-139,-687,-3427,-160,90,2025-01-30 09:45:32.207586,standing
-3840,-100,-644,-3395,-195,71,2025-01-30 09:45:32.214293,standing
-3843,-102,-690,-3365,-85,116,2025-01-30 09:45:32.252225,standing
-3851,-115,-657,-3278,55,105,2025-01-30 09:45:32.257145,standing
-3893,-158,-670,-3227,-2,140,2025-01-30 09:45:32.269560,standing
-3839,-146,-636,-3154,-66,142,2025-01-30 09:45:32.290632,standing
-3832,-115,-637,-3067,-50,94,2025-01-30 09:45:32.307413,standing
-3789,-89,-644,-2988,33,151,2025-01-30 09:45:32.324724,standing
-3808,-77,-619,-2895,151,212,2025-01-30 09:45:32.340693,standing
-3831,-98,-639,-2801,265,309,2025-01-30 09:45:32.356512,standing
-3843,-78,-610,-2778,263,273,2025-01-30 09:45:32.381710,standing
-3868,-71,-642,-2724,195,248,2025-01-30 09:45:32.381710,standing
-3894,-37,-655,-2640,101,191,2025-01-30 09:45:32.408418,standing
-3945,-47,-666,-2532,53,137,2025-01-30 09:45:32.431198,standing
-3894,-89,-695,-2349,71,128,2025-01-30 09:45:32.436299,standing
-3882,-85,-668,-2265,11,66,2025-01-30 09:45:32.467427,
-3845,-89,-644,-2140,-42,49,2025-01-30 09:45:32.474400,standing
-3810,-65,-618,-2041,-119,111,2025-01-30 09:45:32.490574,standing
-3799,-37,-576,-1962,-26,114,2025-01-30 09:45:32.495161,standing
-3866,-21,-596,-1892,73,114,2025-01-30 09:45:32.518828,standing
-3890,-38,-580,-1881,81,82,2025-01-30 09:45:32.554292,standing
-3892,-15,-600,-1740,55,63,2025-01-30 09:45:32.554292,standing
-3894,-26,-641,-1681,32,24,2025-01-30 09:45:32.560556,standing
-3857,-22,-655,-1614,13,34,2025-01-30 09:45:32.576235,standing
-3866,-37,-601,-1578,95,9,2025-01-30 09:45:32.609849,standing
-3882,-55,-652,-1531,48,-54,2025-01-30 09:45:32.609849,standing
-3892,-10,-646,-1481,-16,-70,2025-01-30 09:45:32.625657,standing
-3824,-8,-668,-1372,-21,-35,2025-01-30 09:45:32.640909,standing
-3798,-25,-609,-1295,22,6,2025-01-30 09:45:32.674299,standing
-3840,-55,-633,-1221,91,-15,2025-01-30 09:45:32.674299,standing
-3878,-67,-617,-1140,105,-39,2025-01-30 09:45:32.699620,standing
-3870,-87,-612,-1055,108,-105,2025-01-30 09:45:32.726597,standing
-3858,-45,-620,-942,135,-97,2025-01-30 09:45:32.773800,standing
-3830,-49,-603,-842,167,-61,2025-01-30 09:45:32.773800,standing
-3865,-59,-636,-719,163,3,2025-01-30 09:45:32.773800,standing
-3871,-72,-643,-606,132,-18,2025-01-30 09:45:32.782854,standing
-3892,-48,-639,-517,35,-81,2025-01-30 09:45:32.815023,standing
-3846,-59,-642,-437,3,-88,2025-01-30 09:45:32.823815,standing
-3836,-19,-630,-365,-19,-75,2025-01-30 09:45:32.828980,standing
-3841,-10,-609,-313,41,-80,2025-01-30 09:45:32.841261,standing
-3842,-6,-581,-278,81,-72,2025-01-30 09:45:32.859639,standing
-3858,24,-571,-231,139,-79,2025-01-30 09:45:32.873919,standing
-3857,12,-598,-226,140,-91,2025-01-30 09:45:32.895665,standing
-3853,21,-566,-234,133,-69,2025-01-30 09:45:32.915867,standing
-3865,26,-613,-257,96,-92,2025-01-30 09:45:32.926134,standing
-3875,-20,-588,-294,38,-104,2025-01-30 09:45:32.959336,standing
-3867,-4,-554,-280,-19,-118,2025-01-30 09:45:32.959336,standing
-3847,14,-631,-310,17,-88,2025-01-30 09:45:32.975859,standing
-3831,13,-589,-286,93,-57,2025-01-30 09:45:32.990562,standing
-3825,32,-618,-271,153,-70,2025-01-30 09:45:33.007340,standing
-3890,-7,-611,-278,130,-85,2025-01-30 09:45:33.032855,standing
-3856,7,-581,-278,76,-79,2025-01-30 09:45:33.039879,standing
-3831,-1,-631,-302,-15,-106,2025-01-30 09:45:33.059876,standing
-3862,29,-590,-305,-46,-81,2025-01-30 09:45:33.072674,standing
-3845,42,-540,-343,67,-77,2025-01-30 09:45:33.090612,standing
-3873,43,-534,-387,77,-83,2025-01-30 09:45:33.103355,standing
-3842,47,-549,-453,22,-78,2025-01-30 09:45:33.142005,standing
-3843,51,-557,-503,50,-76,2025-01-30 09:45:33.142706,standing
-3843,32,-599,-485,90,-111,2025-01-30 09:45:33.157676,standing
-3858,17,-609,-404,110,-92,2025-01-30 09:45:33.164462,standing
-3837,11,-596,-445,100,-97,2025-01-30 09:45:33.173850,standing
-3868,13,-592,-435,76,-73,2025-01-30 09:45:33.212373,standing
-3878,15,-575,-429,89,-71,2025-01-30 09:45:33.212373,standing
-3883,4,-569,-413,89,-117,2025-01-30 09:45:33.225413,standing
-3864,14,-605,-419,80,-102,2025-01-30 09:45:33.254051,standing
-3843,4,-566,-454,114,-89,2025-01-30 09:45:33.269771,standing
-3834,19,-575,-465,126,-68,2025-01-30 09:45:33.285884,standing
-3880,21,-573,-472,128,-54,2025-01-30 09:45:33.301587,standing
-3869,34,-590,-440,115,-51,2025-01-30 09:45:33.334983,standing
-3869,-11,-616,-433,79,-103,2025-01-30 09:45:33.340766,standing
-3877,5,-609,-415,47,-122,2025-01-30 09:45:33.351159,standing
-3883,-5,-585,-431,-20,-157,2025-01-30 09:45:33.390419,standing
-3850,13,-517,-484,-32,-145,2025-01-30 09:45:33.407067,standing
-3867,41,-542,-513,44,-120,2025-01-30 09:45:33.417111,standing
-3845,43,-584,-523,96,-71,2025-01-30 09:45:33.417111,standing
-3852,17,-533,-516,4,-125,2025-01-30 09:45:33.427538,standing
-3843,8,-551,-546,-1,-103,2025-01-30 09:45:33.458657,standing
