acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-3930,256,1394,-1591,-285,-178,2025-01-29 11:39:01.351486,walking
-3289,-152,1368,-1853,2449,-2477,2025-01-29 11:39:01.351486,walking
-3100,-183,1515,-2428,3384,-2763,2025-01-29 11:39:01.351486,walking
-3113,-148,1272,-2480,3890,-1114,2025-01-29 11:39:01.367077,walking
-3721,254,1081,-2268,378,1527,2025-01-29 11:39:01.382383,walking
-4034,471,1184,-1472,-2421,1917,2025-01-29 11:39:01.397973,walking
-3711,90,1257,-411,-3023,1472,2025-01-29 11:39:01.413637,walking
-3620,-12,1853,-1416,-1821,934,2025-01-29 11:39:01.430254,walking
-3307,-517,1305,-999,1056,259,2025-01-29 11:39:01.460946,walking
-3201,-100,1310,-561,859,1333,2025-01-29 11:39:01.476567,walking
-3224,-50,882,165,-1017,2867,2025-01-29 11:39:01.476567,walking
-3471,800,1721,-69,364,3464,2025-01-29 11:39:01.507854,walking
-3714,267,1362,-488,2159,953,2025-01-29 11:39:01.523459,walking
-3623,160,1568,-830,3408,-1498,2025-01-29 11:39:01.539070,walking
-3446,149,1457,-1570,3507,-1935,2025-01-29 11:39:01.554797,walking
-3323,48,1183,-1295,3023,-140,2025-01-29 11:39:01.554797,walking
-3947,424,1305,-1291,-271,1148,2025-01-29 11:39:01.585963,walking
-3732,350,1149,-851,-1220,997,2025-01-29 11:39:01.601587,walking
-3669,273,1327,-558,52,53,2025-01-29 11:39:01.617186,walking
-3503,-96,1150,182,1203,-743,2025-01-29 11:39:01.632849,walking
-4017,-86,1240,1039,146,-2825,2025-01-29 11:39:01.648430,walking
-3153,273,1633,-12,-385,-4147,2025-01-29 11:39:01.664066,walking
-2597,263,1032,-619,4282,-706,2025-01-29 11:39:01.679696,walking
-3623,101,1072,89,7336,1286,2025-01-29 11:39:01.695306,walking
-4330,31,1196,-87,3724,886,2025-01-29 11:39:01.710942,walking
-4161,63,1389,-614,-238,-1292,2025-01-29 11:39:01.726560,walking
-3662,341,1589,-1126,-632,-3993,2025-01-29 11:39:01.742206,walking
-3309,223,1180,-1994,1312,-1422,2025-01-29 11:39:01.757804,walking
-3311,-352,449,-568,-158,2480,2025-01-29 11:39:01.773431,walking
-3442,-92,1176,429,-952,5323,2025-01-29 11:39:01.789054,walking
-4411,1537,3190,-2781,-613,4017,2025-01-29 11:39:01.804680,walking
-4359,1126,2489,-8022,-2093,-754,2025-01-29 11:39:01.820300,walking
-3338,-314,53,-2785,-2052,-3313,2025-01-29 11:39:01.835929,walking
-1940,-707,1309,2479,1891,-777,2025-01-29 11:39:01.867178,walking
-2963,-159,1760,339,4431,284,2025-01-29 11:39:01.867178,walking
-3311,-1118,1202,-1874,4423,2357,2025-01-29 11:39:01.882804,walking
-3588,-1317,132,-313,2965,2266,2025-01-29 11:39:01.898431,walking
-4263,828,1659,-764,1155,1316,2025-01-29 11:39:01.930701,walking
-3705,-590,837,-862,-434,-233,2025-01-29 11:39:01.930701,walking
-4111,1038,1560,-3793,617,-1499,2025-01-29 11:39:01.945715,walking
-4040,1373,950,-3880,1956,-468,2025-01-29 11:39:01.976985,walking
-4718,2116,-275,-2911,-1332,1462,2025-01-29 11:39:01.992612,walking
-4095,947,1226,-2270,-1814,1362,2025-01-29 11:39:02.008264,walking
-4410,1200,1037,-1240,-712,1537,2025-01-29 11:39:02.023892,walking
-3401,-1273,1643,-1649,929,916,2025-01-29 11:39:02.039597,walking
-3439,-1174,499,-2040,1481,543,2025-01-29 11:39:02.055139,walking
-4955,2560,721,-2101,-542,961,2025-01-29 11:39:02.070848,walking
-4722,3053,1570,-2449,-1528,1460,2025-01-29 11:39:02.086366,walking
-3105,677,691,-1366,-568,1776,2025-01-29 11:39:02.117617,walking
-3401,73,370,-2192,2686,995,2025-01-29 11:39:02.117617,walking
-4302,2262,1752,-2267,760,1473,2025-01-29 11:39:02.133236,walking
-2836,-2674,313,-2457,1068,429,2025-01-29 11:39:02.148854,walking
-3432,646,1085,-2697,4272,132,2025-01-29 11:39:02.164481,walking
-4426,2564,1610,-1361,3146,293,2025-01-29 11:39:02.180109,walking
-4175,2044,1550,-1913,1890,-257,2025-01-29 11:39:02.195738,walking
-3719,-1947,202,-631,-574,-225,2025-01-29 11:39:02.226986,walking
-3889,1350,1787,-2407,-191,-684,2025-01-29 11:39:02.226986,walking
-3397,-571,956,-2214,-442,-139,2025-01-29 11:39:02.258264,walking
-3889,1052,628,-2020,1415,-8,2025-01-29 11:39:02.273912,walking
-3458,-1810,461,-655,-200,111,2025-01-29 11:39:02.289595,walking
-2949,-385,1301,-993,-166,-250,2025-01-29 11:39:02.305138,walking
-3194,-855,333,-43,2533,-768,2025-01-29 11:39:02.320762,walking
-2601,-2334,129,-451,4409,-224,2025-01-29 11:39:02.336391,walking
-2852,-1127,700,-589,3558,1350,2025-01-29 11:39:02.352014,walking
-3027,-621,437,-1308,5905,2335,2025-01-29 11:39:02.367611,walking
-5040,495,632,-212,3737,2361,2025-01-29 11:39:02.383230,walking
-4291,1120,1432,-1688,4529,912,2025-01-29 11:39:02.399003,walking
-4125,-1905,-986,-1099,4142,27,2025-01-29 11:39:02.414488,walking
-3734,-373,-171,-742,2325,302,2025-01-29 11:39:02.431134,walking
-3987,-197,265,427,-1481,287,2025-01-29 11:39:02.461795,walking
-4875,874,706,187,625,-496,2025-01-29 11:39:02.461795,walking
-4014,586,1482,-630,-1190,-1343,2025-01-29 11:39:02.477430,walking
-3373,267,1182,354,256,-1137,2025-01-29 11:39:02.493044,walking
-3755,-748,-858,3064,-512,-491,2025-01-29 11:39:02.508663,walking
-2955,1260,537,4172,-1085,-20,2025-01-29 11:39:02.524321,walking
-3124,-406,1882,5412,413,226,2025-01-29 11:39:02.539944,walking
-4974,873,2010,2426,-630,-1748,2025-01-29 11:39:02.555578,walking
-3829,-533,1896,876,1189,-2761,2025-01-29 11:39:02.602818,walking
-3567,1100,571,-1199,3235,-3273,2025-01-29 11:39:02.602818,walking
-2945,1584,28,-369,5626,-2122,2025-01-29 11:39:02.602818,walking
-3255,456,-306,2646,4405,-655,2025-01-29 11:39:02.618529,walking
-3683,-84,502,4251,1706,-635,2025-01-29 11:39:02.634069,walking
-3838,-477,1235,3116,1758,-2669,2025-01-29 11:39:02.649682,walking
-3670,-718,1403,466,3242,-2788,2025-01-29 11:39:02.680929,walking
-3917,-644,1086,-1819,2374,171,2025-01-29 11:39:02.696558,walking
-4181,-252,709,-2630,19,2085,2025-01-29 11:39:02.712180,walking
-4247,288,148,-1863,-457,1986,2025-01-29 11:39:02.727818,walking
-3996,569,394,-897,20,32,2025-01-29 11:39:02.743465,walking
-3592,571,583,-427,1233,-889,2025-01-29 11:39:02.759072,walking
-3405,287,531,-109,986,-454,2025-01-29 11:39:02.774693,walking
-3591,117,629,50,415,434,2025-01-29 11:39:02.790339,walking
-3933,-32,696,-365,270,631,2025-01-29 11:39:02.805956,walking
-3865,0,843,-1077,201,287,2025-01-29 11:39:02.821672,walking
-3949,57,677,-1119,-240,-69,2025-01-29 11:39:02.837214,walking
-3898,128,541,-769,-257,-388,2025-01-29 11:39:02.852924,walking
-3798,135,460,-446,272,-511,2025-01-29 11:39:02.868464,walking
-3714,173,575,-252,615,-417,2025-01-29 11:39:02.884086,walking
-3690,199,517,-154,133,-392,2025-01-29 11:39:02.899682,walking
-3658,189,560,-28,123,-379,2025-01-29 11:39:02.915304,walking
-3707,151,637,99,601,-170,2025-01-29 11:39:02.931445,
-3948,108,645,71,572,123,2025-01-29 11:39:02.962874,walking
-4122,103,714,-242,-96,194,2025-01-29 11:39:02.978521,walking
-4194,99,613,-509,-978,-70,2025-01-29 11:39:02.978521,walking
-4008,196,570,-423,-1253,-530,2025-01-29 11:39:02.994141,walking
-3738,227,585,-302,-413,-810,2025-01-29 11:39:03.009772,walking
-3524,132,656,-88,684,-820,2025-01-29 11:39:03.025395,walking
-3488,57,706,-101,1145,-630,2025-01-29 11:39:03.056650,walking
-3519,-72,592,-174,1757,-314,2025-01-29 11:39:03.072269,walking
-3586,-118,464,138,2762,-157,2025-01-29 11:39:03.087890,walking
-3604,-92,476,585,3255,-34,2025-01-29 11:39:03.103559,walking
-3623,183,695,533,3222,330,2025-01-29 11:39:03.119173,walking
-3707,462,884,-75,3043,534,2025-01-29 11:39:03.134772,walking
-3850,585,805,-994,2527,226,2025-01-29 11:39:03.150417,walking
-3932,715,666,-1656,1607,-114,2025-01-29 11:39:03.166013,walking
-3983,605,574,-1549,440,93,2025-01-29 11:39:03.181638,walking
-4042,347,534,-1348,-339,286,2025-01-29 11:39:03.197268,walking
-4141,38,348,-1133,-347,2,2025-01-29 11:39:03.228636,walking
-4069,-41,286,-1208,-98,-463,2025-01-29 11:39:03.228636,walking
-3833,3,248,-1379,-273,-734,2025-01-29 11:39:03.244290,walking
-3591,56,243,-1033,-791,-603,2025-01-29 11:39:03.259907,walking
-3435,96,275,-368,-1072,-263,2025-01-29 11:39:03.275527,walking
-3469,101,315,-98,-718,162,2025-01-29 11:39:03.306872,walking
-3690,61,378,-132,-137,312,2025-01-29 11:39:03.306872,walking
-3892,157,525,-380,-359,80,2025-01-29 11:39:03.322435,walking
-3925,234,573,-774,-441,-403,2025-01-29 11:39:03.338037,walking
-3883,306,556,-945,39,-623,2025-01-29 11:39:03.353752,walking
-3880,156,507,-706,334,-284,2025-01-29 11:39:03.369290,walking
-3885,76,649,-421,-19,76,2025-01-29 11:39:03.400528,walking
-3812,114,699,-612,-492,141,2025-01-29 11:39:03.400528,walking
-3722,155,542,-915,-529,-135,2025-01-29 11:39:03.432175,walking
-3593,215,459,-1035,-72,-301,2025-01-29 11:39:03.447686,walking
-3484,256,497,-1082,727,-136,2025-01-29 11:39:03.478952,walking
-3615,324,494,-1132,1039,258,2025-01-29 11:39:03.478952,walking
-3857,269,487,-1371,1070,523,2025-01-29 11:39:03.494585,walking
-4065,123,474,-1704,678,305,2025-01-29 11:39:03.510214,walking
-4068,-5,380,-1662,66,-170,2025-01-29 11:39:03.525842,walking
-3841,-39,337,-1187,-520,-136,2025-01-29 11:39:03.541482,walking
-3731,126,446,-811,-796,401,2025-01-29 11:39:03.557092,walking
-3777,270,569,-914,-758,543,2025-01-29 11:39:03.572710,walking
-3781,355,613,-1497,-543,90,2025-01-29 11:39:03.588524,walking
-3648,378,559,-2139,-196,-27,2025-01-29 11:39:03.619573,walking
-3680,330,547,-2511,-413,-47,2025-01-29 11:39:03.619573,walking
-3681,237,457,-2489,-636,36,2025-01-29 11:39:03.635233,walking
-3736,111,369,-1865,-619,109,2025-01-29 11:39:03.655757,walking
-3748,64,380,-1227,-692,268,2025-01-29 11:39:03.666300,walking
-3658,38,449,-1087,-461,412,2025-01-29 11:39:03.681966,walking
-3627,39,456,-1370,104,704,2025-01-29 11:39:03.713218,walking
-3681,64,438,-1569,138,1059,2025-01-29 11:39:03.728840,walking
-3730,70,547,-1587,-100,1246,2025-01-29 11:39:03.744479,walking
-3872,25,593,-1548,288,973,2025-01-29 11:39:03.744479,walking
-4007,-13,573,-1353,1085,563,2025-01-29 11:39:03.775727,walking
-3979,-11,443,-1064,1701,375,2025-01-29 11:39:03.791333,walking
-3890,34,415,-815,1554,484,2025-01-29 11:39:03.806953,walking
-3705,147,376,-686,1066,671,2025-01-29 11:39:03.822601,walking
-3525,303,379,-530,904,684,2025-01-29 11:39:03.842797,walking
-3563,422,309,-394,1044,551,2025-01-29 11:39:03.854336,walking
-3829,455,400,-69,930,379,2025-01-29 11:39:03.869975,walking
-4044,419,546,-196,1536,371,2025-01-29 11:39:03.885604,walking
-4166,359,637,-459,1041,113,2025-01-29 11:39:03.901243,walking
-4144,138,415,-170,-926,-403,2025-01-29 11:39:03.916898,walking
-3982,-113,167,798,-2081,-746,2025-01-29 11:39:03.948624,walking
-3885,-199,88,1450,-1393,-819,2025-01-29 11:39:03.948624,walking
-3753,-109,47,1637,-130,-783,2025-01-29 11:39:03.964243,walking
-3685,263,288,1259,622,-520,2025-01-29 11:39:03.979872,walking
-3724,532,472,1042,165,-349,2025-01-29 11:39:03.998687,walking
-3889,574,536,1062,-1043,-252,2025-01-29 11:39:04.026856,walking
-4027,292,549,997,-1928,-128,2025-01-29 11:39:04.026856,walking
-4164,-25,560,792,-2563,-125,2025-01-29 11:39:04.042476,walking
-4186,-84,615,379,-2599,-503,2025-01-29 11:39:04.058097,walking
-4069,81,594,273,-2482,-1142,2025-01-29 11:39:04.073720,walking
-3831,262,547,718,-2270,-1468,2025-01-29 11:39:04.089351,walking
-3554,399,678,1061,-1540,-1410,2025-01-29 11:39:04.120596,walking
-3469,454,698,943,-508,-1284,2025-01-29 11:39:04.136249,walking
-3491,393,653,776,43,-1260,2025-01-29 11:39:04.151852,walking
-3622,367,595,629,161,-1161,2025-01-29 11:39:04.169053,walking
-3833,275,594,573,11,-1053,2025-01-29 11:39:04.183569,walking
-3832,239,584,564,-143,-1091,2025-01-29 11:39:04.199207,walking
-3786,221,641,567,-398,-1037,2025-01-29 11:39:04.214845,walking
-3643,112,639,744,-825,-921,2025-01-29 11:39:04.230470,walking
-3545,77,642,830,-888,-779,2025-01-29 11:39:04.246085,walking
