acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label,confidence
-3783,-482,-1374,-611,69,481,2025-02-12 09:38:46.082460,walking,{'walking': 1.0}
-3735,-459,-1380,-930,-88,404,2025-02-12 09:38:46.103487,walking,{'walking': 1.0}
-3703,-402,-1355,-1135,23,378,2025-02-12 09:38:46.121278,walking,{'walking': 1.0}
-3762,-450,-1460,-1168,260,198,2025-02-12 09:38:46.144516,walking,{'walking': 1.0}
-3846,-567,-1439,-975,272,-1,2025-02-12 09:38:46.165751,walking,{'walking': 1.0}
-3781,-632,-1384,-883,106,-207,2025-02-12 09:38:46.186001,walking,{'walking': 1.0}
-3719,-697,-1419,-848,289,-265,2025-02-12 09:38:46.206468,walking,{'walking': 1.0}
-3735,-674,-1493,-730,281,-179,2025-02-12 09:38:46.227625,walking,{'walking': 1.0}
-3752,-660,-1502,-533,164,-55,2025-02-12 09:38:46.248598,walking,{'walking': 1.0}
-3835,-533,-1469,-435,-186,119,2025-02-12 09:38:46.268617,walking,{'walking': 1.0}
-3812,-460,-1420,-449,-558,179,2025-02-12 09:38:46.289329,walking,{'walking': 1.0}
-3699,-381,-1414,-496,-800,217,2025-02-12 09:38:46.328058,walking,{'walking': 1.0}
-3595,-426,-1410,-505,-646,284,2025-02-12 09:38:46.348307,walking,{'walking': 1.0}
-3598,-507,-1410,-428,-443,302,2025-02-12 09:38:46.368457,walking,{'walking': 1.0}
-3689,-555,-1438,-359,-478,344,2025-02-12 09:38:46.387455,walking,{'walking': 1.0}
-3697,-491,-1506,-260,-601,392,2025-02-12 09:38:46.416076,walking,{'walking': 1.0}
-3718,-471,-1464,-152,-923,392,2025-02-12 09:38:46.437526,walking,{'walking': 1.0}
-3668,-467,-1431,-73,-911,365,2025-02-12 09:38:46.456973,walking,{'walking': 1.0}
-3731,-451,-1439,-80,-779,279,2025-02-12 09:38:46.479208,walking,{'walking': 1.0}
-3638,-499,-1453,75,-604,185,2025-02-12 09:38:46.506714,standing,"{'walking': 0.95, 'standing': 0.05}"
-3666,-408,-1486,74,-251,387,2025-02-12 09:38:46.533933,standing,"{'walking': 0.9, 'standing': 0.1}"
-3693,-355,-1459,-6,-127,142,2025-02-12 09:38:46.557455,standing,"{'walking': 0.85, 'standing': 0.15}"
-3746,-404,-1595,166,80,26,2025-02-12 09:38:46.582941,standing,"{'walking': 0.8, 'standing': 0.2}"
-3844,-396,-1516,354,100,-227,2025-02-12 09:38:46.605651,standing,"{'walking': 0.75, 'standing': 0.25}"
-3781,-375,-1444,390,179,-322,2025-02-12 09:38:46.626438,standing,"{'walking': 0.7, 'standing': 0.3}"
-3838,-364,-1332,296,462,-268,2025-02-12 09:38:46.650187,standing,"{'walking': 0.65, 'standing': 0.35}"
-3841,-499,-1388,338,267,-370,2025-02-12 09:38:46.669476,standing,"{'walking': 0.6, 'standing': 0.4}"
-3643,-634,-1358,577,32,-377,2025-02-12 09:38:46.691775,standing,"{'walking': 0.55, 'standing': 0.45}"
-3550,-630,-1363,740,335,-301,2025-02-12 09:38:46.715278,standing,"{'walking': 0.5, 'standing': 0.5}"
-3519,-525,-1367,927,691,-232,2025-02-12 09:38:46.735447,standing,"{'standing': 0.55, 'walking': 0.45}"
-3546,-523,-1232,1058,949,-231,2025-02-12 09:38:46.755807,standing,"{'standing': 0.6, 'walking': 0.4}"
-3682,-499,-1226,1175,1174,-248,2025-02-12 09:38:46.776220,standing,"{'standing': 0.65, 'walking': 0.35}"
-3743,-456,-1230,1222,1155,-172,2025-02-12 09:38:46.795370,standing,"{'standing': 0.7, 'walking': 0.3}"
-3710,-382,-1253,1222,1091,-44,2025-02-12 09:38:46.815789,standing,"{'standing': 0.75, 'walking': 0.25}"
-3684,-415,-1297,1190,1040,97,2025-02-12 09:38:46.835332,standing,"{'standing': 0.8, 'walking': 0.2}"
