acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-3917,39,-606,-2147,164,-169,2025-01-30 09:42:22.567882,none
-3950,16,-623,-2023,284,-137,2025-01-30 09:42:22.583120,none
-3957,-39,-664,-1907,174,-154,2025-01-30 09:42:22.583120,none
-3901,-15,-567,-1859,39,-221,2025-01-30 09:42:22.583120,none
-3810,19,-565,-1878,176,-235,2025-01-30 09:42:22.598747,none
-3776,43,-531,-1889,448,-212,2025-01-30 09:42:22.610943,none
-3881,33,-560,-1937,354,-193,2025-01-30 09:42:22.631356,none
-3898,57,-594,-1986,-105,-111,2025-01-30 09:42:22.649142,none
-3879,47,-620,-2111,-36,-40,2025-01-30 09:42:22.656603,none
-3809,7,-592,-2205,127,-14,2025-01-30 09:42:22.682342,none
-3778,-13,-644,-2081,278,-48,2025-01-30 09:42:22.699098,none
-3842,-44,-644,-1846,260,-20,2025-01-30 09:42:22.705812,none
-3942,-84,-600,-1608,91,-65,2025-01-30 09:42:22.733221,none
-3937,-64,-626,-1650,173,-29,2025-01-30 09:42:22.740378,none
-3910,-60,-627,-1581,2,-47,2025-01-30 09:42:22.753195,none
-3839,-3,-585,-1452,41,2,2025-01-30 09:42:22.779819,none
-3850,23,-622,-1292,75,5,2025-01-30 09:42:22.977508,none
-3806,4,-656,-1167,63,52,2025-01-30 09:42:22.977508,none
-3830,3,-623,-1098,110,44,2025-01-30 09:42:22.977508,none
-3863,-13,-625,-990,78,2,2025-01-30 09:42:22.977508,none
-3861,-17,-618,-921,100,-15,2025-01-30 09:42:22.977508,none
-3847,18,-591,-798,134,-69,2025-01-30 09:42:22.977508,none
-3865,29,-573,-641,143,-110,2025-01-30 09:42:22.977508,none
-3864,4,-598,-534,318,-87,2025-01-30 09:42:22.977508,none
-3842,25,-609,-453,361,-37,2025-01-30 09:42:23.316230,none
-3856,-9,-595,688,789,-77,2025-01-30 09:42:23.322251,none
-3846,25,-610,706,704,-31,2025-01-30 09:42:23.322251,none
-3839,55,-624,737,612,18,2025-01-30 09:42:23.322251,none
-3825,100,-633,722,622,38,2025-01-30 09:42:23.322251,none
-3753,99,-593,701,776,63,2025-01-30 09:42:23.322251,none
-3860,134,-570,691,984,14,2025-01-30 09:42:23.322251,none
-3882,107,-624,746,1029,15,2025-01-30 09:42:23.328551,none
-3912,105,-531,810,961,32,2025-01-30 09:42:23.333712,none
-3926,111,-687,884,870,8,2025-01-30 09:42:23.350453,none
-3872,75,-775,885,754,-30,2025-01-30 09:42:23.366826,none
-3800,87,-710,920,628,-26,2025-01-30 09:42:23.383762,none
-3804,115,-710,909,827,5,2025-01-30 09:42:23.492590,none
-3886,129,-661,791,824,-31,2025-01-30 09:42:23.492590,none
-3896,111,-713,657,694,-21,2025-01-30 09:42:23.492590,none
-3860,111,-746,609,613,-35,2025-01-30 09:42:23.492590,none
-3804,110,-771,575,623,42,2025-01-30 09:42:23.492590,none
-3831,129,-783,560,729,39,2025-01-30 09:42:23.492590,none
-3897,141,-812,572,733,-32,2025-01-30 09:42:23.506106,none
-3920,141,-786,525,484,-66,2025-01-30 09:42:23.506106,none
-3902,100,-777,398,242,-95,2025-01-30 09:42:23.518661,none
-3809,140,-743,163,216,-51,2025-01-30 09:42:23.536147,none
-3790,137,-804,56,272,-35,2025-01-30 09:42:23.552432,none
-3804,143,-855,19,270,-26,2025-01-30 09:42:23.576879,none
-3818,119,-789,58,254,-13,2025-01-30 09:42:23.587497,none
-3822,108,-780,35,317,-33,2025-01-30 09:42:23.604296,none
-3835,79,-752,-73,432,-43,2025-01-30 09:42:23.621621,none
-3838,93,-808,-168,414,-32,2025-01-30 09:42:23.637756,none
-3781,132,-767,-250,419,-27,2025-01-30 09:42:23.662029,none
-3805,108,-779,-276,560,-3,2025-01-30 09:42:23.669164,none
-3843,87,-787,-218,717,41,2025-01-30 09:42:23.767615,none
-3880,79,-804,-188,708,37,2025-01-30 09:42:23.767615,none
-3885,93,-810,-248,556,18,2025-01-30 09:42:23.767615,none
-3833,102,-780,-382,416,66,2025-01-30 09:42:23.767615,none
-3856,106,-804,-480,379,32,2025-01-30 09:42:23.767615,none
-3845,84,-803,-522,456,-19,2025-01-30 09:42:23.767615,none
-3815,34,-799,-512,612,-61,2025-01-30 09:42:23.767615,none
-3875,67,-798,-452,695,-93,2025-01-30 09:42:23.799557,none
-3908,88,-863,-420,513,-135,2025-01-30 09:42:23.807830,none
-3864,137,-815,-518,382,-77,2025-01-30 09:42:23.824615,none
-3845,198,-786,-632,220,-42,2025-01-30 09:42:23.847478,none
-3829,165,-811,-725,212,-65,2025-01-30 09:42:23.865338,none
-3801,127,-855,-786,280,-153,2025-01-30 09:42:23.883178,none
-3786,66,-786,-830,355,-149,2025-01-30 09:42:23.899875,none
-3801,70,-824,-828,432,-152,2025-01-30 09:42:23.903812,none
-3840,100,-837,-809,396,-102,2025-01-30 09:42:23.934776,none
-3844,104,-847,-800,288,-93,2025-01-30 09:42:23.938158,none
-3826,131,-827,-845,325,-103,2025-01-30 09:42:23.965953,none
-3811,163,-862,-900,282,-98,2025-01-30 09:42:23.975637,none
-3825,132,-840,-991,245,-84,2025-01-30 09:42:24.018333,none
-3827,129,-827,-1043,270,-79,2025-01-30 09:42:24.018333,none
-3840,118,-784,-1109,244,-87,2025-01-30 09:42:24.018333,none
-3833,118,-863,-1114,246,-67,2025-01-30 09:42:24.039283,none
-3806,146,-864,-1122,293,-67,2025-01-30 09:42:24.055440,none
-3795,123,-845,-1190,356,31,2025-01-30 09:42:24.077883,none
-3828,119,-844,-1189,431,52,2025-01-30 09:42:24.096183,none
-3882,105,-827,-1223,403,7,2025-01-30 09:42:24.114299,none
-3865,72,-872,-1184,339,-38,2025-01-30 09:42:24.120314,none
-3833,75,-893,-1143,268,-83,2025-01-30 09:42:24.138565,none
-3813,88,-883,-1073,271,-96,2025-01-30 09:42:24.152565,none
-3871,55,-877,-1064,289,-153,2025-01-30 09:42:24.171955,none
-3840,76,-836,-1046,271,-174,2025-01-30 09:42:24.194983,none
-3851,67,-818,-1022,192,-185,2025-01-30 09:42:24.212812,none
-3859,79,-845,-975,50,-139,2025-01-30 09:42:24.219330,none
-3880,31,-841,-906,-73,-113,2025-01-30 09:42:24.245122,none
-3916,33,-824,-807,-144,-128,2025-01-30 09:42:24.260105,none
