acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-3648,621,-1788,9223,2312,3854,2025-01-29 11:50:10.257812,walking
-4083,1066,-1770,7949,3724,4481,2025-01-29 11:50:10.266854,walking
-4451,1615,-1618,5563,2837,5317,2025-01-29 11:50:10.290110,walking
-4503,1888,-1703,2990,1012,6078,2025-01-29 11:50:10.313304,walking
-4538,2122,-1773,668,30,6605,2025-01-29 11:50:10.316802,walking
-4600,2252,-1777,-1181,-402,6989,2025-01-29 11:50:10.346381,walking
-4396,1486,-1777,-1902,-2059,6017,2025-01-29 11:50:10.350717,walking
-3766,638,-1932,-1152,-3424,4539,2025-01-29 11:50:10.367276,walking
-3184,19,-1921,659,-3659,2394,2025-01-29 11:50:10.394182,walking
-2944,-338,-1820,2269,-3674,513,2025-01-29 11:50:10.413589,walking
-2800,-433,-1834,3455,-3343,-800,2025-01-29 11:50:10.426007,walking
-2633,-380,-2070,4038,-2303,-1048,2025-01-29 11:50:10.469396,walking
-2620,-301,-2334,4230,-661,446,2025-01-29 11:50:10.469396,walking
-3051,-308,-2517,4369,1300,2620,2025-01-29 11:50:10.469396,walking
-4073,-363,-2671,4607,2195,4084,2025-01-29 11:50:10.485727,walking
-4788,-281,-2793,4878,530,3804,2025-01-29 11:50:10.502571,walking
-4923,-79,-3036,5580,-2152,2561,2025-01-29 11:50:10.517705,walking
-4538,185,-2858,6794,-4020,1406,2025-01-29 11:50:10.534559,walking
-4185,671,-2375,7065,-4361,267,2025-01-29 11:50:10.550442,walking
-3820,1012,-2008,6702,-4078,-982,2025-01-29 11:50:10.573787,walking
-3585,1177,-2034,6186,-3114,-1958,2025-01-29 11:50:10.583579,walking
-3442,1181,-2072,5916,-2374,-2977,2025-01-29 11:50:10.600290,walking
-3114,970,-1846,5661,-2012,-3362,2025-01-29 11:50:10.617741,walking
-2933,677,-1606,5409,-1038,-3262,2025-01-29 11:50:10.633599,walking
-2981,277,-1484,5334,-561,-3100,2025-01-29 11:50:10.667218,walking
-2940,-166,-1452,5512,-657,-2863,2025-01-29 11:50:10.667218,walking
-2856,-458,-1312,5972,-791,-2373,2025-01-29 11:50:10.683957,walking
-2922,-494,-1300,6250,-525,-1737,2025-01-29 11:50:10.701402,walking
-3110,-234,-1262,6243,-160,-1080,2025-01-29 11:50:10.716941,walking
-3359,77,-1284,5887,127,-675,2025-01-29 11:50:10.733578,walking
-3497,454,-1323,5309,282,-240,2025-01-29 11:50:10.750961,walking
-3684,821,-1298,4598,122,338,2025-01-29 11:50:10.766903,walking
-3768,1092,-1165,3797,-204,780,2025-01-29 11:50:10.781875,walking
-3741,1137,-923,2727,-410,910,2025-01-29 11:50:10.800810,walking
-3720,979,-780,2003,-420,642,2025-01-29 11:50:10.817218,walking
-3717,729,-711,1345,-440,187,2025-01-29 11:50:10.833590,walking
-3719,502,-734,851,-392,-152,2025-01-29 11:50:10.848146,walking
-3774,337,-807,440,-165,-349,2025-01-29 11:50:10.869524,walking
-3790,162,-1037,51,-110,-545,2025-01-29 11:50:10.885930,walking
-3592,125,-1192,-201,-155,-592,2025-01-29 11:50:10.896999,walking
-3425,129,-1243,-227,329,-642,2025-01-29 11:50:10.915595,walking
-3474,62,-1209,3,1107,-906,2025-01-29 11:50:10.931326,walking
-3614,-115,-1049,285,1569,-973,2025-01-29 11:50:10.947182,walking
-3867,-313,-981,779,1587,-896,2025-01-29 11:50:10.969039,walking
-4058,-473,-844,1282,1482,-1025,2025-01-29 11:50:10.977083,walking
-4110,-547,-711,1794,1051,-1213,2025-01-29 11:50:11.002430,walking
-3965,-557,-838,2204,426,-1025,2025-01-29 11:50:11.013236,walking
-3890,-610,-1092,2653,310,-923,2025-01-29 11:50:11.030516,walking
-3898,-655,-1543,3154,1663,-1275,2025-01-29 11:50:11.046464,walking
-4004,-608,-1929,4030,3837,-1345,2025-01-29 11:50:11.052662,walking
-4520,-600,-1863,5455,4208,-878,2025-01-29 11:50:11.085899,walking
-4777,-474,-1706,5867,2197,-589,2025-01-29 11:50:11.095712,walking
-4536,-424,-1922,5992,381,-284,2025-01-29 11:50:11.102652,walking
-4300,-381,-2208,6365,-124,-37,2025-01-29 11:50:11.119327,walking
-4267,-262,-2245,6767,308,-141,2025-01-29 11:50:11.143394,walking
-4256,91,-2100,6773,568,-422,2025-01-29 11:50:11.178990,walking
-4188,491,-1832,5923,-221,-470,2025-01-29 11:50:11.183827,walking
-3884,765,-1620,4393,-1576,-109,2025-01-29 11:50:11.194848,walking
-3176,698,-1779,2517,-2396,928,2025-01-29 11:50:11.200556,walking
-2697,235,-2179,823,-2101,2037,2025-01-29 11:50:11.219085,walking
-2484,99,-2335,-449,-804,2064,2025-01-29 11:50:11.234082,walking
-2367,117,-2394,-1683,1595,1889,2025-01-29 11:50:11.253513,walking
-2484,237,-2532,-1898,4122,1891,2025-01-29 11:50:11.286516,walking
-2910,249,-2663,-646,6627,2024,2025-01-29 11:50:11.286516,walking
-3682,126,-2476,1415,7689,1575,2025-01-29 11:50:11.300791,walking
-4294,-216,-2447,2919,5683,882,2025-01-29 11:50:11.320233,walking
-4328,-602,-2446,3824,1748,367,2025-01-29 11:50:11.333616,walking
-3669,-805,-2376,3491,-341,1654,2025-01-29 11:50:11.352864,walking
-3355,-750,-2536,2446,245,3505,2025-01-29 11:50:11.369081,walking
-3240,-413,-2625,2234,536,4296,2025-01-29 11:50:11.386061,walking
-3174,83,-2454,2721,1003,5389,2025-01-29 11:50:11.401585,walking
-3316,474,-2159,3314,1416,5605,2025-01-29 11:50:11.415820,walking
-3398,731,-1933,3907,1287,5282,2025-01-29 11:50:11.449682,walking
-3414,787,-1762,3981,763,4793,2025-01-29 11:50:11.450699,walking
-3267,660,-1789,3696,494,4461,2025-01-29 11:50:11.500936,walking
-3240,525,-1736,3214,507,4245,2025-01-29 11:50:11.500936,walking
