acceleration_x,acceleration_y,acceleration_z,gyroscope_x,gyroscope_y,gyroscope_z,timestamp,label
-3867,-26,639,-1460,-624,-70,2025-01-30 09:50:14.144361,none
-3884,-28,300,-1668,-1913,-26,2025-01-30 09:50:14.144361,none
-3811,-12,371,-1590,-2153,27,2025-01-30 09:50:14.144361,none
-3757,-56,515,-1467,-1680,4,2025-01-30 09:50:14.144361,none
-3746,-117,573,-1458,-1367,-44,2025-01-30 09:50:14.144361,none
-3713,-150,614,-1583,-1205,-121,2025-01-30 09:50:14.144361,none
-3717,-152,591,-1694,-1102,-65,2025-01-30 09:50:14.149915,none
-3769,-155,537,-1643,-1045,-67,2025-01-30 09:50:14.149915,none
-3791,-92,545,-1448,-901,-22,2025-01-30 09:50:14.557803,none
-3797,-156,625,-610,-56,-146,2025-01-30 09:50:14.557803,none
-3815,-137,651,-657,-20,-202,2025-01-30 09:50:14.557803,none
-3689,-135,605,-705,40,-134,2025-01-30 09:50:14.557803,none
-3691,-118,529,-708,197,-110,2025-01-30 09:50:14.557803,none
-3706,-115,551,-646,164,-132,2025-01-30 09:50:14.557803,none
-3707,-70,512,-649,58,-117,2025-01-30 09:50:14.557803,none
-3701,-57,593,-665,90,46,2025-01-30 09:50:14.557803,none
-3760,-117,547,-866,-153,92,2025-01-30 09:50:14.940730,none
-3830,-22,419,-191,1000,171,2025-01-30 09:50:14.940730,none
-3820,-19,461,-156,746,27,2025-01-30 09:50:14.940730,none
-3843,-7,554,-134,536,-34,2025-01-30 09:50:14.940730,none
-3827,-61,541,-203,473,33,2025-01-30 09:50:14.940730,none
-3808,-47,543,-240,324,86,2025-01-30 09:50:14.940730,none
-3808,-37,435,-170,206,55,2025-01-30 09:50:14.940730,none
-3777,42,499,-74,189,20,2025-01-30 09:50:14.940730,none
-3774,77,629,-170,214,-9,2025-01-30 09:50:14.973091,none
-3743,-16,667,-997,109,236,2025-01-30 09:50:14.990987,none
-3864,-43,544,-1168,-138,215,2025-01-30 09:50:15.002571,none
-3890,29,350,-1183,-850,185,2025-01-30 09:50:15.026809,none
-3832,84,431,-870,-867,132,2025-01-30 09:50:15.042319,none
-3726,3,576,-558,-406,121,2025-01-30 09:50:15.065413,none
-3752,-57,628,-580,-377,99,2025-01-30 09:50:15.267862,none
-3759,-37,610,-770,-281,129,2025-01-30 09:50:15.267862,none
-3791,21,614,-982,-150,122,2025-01-30 09:50:15.267862,none
-3756,36,553,-1089,-29,50,2025-01-30 09:50:15.267862,none
-3760,27,577,-1001,196,13,2025-01-30 09:50:15.267862,none
-3844,-40,520,-840,299,-82,2025-01-30 09:50:15.267862,none
-3867,-54,525,-654,260,-198,2025-01-30 09:50:15.267862,none
-3804,-24,532,-528,284,-257,2025-01-30 09:50:15.267862,none
-3779,5,534,-426,372,-232,2025-01-30 09:50:15.576376,none
-3767,-88,531,-214,-719,-351,2025-01-30 09:50:15.576376,none
-3785,-56,533,107,-332,-395,2025-01-30 09:50:15.576376,none
-3831,-23,587,181,-357,-436,2025-01-30 09:50:15.576376,none
-3705,-55,799,110,-254,-479,2025-01-30 09:50:15.576376,none
-3768,-137,580,9,-795,-307,2025-01-30 09:50:15.576376,none
-3755,-79,559,13,-1579,-377,2025-01-30 09:50:15.576376,none
-3682,56,808,209,-1294,-362,2025-01-30 09:50:15.606366,none
-3660,18,844,322,-455,-362,2025-01-30 09:50:15.619223,none
-3694,-96,795,193,-48,-318,2025-01-30 09:50:15.634881,none
-3681,-134,759,-19,276,-115,2025-01-30 09:50:15.658266,none
-3722,-76,716,-331,692,-3,2025-01-30 09:50:15.929147,none
-3719,20,634,-618,1139,-35,2025-01-30 09:50:15.929147,none
-3710,73,621,-780,1425,-103,2025-01-30 09:50:15.929147,none
-3736,-14,636,-818,1305,4,2025-01-30 09:50:15.929147,none
-3813,-87,646,-847,883,21,2025-01-30 09:50:15.929147,none
-3875,-106,604,-916,600,-99,2025-01-30 09:50:15.929147,none
-3884,-58,577,-837,452,-237,2025-01-30 09:50:15.944860,none
-3842,-62,580,-735,298,-304,2025-01-30 09:50:15.945179,none
-3772,-105,535,-537,141,-360,2025-01-30 09:50:16.356251,none
-3854,-89,698,-2127,737,-200,2025-01-30 09:50:16.356251,none
-3734,-116,511,-2088,750,-230,2025-01-30 09:50:16.356251,none
-3664,-100,477,-1959,450,-161,2025-01-30 09:50:16.356251,none
-3687,-67,551,-1861,151,-147,2025-01-30 09:50:16.356251,none
-3773,-101,677,-1859,-24,-269,2025-01-30 09:50:16.356251,none
-3783,-133,668,-1896,-38,-383,2025-01-30 09:50:16.356251,none
-3698,-209,651,-1676,129,-375,2025-01-30 09:50:16.356251,none
-3691,-240,607,-1445,384,-307,2025-01-30 09:50:16.508938,none
-3782,-43,612,-1424,-650,-467,2025-01-30 09:50:16.508938,none
-3767,-91,578,-1237,-440,-451,2025-01-30 09:50:16.508938,none
-3843,-160,546,-718,-330,-555,2025-01-30 09:50:16.508938,none
-3871,-200,566,-337,-333,-634,2025-01-30 09:50:16.508938,none
-3857,-261,517,-17,-301,-663,2025-01-30 09:50:16.508938,none
-3816,-346,518,427,-113,-622,2025-01-30 09:50:16.508938,none
-3861,-408,606,821,-63,-756,2025-01-30 09:50:16.524006,none
-3693,-415,568,949,-140,-694,2025-01-30 09:50:16.540666,none
-3559,-205,535,1471,274,-375,2025-01-30 09:50:16.550184,none
-3561,-90,527,1507,432,-292,2025-01-30 09:50:16.601115,none
-3557,-34,531,1542,732,-202,2025-01-30 09:50:16.601115,none
-3695,-80,670,1224,961,105,2025-01-30 09:50:16.601115,none
-3964,-115,873,514,291,139,2025-01-30 09:50:16.624271,none
-3953,-7,979,429,948,-315,2025-01-30 09:50:16.633583,none
-3969,-31,738,840,1118,-441,2025-01-30 09:50:16.660954,none
-3841,-160,358,990,661,-331,2025-01-30 09:50:16.677657,none
-3696,-267,502,708,1042,-215,2025-01-30 09:50:16.691884,none
-3757,-319,293,220,21,-1,2025-01-30 09:50:16.700366,none
-3742,-81,485,47,-177,83,2025-01-30 09:50:16.716689,none
-3759,42,618,16,-88,-126,2025-01-30 09:50:16.733636,none
-3711,-85,617,82,-144,-225,2025-01-30 09:50:16.758865,none
-3685,-224,676,44,59,-217,2025-01-30 09:50:16.767324,none
-3748,-243,677,-5,284,-100,2025-01-30 09:50:16.783872,none
-3780,-217,642,-64,317,-10,2025-01-30 09:50:16.800541,none
-3771,-69,643,-179,221,-38,2025-01-30 09:50:16.825138,none
-3793,-46,645,-381,250,-56,2025-01-30 09:50:16.833629,none
-3770,-33,659,-554,430,-74,2025-01-30 09:50:16.850515,none
-3722,-60,593,-623,623,-14,2025-01-30 09:50:16.900034,none
-3666,-49,566,-589,841,121,2025-01-30 09:50:16.900034,none
-3744,-143,588,-493,1042,146,2025-01-30 09:50:16.900034,none
-3876,-212,522,-466,945,137,2025-01-30 09:50:16.917242,none
-3858,-186,442,-463,791,133,2025-01-30 09:50:16.941870,none
-3809,-165,444,-525,445,206,2025-01-30 09:50:16.968051,none
-3771,-181,517,-638,200,286,2025-01-30 09:50:16.968051,
-3792,-56,568,-734,168,269,2025-01-30 09:50:16.988551,none
-3757,-38,531,-708,331,226,2025-01-30 09:50:17.000249,none
-3784,-73,494,-609,304,147,2025-01-30 09:50:17.017280,none
-3769,-113,512,-630,162,9,2025-01-30 09:50:17.034129,none
-3808,-114,527,-697,176,-74,2025-01-30 09:50:17.059073,none
-3770,-87,622,-911,-24,52,2025-01-30 09:50:17.066962,none
-3813,-59,631,-1283,-61,199,2025-01-30 09:50:17.089125,none
-3827,-54,592,-1417,60,105,2025-01-30 09:50:17.101380,none
-3742,-113,564,-1449,284,-77,2025-01-30 09:50:17.117093,none
-3690,-163,620,-1473,631,-43,2025-01-30 09:50:17.133622,none
-3785,-130,673,-1459,864,-31,2025-01-30 09:50:17.151557,none
-3934,-81,676,-1561,1152,-151,2025-01-30 09:50:17.217129,none
-3918,-88,539,-1800,458,-121,2025-01-30 09:50:17.217129,none
-3769,12,528,-1965,242,-85,2025-01-30 09:50:17.217129,none
-3623,52,635,-1882,789,-97,2025-01-30 09:50:17.217129,none
-3678,17,643,-2059,584,89,2025-01-30 09:50:17.231152,none
-3724,57,593,-2483,283,98,2025-01-30 09:50:17.251563,none
-3749,23,655,-2797,489,55,2025-01-30 09:50:17.266003,none
-3801,-41,462,-3002,-237,152,2025-01-30 09:50:17.284029,none
-3752,-21,566,-2881,-235,235,2025-01-30 09:50:17.293054,none
-3750,-121,634,-2578,328,215,2025-01-30 09:50:17.317364,none
-3725,-143,672,-2533,500,218,2025-01-30 09:50:17.335048,none
-3769,-80,713,-2822,816,208,2025-01-30 09:50:17.351671,none
-3719,28,661,-3104,1092,182,2025-01-30 09:50:17.358923,none
-3725,50,550,-3022,1256,261,2025-01-30 09:50:17.383178,none
-3757,-64,523,-2850,1196,293,2025-01-30 09:50:17.389951,none
-3807,-219,520,-2710,1084,249,2025-01-30 09:50:17.407640,none
-3843,-236,575,-2645,1046,222,2025-01-30 09:50:17.416744,none
-3910,-251,622,-2677,973,66,2025-01-30 09:50:17.440976,none
-3856,-166,704,-2840,796,-20,2025-01-30 09:50:17.456689,none
-3748,-135,557,-2827,740,4,2025-01-30 09:50:17.518187,none
-3739,-204,470,-2516,880,-9,2025-01-30 09:50:17.518187,none
-3782,-246,435,-2149,956,-100,2025-01-30 09:50:17.518187,none
-3814,-235,415,-1913,919,-190,2025-01-30 09:50:17.518187,none
-3791,-180,480,-1736,825,-110,2025-01-30 09:50:17.533318,none
-3799,-190,517,-1620,363,-97,2025-01-30 09:50:17.551917,none
-3788,-227,516,-1517,79,-120,2025-01-30 09:50:17.569435,none
-3755,-240,432,-1343,92,-120,2025-01-30 09:50:17.591793,none
-3815,-274,360,-1055,48,-167,2025-01-30 09:50:17.603594,none
-3851,-255,368,-746,-112,-282,2025-01-30 09:50:17.620835,none
-3796,-205,408,-612,-12,-330,2025-01-30 09:50:17.637255,none
-3775,-86,419,-631,70,-250,2025-01-30 09:50:17.652043,none
-3823,-50,487,-574,-20,-226,2025-01-30 09:50:17.677122,none
-3823,-232,474,-521,-165,-265,2025-01-30 09:50:17.683600,none
-3851,-299,425,-398,-148,-268,2025-01-30 09:50:17.701245,none
-3809,-236,458,-267,-138,-226,2025-01-30 09:50:17.717188,none
-3717,-96,498,-192,-164,-203,2025-01-30 09:50:17.733701,none
-3716,-86,488,-257,121,-132,2025-01-30 09:50:17.750876,none
-3801,-154,476,-534,-85,-67,2025-01-30 09:50:17.800190,none
-3803,-150,442,-511,-93,-198,2025-01-30 09:50:17.800190,none
-3773,-204,408,-130,178,-249,2025-01-30 09:50:17.800190,none
-3844,-217,384,36,-97,-164,2025-01-30 09:50:17.817052,none
-3851,-166,635,-105,-505,-73,2025-01-30 09:50:17.833442,none
-3864,-179,467,-407,-838,-60,2025-01-30 09:50:17.850292,none
-3785,-97,334,-376,-1207,-101,2025-01-30 09:50:17.867263,none
-3730,-54,496,-82,-532,-226,2025-01-30 09:50:17.876385,none
-3747,-129,553,132,-61,-277,2025-01-30 09:50:17.899250,none
-3777,-136,540,172,-189,-252,2025-01-30 09:50:17.914832,none
-3781,-138,588,-10,-267,-178,2025-01-30 09:50:17.920266,none
-3808,-184,475,-150,-355,-137,2025-01-30 09:50:17.950218,none
-3800,-158,445,-41,-395,-189,2025-01-30 09:50:17.962251,none
-3770,-184,462,101,-300,-236,2025-01-30 09:50:17.982450,none
-3770,-154,447,174,-72,-296,2025-01-30 09:50:17.993957,none
-3748,-81,462,99,154,-327,2025-01-30 09:50:18.009716,none
-3782,-110,455,-69,215,-323,2025-01-30 09:50:18.025728,none
-3838,-168,458,-173,74,-216,2025-01-30 09:50:18.042994,none
-3861,-184,476,-215,-67,-176,2025-01-30 09:50:18.058259,none
-3797,-95,471,-325,-14,-241,2025-01-30 09:50:18.313802,none
-3790,-83,557,-414,-46,-293,2025-01-30 09:50:18.313802,none
-3782,-92,616,-480,-170,-374,2025-01-30 09:50:18.313802,none
-3808,-129,598,-519,-109,-389,2025-01-30 09:50:18.316371,none
